Dopełniacz;Mianownik;Wynik Stemmera
Rażen;Rażny;Rażen;
Rusinowa;Rusinowo;Rusinowa;
Ochudna;Ochudno;Ochudna;
Wierszyna;Wierszyno;Wierszyn;
Czerniejowa;Czerniejów;Czerniejowa;
Wymokłego;Wymokłe;Wymokły;
Dunowa;Dunowo;Dunowa;
Rdutowa;Rdutów;Rdutowa;
Kowerska;Kowersk;Kowersko;
Tarnowy;Tarnowa;Tarnowy;
Bystrowic;Bystrowice;Bystrowica;
Waliszewa;Waliszew;Waliszewo;
Kułyg;Kułygi;Kułyga;
Kurian;Kuriany;Kurianin;
Kopernicy;Kopernica;Kopernik;
Kromolic;Kromolice;Kromolica;
Skarżyna;Skarżyn;Skarżyna;
Ząbia;Ząbie;Ząbia;
Drewnik;Drewniki;Drewnik;
Gogolina;Gogolin;Gogolina;
Gilowa;Gilów;Gilowa;
Skaj;Skaje;Skaj;
Bodzanówka;Bodzanówek;Bodzanówka;
Potrzymowa;Potrzymowo;Potrzymowa;
Skoczkowa;Skoczkowo;Skoczkowa;
Gulina;Gulin;Gulina;
Mularzowa;Mularzów;Mularzowa;
Cyprzanowa;Cyprzanów;Cyprzanowa;
Sędziszowic;Sędziszowice;Sędziszowica;
Jaślikowa;Jaślików;Jaślikowa;
Wolaninin;Wolaniny;Wolaninina;
Matuszowic;Matuszowice;Matuszowica;
Latowic;Latowice;Latowica;
Osówka;Osówko;Osówka;
Świeligowa;Świeligów;Świeligowa;
Goręczyna;Goręczyno;Goręczyna;
Niemarzyna;Niemarzyn;Niemarzyna;
Chrośli;Chrośle;Chrośl;
Trzcian;Trzciany;Trzcian;
Chrośli;Chrośla;Chrośl;
Mucharzewa;Mucharzew;Mucharzewo;
Cieszków;Cieszkowy;Cieszek;
Suchostrugi;Suchostruga;Suchostrug;
Słupnicy;Słupnica;Słupnik;
Tomaszowa;Tomaszów;Tomaszowa;
Bierwichy;Bierwicha;Bierwich;
Paleśnicy;Paleśnica;Paleśnik;
Stanów;Stany;Stan;
Dołgiego;Dołgie;Dołgi;
Trzebisławek;Trzebisławki;Trzebisławka;
Klepek;Klepki;Klepka;
Jagot;Jagoty;Jagot;
Malwinowa;Malwinowo;Malwinowa;
Drawna;Drawno;Drawna;
Wiewiórowa;Wiewiórowo;Wiewiórowa;
Zgórznicy;Zgórznica;Zgórznik;
Mariewa;Mariew;Mariewa;
Kołdowa;Kołdów;Kołdowa;
Sepienka;Sepienko;Sepienka;
Binowa;Binowo;Binowa;
Kołaczka;Kołaczek;Kołaczka;
Gucina;Gucin;Gucina;
Pierszyc;Pierszyce;Pierszyca;
Olimpiowa;Olimpiów;Olimpiowa;
Arcugowa;Arcugowo;Arcugowa;
Mursku;Mursk;Mursko;
Jabłonia;Jabłoń;Jabłonie;
Zagródek;Zagródki;Zagródka;
Pturka;Pturek;Pturka;
Zamchu;Zamch;Zamech;
Fanianowa;Fanianowo;Fanianowa;
Jonnnego;Jonne;Jonnny;
Urbanowic;Urbanowice;Urbanowica;
Sarnetek;Sarnetki;Sarnetka;
Małszyc;Małszyce;Małszyca;
Baborówka;Baborówko;Baborówka;
Pocześla;Pocześle;Pocześla;
Morzów;Morze;Morz;
Czudowic;Czudowice;Czudowica;
Szymocicic;Szymocice;Szymocicica;
Jastrowa;Jastrowo;Jastrowa;
Nogawek;Nogawki;Nogawka;
Mnikowa;Mników;Mnikowa;
Bobowa;Bobowo;Bobowa;
Czapielska;Czapielsk;Czapielsko;
Bieździadowa;Bieździadów;Bieździadowa;
Myjów;Myje;Myj;
Ogrodnicy;Ogrodnica;Ogrodnik;
Gawinianiec;Gawiniańce;Gawinianiec;
Mominy;Momina;Momin;
Tomaszkowa;Tomaszkowo;Tomaszkowa;
Mokin;Mokiny;Mokin;
Kiełcza;Kiełcze;Kiełcz;
Młynowa;Młynowo;Młynowa;
Pławniowic;Pławniowice;Pławniowica;
Zagajewiczek;Zagajewiczki;Zagajewiczek;
Kwilna;Kwilno;Kwilna;
Rudolfina;Rudolfin;Rudolfina;
Kozowa;Kozowo;Kozowa;
Dusznik;Duszniki;Dusznik;
Basina;Basin;Basina;
Walewa;Walew;Walewa;
Cybulic;Cybulice;Cybulica;
Jabłonki;Jabłonka;Jabłonek;
Wyrobek;Wyrobki;Wyrobek;
Wilkanowa;Wilkanowo;Wilkanowa;
Sąp;Sąpy;Sąp;
Jabłonek;Jabłonki;Jabłonka;
Lubachów;Lubachowy;Lubach;
Krekol;Krekole;Krekol;
Cykowa;Cykowo;Cykowa;
Przewoźnik;Przewoźniki;Przewoźnik;
Łuszczowa;Łuszczów;Łuszczowa;
Świątkowa;Świątkowo;Świątkowa;
Klotyldzina;Klotyldzin;Klotyldzina;
Klenkora;Klenkor;Klenkora;
Krąg;Kręgi;Krąg;
Łukowic;Łukowice;Łukowica;
Sinołęki;Sinołęka;Sinołęki;
Załuża;Załuże;Załuża;
Okrasina;Okrasin;Okrasina;
Pleśna;Pleśno;Pleśna;
Jaszczerza;Jaszczerz;Jaszczerza;
Jagielna;Jagielno;Jagielna;
Chlewisk;Chlewiska;Chlewisko;
Szynkówka;Szynkówko;Szynkówka;
Kocewa;Kocewo;Kocewa;
Płóz;Płozy;Płóz;
Kuzia;Kuzie;Kuzia;
Kikit;Kikity;Kikit;
Młynowa;Młynów;Młynowa;
Gosławic;Gosławice;Gosławica;
Kolnicy;Kolnica;Kolnik;
Natolina;Natolin;Natolina;
Tynicy;Tynica;Tynik;
Nietupy;Nietupa;Nietup;
Ławic;Ławice;Ławica;
Borzyszkowa;Borzyszkowo;Borzyszkowa;
Pniaków;Pniaki;Pniak;
Czeczotek;Czeczotki;Czeczotka;
Kawalców;Kawalce;Kawalec;
Łączyna;Łączyn;Łączyna;
Zaprężyna;Zaprężyn;Zaprężyna;
Gołaszewa;Gołaszew;Gołaszewo;
Bogdanowa;Bogdanów;Bogdanowa;
Cedyni;Cedynia;Cedyn;
Jankielówki;Jankielówka;Jankielówki;
Przybyszów;Przybyszowy;Przybysz;
Kłębowa;Kłębowo;Kłębowa;
Ujazdowa;Ujazdowo;Ujazdowa;
Kleczewa;Kleczew;Kleczewo;
Klukówka;Klukówek;Klukówka;
Wardzyna;Wardzyn;Wardzyna;
Bratkowic;Bratkowice;Bratkowica;
Głódek;Głódki;Głódka;
Pucołowa;Pucołowo;Pucołów;
Bonisławia;Bonisław;Bonisławie;
Jasionowa;Jasionów;Jasionowa;
Wołowna;Wołowno;Wołown;
Leosina;Leosin;Leosina;
Niewirkowa;Niewirków;Niewirkowa;
Krzeszkowic;Krzeszkowice;Krzeszkowica;
Sołeczna;Sołeczno;Sołeczna;
Gierałtowiczek;Gierałtowiczki;Gierałtowiczka;
Stobojów;Stoboje;Stobój;
Żodzi;Żodzie;Żódź;
Żyrowa;Żyrów;Żyrowa;
Przecławia;Przecław;Przecławie;
Szkucisk;Szkuciska;Szkucisk;
Przeorska;Przeorsk;Przeorsko;
Klęcina;Klęcino;Klęcina;
Szczerosług;Szczerosługi;Szczerosługa;
Uścia;Uść;Uście;
Łowęcina;Łowęcin;Łowęcina;
Bielek;Bielki;Bielka;
Stróżek;Stróżki;Stróżka;
Rokit;Rokity;Rokita;
Zofianówki;Zofianówka;Zofianówki;
Kazimierzewa;Kazimierzew;Kazimierzewo;
Januszkowic;Januszkowice;Januszkowica;
Pokrzydowa;Pokrzydowo;Pokrzydowa;
Chruścieli;Chruściele;Chruściel;
Świnek;Świnki;Świnka;
Zyń;Zynie;Zyni;
Kałuszyna;Kałuszyn;Kałuszyna;
Konradowa;Konradów;Konradowa;
Gwiazdowa;Gwiazdowo;Gwiazdowa;
Gorodczyna;Gorodczyno;Gorodczyna;
Blinka;Blinek;Blinka;
Szerzyn;Szerzyny;Szerzyna;
Mykanowa;Mykanów;Mykanowa;
Falmirowic;Falmirowice;Falmirowica;
Łosewa;Łosewo;Łosewa;
Bażanowic;Bażanowice;Bażanowica;
Zastawna;Zastawno;Zastawna;
Lejkówka;Lejkówko;Lejkówka;
Miąskowa;Miąskowo;Miąskowa;
Skurowa;Skurów;Skurowa;
Bachanowa;Bachanowo;Bachanowa;
Milikowa;Milikowo;Milikowa;
Krąpiewa;Krąpiewo;Krąpiewa;
Wycinków;Wycinki;Wycinek;
Lemierzyc;Lemierzyce;Lemierzyca;
Gaworzyny;Gaworzyna;Gaworzyn;
Morowa;Morowo;Morowa;
Ropek;Ropki;Ropka;
Gromadna;Gromadno;Gromadna;
Dawidowa;Dawidów;Dawidowa;
Oświna;Oświno;Oświn;
Nomik;Nomiki;Nomik;
Kurzeszynka;Kurzeszynek;Kurzeszynka;
Sobiesek;Sobieski;Sobieska;
Dobrogost;Dobrogosty;Dobrogost;
Wyrębów;Wyręby;Wyrąb;
Korytyny;Korytyna;Korytyny;
Tarcz;Tarcze;Tarcza;
Mejznerzyna;Mejznerzyn;Mejznerzyna;
Chroślic;Chroślice;Chroślica;
Wilków;Wilki;Wilek;
Żelazowic;Żelazowice;Żelazowica;
Tenczyna;Tenczyn;Tenczyna;
Łyniewa;Łyniew;Łyniewa;
Kamieńczyczyc;Kamieńczyce;Kamieńczyczyca;
Nosalewic;Nosalewice;Nosalewica;
Gołocicic;Gołocice;Gołocicica;
Prosit;Prosity;Prosito;
Wągst;Wągsty;Wągst;
Jadwiżyna;Jadwiżyn;Jadwiżyna;
Niegolewa;Niegolewo;Niegolewa;
Czernik;Czerniki;Czernik;
Szczerb;Szczerby;Szczerba;
Bieszkowic;Bieszkowice;Bieszkowica;
Papieży;Papieże;Papież;
Brynka;Brynek;Brynka;
Bolkowa;Bolkowo;Bolkowa;
Kozinek;Kozinki;Kozinka;
Radoszów;Radoszowy;Radosz;
Charbielina;Charbielin;Charbielina;
Jankowiec;Jankowce;Jankowiec;
Gądna;Gądno;Gądna;
Rączek;Rączki;Rączka;
Niesadny;Niesadna;Niesadny;
Zagajowa;Zagajów;Zagajowa;
Grabkowa;Grabkowo;Grabkowa;
Rozwarowa;Rozwarowo;Rozwarowa;
Morzyczyna;Morzyczyn;Morzyczyna;
Roztworowa;Roztworów;Roztworowa;
Niesiołowic;Niesiołowice;Niesiołowica;
Szczyrzyca;Szczyrzyc;Szczyrzyca;
Męczennnic;Męczennice;Męczennnica;
Bliskowic;Bliskowice;Bliskowica;
Broszkowic;Broszkowice;Broszkowica;
Śnieżek;Śnieżki;Śnieżek;
Rejny;Rejna;Rejny;
Przyłęgowa;Przyłęgów;Przyłęgowa;
Niedanowa;Niedanowo;Niedanowa;
Bęćkowa;Bęćkowo;Bęćkowa;
Raniżowa;Raniżów;Raniżowa;
Łowinia;Łowiń;Łowinia;
Otnogi;Otnoga;Otnóg;
Bogusławic;Bogusławice;Bogusławica;
Rentyn;Rentyny;Rentyna;
Janków;Janki;Janek;
Dobrocicic;Dobrocice;Dobrocicica;
Zalbek;Zalbki;Zalbka;
Lipszczan;Lipszczany;Lipszczanin;
Stożnego;Stożne;Stożny;
Grądów;Grądy;Grąd;
Wygnanowa;Wygnanów;Wygnanowa;
Wolnicy;Wolnica;Wolnik;
Pachuczyna;Pachuczyn;Pachuczyna;
Kopci;Kopcie;Kopeć;
Chocieszowa;Chocieszów;Chocieszowa;
Poprężnik;Poprężniki;Poprężnik;
Kaput;Kaputy;Kaput;
Młodynina;Młodynin;Młodynina;
Jeszkotel;Jeszkotle;Jeszkotel;
Koniecek;Koniecki;Koniecka;
Agnieszkowa;Agnieszkowo;Agnieszkowa;
Stypina;Stypin;Stypina;
Wołyńców;Wołyńce;Wołyniec;
Słonaw;Słonawy;Słonawa;
Dęborzyc;Dęborzyce;Dęborzyca;
Starężynka;Starężynek;Starężynka;
Jeruzal;Jeruzale;Jeruzal;
Kosztowa;Kosztowo;Kosztowa;
Kozodaw;Kozodawy;Kozodawa;
Gostomia;Gostomie;Gostomia;
Sędraszyc;Sędraszyce;Sędraszyca;
Nieznania;Nieznań;Nieznanie;
Gostomi;Gostomia;Gostomy;
Dworków;Dworki;Dworek;
Hieronimowa;Hieronimowo;Hieronimowa;
Lnisk;Lniska;Lnisko;
Zawoni;Zawonia;Zawoń;
Rogalowa;Rogalów;Rogalowa;
Gawerkowa;Gawerków;Gawerkowa;
Liwina;Liwin;Liwina;
Rąbinka;Rąbinko;Rąbinka;
Podłużyc;Podłużyce;Podłużyca;
Rumejek;Rumejki;Rumejka;
Prusieka;Prusiek;Prusieka;
Krucza;Krucz;Krucza;
Upala;Upale;Upal;
Przeuszyna;Przeuszyn;Przeuszyna;
Koszyc;Koszyce;Koszyca;
Bynowa;Bynowo;Bynowa;
Miłowic;Miłowice;Miłowica;
Dyzina;Dyzin;Dyzina;
Zwiartowa;Zwiartów;Zwiartowa;
Osięcin;Osięciny;Osięcina;
Grzybowców;Grzybowce;Grzybowiec;
Cimoch;Cimochy;Cimocha;
Czarnotek;Czarnotki;Czarnotka;
Macharcharc;Macharce;Macharcharc;
Wolini;Wolinia;Wolin;
Bukowiec;Bukowce;Bukowiec;
Włostowa;Włostowo;Włostowa;
Homotów;Homoty;Homot;
Stępocina;Stępocin;Stępocina;
Rychwała;Rychwał;Rychwała;
Rększowic;Rększowice;Rększowica;
Sosnowa;Sosnowo;Sosnowa;
Kałek;Kałki;Kałka;
Mulawicz;Mulawicze;Mulawicz;
Lubina;Lubin;Lubina;
Siedlikowa;Siedlików;Siedlikowa;
Drzyzdówek;Drzyzdówki;Drzyzdówka;
Rostek;Rostki;Rostka;
Dionizowa;Dionizów;Dionizowa;
Morgów;Morgi;Morg;
Białogorców;Białogorce;Białogorca;
Łobodów;Łobody;Łobód;
Jaszczowa;Jaszczów;Jaszczowa;
Jagłowa;Jagłowo;Jagłów;
Godziszki;Godziszka;Godziszek;
Malanówka;Malanówko;Malanówka;
Łososiowic;Łososiowice;Łososiowica;
Chałup;Chałupy;Chałupa;
Radkowa;Radków;Radkowa;
Grzegorzewa;Grzegorzew;Grzegorzewo;
Miałkówka;Miałkówek;Miałkówka;
Łazorów;Łazory;Łazor;
Dobrocina;Dobrocin;Dobrocina;
Krępy;Krępa;Kręp;
Średzińskich;Średzińskie;Średziński;
Wejda;Wejdo;Wejda;
Smaszewa;Smaszew;Smaszewo;
Stawca;Stawiec;Stawca;
Kolimag;Kolimagi;Kolimago;
Duba;Dub;Duba;
Zaleszczyn;Zaleszczyny;Zaleszczyna;
Chorzel;Chorzele;Chorzel;
Gatnik;Gatniki;Gatnik;
Torul;Torule;Torula;
Ramutówka;Ramutówko;Ramutówka;
Teremisek;Teremiski;Teremiska;
Roztylic;Roztylice;Roztylica;
Dańców;Dańce;Daniec;
Myślinowa;Myślinów;Myślinowa;
Zagnańska;Zagnańsk;Zagnańska;
Gwoździan;Gwoździany;Gwoździan;
Ciężkowiczek;Ciężkowiczki;Ciężkowiczka;
Bagien;Bagna;Bagno;
Świąc;Świące;Świąc;
Szydłówca;Szydłówiec;Szydłówca;
Radomic;Radomice;Radomica;
Gaszowa;Gaszów;Gaszowa;
Bagnów;Bagny;Bagnum;
Kamiennnego;Kamienne;Kamiennny;
Klukowicz;Klukowicze;Klukowicz;
Bornit;Bornity;Bornit;
Szydłówka;Szydłówko;Szydłówka;
Niecek;Niecki;Niecka;
Opojowic;Opojowice;Opojowica;
Samolubia;Samolubie;Samolubia;
Unikowa;Uników;Unikowa;
Chrzana;Chrzan;Chrzana;
Kęblin;Kębliny;Kęblin;
Lelowa;Lelów;Lelowa;
Gąsek;Gąski;Gąska;
Kubic;Kubice;Kubica;
Kozła;Kozieł;Kozioł;
Bronkowic;Bronkowice;Bronkowica;
Zaklikowa;Zaklików;Zaklikowa;
Oparzna;Oparzno;Oparzna;
Wtórka;Wtórek;Wtórka;
Tłukaw;Tłukawy;Tłukawa;
Płaczkowa;Płaczkowo;Płaczkowa;
Skierbieszowa;Skierbieszów;Skierbieszowa;
Jaryszowa;Jaryszów;Jaryszowa;
Wodziłek;Wodziłki;Wodziłek;
Kretowin;Kretowiny;Kretowina;
Głobina;Głobino;Głobina;
Białachowa;Białachowo;Białachów;
Kościejowa;Kościejów;Kościejowa;
Wartkowic;Wartkowice;Wartkowica;
Zaminowa;Zaminowo;Zaminowa;
Dzielaw;Dzielawy;Dzielawa;
Bolesławowa;Bolesławowo;Bolesławowa;
Mężenina;Mężenin;Mężenina;
Czachówek;Czachówki;Czachówka;
Niekurzy;Niekurza;Niekurz;
Daszewic;Daszewice;Daszewica;
Kruszewa;Kruszew;Kruszewo;
Piskajn;Piskajny;Piskajn;
Rzeżęcina;Rzeżęcin;Rzeżęcina;
Chocianowa;Chocianów;Chocianowa;
Krosnowic;Krosnowice;Krosnowica;
Chodorów;Chodory;Chodór;
Baciut;Baciuty;Baciut;
Sędziejowic;Sędziejowice;Sędziejowica;
Wojtkowic;Wojtkowice;Wojtkowica;
Dodowa;Dodów;Dodowa;
Zborowa;Zborów;Zborowa;
Grotnik;Grotniki;Grotnik;
Perzyn;Perzyny;Perzyna;
Krawieczyna;Krawieczyn;Krawieczyna;
Olszyn;Olszyny;Olszyna;
Starogub;Staroguby;Staroguba;
Sulechówka;Sulechówko;Sulechówka;
Aksmanic;Aksmanice;Aksmanica;
Sulejowa;Sulejów;Sulejowa;
Śliwina;Śliwin;Śliwina;
Koteż;Koteże;Koteż;
Masłomiącej;Masłomiąca;Masłomiąca się;
Kulic;Kulice;Kulica;
Momajn;Momajny;Momajn;
Chmielna;Chmielno;Chmielna;
Wajsznor;Wajsznory;Wajsznora;
Zakrzewa;Zakrzew;Zakrzewo;
Kobylan;Kobylany;Kobylan;
Steblewa;Steblewo;Steblewa;
Parzniewic;Parzniewice;Parzniewica;
Palmowa;Palmowo;Palmowa;
Dzbanic;Dzbanice;Dzbanica;
Pawlikowic;Pawlikowice;Pawlikowica;
Miłocina;Miłocin;Miłocina;
Jakubkowa;Jakubkowo;Jakubkowa;
Zbyłowic;Zbyłowice;Zbyłowica;
Głupczowa;Głupczów;Głupczowa;
Szczebrzeszyna;Szczebrzeszyn;Szczebrzeszyna;
Erazmowa;Erazmów;Erazmowa;
Nieszkowa;Nieszków;Nieszkowa;
Nowolesia;Nowolesie;Nowoleś;
Jesionnny;Jesionna;Jesionnna;
Biezdrowa;Biezdrowo;Biezdrowa;
Gostyczyny;Gostyczyna;Gostyczyn;
Frankowa;Franków;Frankowa;
Skrajnicy;Skrajnica;Skrajnik;
Wisów;Wisy;Wis;
Ornatowic;Ornatowice;Ornatowica;
Felcyna;Felcyn;Felcyna;
Andrzejowa;Andrzejów;Andrzejowa;
Karnkowa;Karnków;Karnkowa;
Kopalin;Kopaliny;Kopalina;
Łukaszowa;Łukaszów;Łukaszowa;
Błażejewic;Błażejewice;Błażejewica;
Lubsk;Lubska;Lubsko;
Niedar;Niedary;Niedar;
Strachocina;Strachocin;Strachocina;
Śmietanek;Śmietanki;Śmietanka;
Pruchnika;Pruchnik;Pruchnika;
Jadeszek;Jadeszki;Jadeszek;
Bryńska;Bryńsk;Bryńska;
Ostrowieczka;Ostrowieczko;Ostrowieczek;
Jankowa;Janków;Jankowa;
Kucębowa;Kucębów;Kucębowa;
Tarczyna;Tarczyn;Tarczyna;
Jakubowa;Jakubów;Jakubowa;
Mierkowa;Mierków;Mierkowa;
Połowy;Połowa;Połów;
Wrocisławic;Wrocisławice;Wrocisławica;
Cadowa;Cadów;Cadowa;
Wron;Wrony;Wron;
Krajkowa;Krajków;Krajkowa;
Marków;Marki;Marek;
Daniłowa;Daniłowo;Daniłów;
Drelowa;Drelów;Drelowa;
Dobrzynia;Dobrzyń;Dobrzynia;
Golemek;Golemki;Golemka;
Rusiborza;Rusibórz;Rusiborze;
Rydzewa;Rydzew;Rydzewo;
Żar;Żary;Żar;
Tuchomka;Tuchomko;Tuchomek;
Antosina;Antosin;Antosina;
Chaniek;Chańki;Chańka;
Baszyna;Baszyn;Baszyna;
Sieraków;Sierakowy;Sierak;
Goszowa;Goszów;Goszowa;
Serednicy;Serednica;Serednik;
Wieruszewa;Wieruszew;Wieruszewo;
Cotonia;Cotoń;Cotonia;
Paulinowa;Paulinów;Paulinowa;
Podraja;Podraje;Podraj;
Unikowic;Unikowice;Unikowica;
Michalinowa;Michalinów;Michalinowa;
Rybotycz;Rybotycze;Rybotycz;
Mylina;Mylin;Mylina;
Szkudłówki;Szkudłówka;Szkudłówki;
Jaczkowa;Jaczków;Jaczkowa;
Jaborowic;Jaborowice;Jaborowica;
Krakówka;Krakówek;Krakówka;
Mojżeszowa;Mojżeszów;Mojżeszowa;
Bachorchorc;Bachorce;Bachorchorc;
Dorowa;Dorowo;Dorowa;
Walentowa;Walentowo;Walentowa;
Dzierżna;Dzierżno;Dzierżna;
Osowi;Osowia;Os;
Jagatowa;Jagatowo;Jagatow;
Probołowic;Probołowice;Probołowica;
Pieruszyc;Pieruszyce;Pieruszyca;
Chodlewa;Chodlewo;Chodlewa;
Orszewic;Orszewice;Orszewica;
Rożnów;Rożny;Rożen;
Adamkowa;Adamkowo;Adamkowa;
Galumina;Galumin;Galumina;
Dobroszowa;Dobroszów;Dobroszowa;
Sierakówka;Sierakówek;Sierakówka;
Kaczórek;Kaczórki;Kaczórka;
Galewa;Galew;Galewa;
Bębnowa;Bębnów;Bębnowa;
Jankowic;Jankowice;Jankowica;
Turobowic;Turobowice;Turobowica;
Pełcznicy;Pełcznica;Pełcznik;
Wałów;Wały;Wał;
Grazym;Grazymy;Grazy;
Kopaninin;Kopaniny;Kopaninina;
Szewny;Szewna;Szewny;
Pator;Patory;Pator;
Goszczędzy;Goszczędza;Goszczęga;
Chobota;Chobot;Chobota;
Tymina;Tymin;Tymina;
Przysieki;Przysieka;Przysieki;
Katarzynowa;Katarzynów;Katarzynowa;
Szpinalowa;Szpinalów;Szpinalowa;
Stradynia;Stradyń;Stradynia;
Szewna;Szewno;Szewna;
Chwałkowic;Chwałkowice;Chwałkowica;
Strzałkowa;Strzałków;Strzałkowa;
Budowa;Budowo;Budowa;
Grodzisk;Grodziska;Grodzisko;
Sawina;Sawin;Sawina;
Drożanek;Drożanki;Drożanka;
Moszyn;Moszyny;Moszyna;
Połęcka;Połęcko;Połęcka;
Steklna;Steklno;Steklna;
Pielaszowa;Pielaszów;Pielaszowa;
Grzegorzowa;Grzegorzów;Grzegorzowa;
Łozów;Łozy;Łóz;
Goździkowa;Goździków;Goździkowa;
Kolemczyczyc;Kolemczyce;Kolemczyczyca;
Pomykowa;Pomyków;Pomykowa;
Myszkowa;Myszkowo;Myszkowa;
Wygorzela;Wygorzel;Wygorzela;
Węgorzy;Węgorza;Węgorz;
Kobysewa;Kobysewo;Kobysewa;
Częstoborowic;Częstoborowice;Częstoborowica;
Rębisk;Rębiska;Rębisko;
Maciowakrza;Maciowakrze;Maciowakrz;
Nadarzyna;Nadarzyn;Nadarzyna;
Modzurowa;Modzurów;Modzurowa;
Gałowa;Gałów;Gałowa;
Sajz;Sajzy;Sajza;
Nierostowa;Nierostowo;Nierostowa;
Szamotuł;Szamotuły;Szamotuł;
Bron;Brony;Bron;
Szczepankowa;Szczepankowo;Szczepankowa;
Jarosławia;Jarosław;Jarosławie;
Majkowic;Majkowice;Majkowica;
Marciszowa;Marciszów;Marciszowa;
Księżyc;Księżyce;Księżyc;
Fałkowa;Fałków;Fałkowa;
Tarchalina;Tarchalin;Tarchalina;
Kowalewiczek;Kowalewiczki;Kowalewiczek;
Krępca;Krępiec;Krępca;
Kolczyna;Kolczyn;Kolczyna;
Opatowic;Opatowice;Opatowica;
Kadłubi;Kadłubia;Kadłuby;
Przecławic;Przecławice;Przecławica;
Suliszowic;Suliszowice;Suliszowica;
Kłobukowa;Kłobukowo;Kłobukowa;
Sawał;Sawały;Sawał;
Godaszewic;Godaszewice;Godaszewica;
Wymysłówki;Wymysłówka;Wymysłówek;
Dojazdowa;Dojazdów;Dojazdowa;
Piaszna;Piaszno;Piaszna;
Duńkowic;Duńkowice;Duńkowica;
Główiewa;Główiew;Główiewa;
Uzdowa;Uzdowo;Uzdowa;
Lembarga;Lembarg;Lembargo;
Zamołodycza;Zamołodycze;Zamołodycza;
Harbułtowic;Harbułtowice;Harbułtowica;
Pawluk;Pawluki;Pawluk;
Radzynia;Radzyń;Radzynia;
Skowierzyna;Skowierzyn;Skowierzyna;
Płazowa;Płazowo;Płazowa;
Silnicy;Silnica;Silnik;
Czepielina;Czepielin;Czepielina;
Ramsówka;Ramsówko;Ramsówka;
Rąbit;Rąbity;Rąbit;
Chrośna;Chrośno;Chrośna;
Szulbor;Szulbory;Szulbor;
Grochówka;Grochówek;Grochówka;
Pomiłowa;Pomiłowo;Pomiłów;
Żędowa;Żędowo;Żędowa;
Źrebiec;Źrebce;Źrebiec;
Kuściniec;Kuścińce;Kuściniec;
Brończyczyc;Brończyce;Brończyczyca;
Ostrzykówka;Ostrzykówek;Ostrzykówka;
Drożejowic;Drożejowice;Drożejowica;
Chrośny;Chrośna;Chrośn;
Łebna;Łebno;Łebna;
Nosek;Noski;Noska;
Jastrzębic;Jastrzębice;Jastrzębica;
Rzeczniówka;Rzeczniówek;Rzeczniówka;
Mierzynka;Mierzynko;Mierzynek;
Rychłocicic;Rychłocice;Rychłocicica;
Targoni;Targonie;Targon;
Jaczna;Jaczno;Jaczna;
Łowoszowa;Łowoszów;Łowoszowa;
Ciepienia;Ciepień;Ciepienie;
Bakuły;Bakuła;Bakuły;
Pawłowic;Pawłowice;Pawłowica;
Psar;Psary;Psar;
Polany;Polana;Polan;
Paczynki;Paczynka;Paczynek;
Mirosławek;Mirosławki;Mirosławka;
Polan;Polany;Polana;
Folgowa;Folgowo;Folgowa;
