Dopełniacz;Mianownik;Wynik Stemmera
Glinika Charzewskiego;Glinik Charzewski;Glinika Charzewski
Kolonii Szpondowa;Kolonia Szpondowo;Kolonia Szpondowy
Gawiniec;Gawiniańce;Gawiniec
Kolonii Konradowa;Kolonia Konradów;Kolonia Konradowy
Kantyły;Kantyła;Kantyły
Młynowa;Młynowo;Młynowy
Trząski-Zawodzia;Trząska-Zawodzie;Trząski-Zawodzie
Kwilna;Kwilno;Kwilny
Kozowa;Kozowo;Kozowy
Kościelnego;Kościelne;Kościelny
Wilkanowa;Wilkanowo;Wilkanowy
Zimnej;Zimna;Zimny
Lubachów;Lubachowy;Lubach
Przewoźnik;Przewoźniki;Przewoźnik
Jakaci Młodej;Jakać Młoda;Jakaty Młody
Świątkowa;Świątkowo;Świątkowy
Huty Głodowskiej;Huta Głodowska;Huty Głodowski
Klotyldzina;Klotyldzin;Klotyldzina
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka
Pieńków Szczepockich;Pieńki Szczepockie;Pieniek Szczepocki
Kolonii Łupin;Kolonia Łupiny;Kolonia Łupina
Koniewa-Osady;Koniewo-Osada;Koniewa-Osada
Jagielna;Jagielno;Jagielny
Chlewisk;Chlewiska;Chlewisko
Kikit;Kikity;Kikit
Woli Flaszczyny;Wola Flaszczyna;Wol Flaszczyna
Ławic;Ławice;Ławica
Głodówka;Głodówko;Głodówka
Czeczotek;Czeczotki;Czeczotka
Kolonii Janowic;Kolonia Janowice;Kolonia Janowica
Księżego Pola;Księże Pole;Księży Pola
Zaprężyna;Zaprężyn;Zaprężyna
Przytkowic;Przytkowice;Przytkowica
Cedyni;Cedynia;Cedyny
Jankielówki;Jankielówka;Jankielówki
Hulskiego;Hulskie;Hulski
Kleczewa;Kleczew;Kleczewo
Wardzyna;Wardzyn;Wardzyna
Ignatek-Kolonii;Ignatki-Kolonia;Ignatka-Kolonia
Tychowa Starego;Tychów Stary;Tychowy Stary
Wolicy Drugiej;Wolica Druga;Wolik Drugi
Białej Rawskiej;Biała Rawska;Biały Rawski
Kolonii Strzegocina;Kolonia Strzegocin;Kolonia Strzegocina
Kałuszyna;Kałuszyn;Kałuszyna
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowy
Gorodczyna;Gorodczyno;Gorodczyna
Żebrów-Perosów;Żebry-Perosy;Żeber-Peros
Kolonii Krzeczkowa;Kolonia Krzeczkowo-Gromadzyn;Kolonii Krzeczkowy
Miłuk;Miłuki;Miłuk
Gackich;Gackie;Gacki
Chełch Iłowych;Chełchy Iłowe;Cheł Iłowy
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny
Lejkówka;Lejkówko;Lejkówka
Winowa;Winów;Winowy
Gościradów;Gościrady;Gościrad
Krąpiewa;Krąpiewo;Krąpiewa
Złotnik Małych;Złotniki Małe;Złotnik Mały
Witkowa;Witków;Witkowy
Mejznerzyna;Mejznerzyn;Mejznerzyna
Chroślic;Chroślice;Chroślica
Piłak Wielkich;Piłaki Wielkie;Piłak Wielki
Tenczyna;Tenczyn;Tenczyna
Mokradeł;Mokradła;Mokradło
Nosalewic;Nosalewice;Nosalewica
Krobanówka;Krobanówek;Krobanówka
Niegolewa;Niegolewo;Niegolewa
Kumowa Majorackiego;Kumów Majoracki;Kumowy Majoracki
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowy Stary
Bieszkowic;Bieszkowice;Bieszkowica
Kluczewska;Kluczewsko;Kluczewski
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowy Białogardzki
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka
Jankowiec;Jankowce;Jankowiec
Rączek;Rączki;Rączka
Niesadny;Niesadna;Niesadny
Arciechowa;Arciechów;Arciechowy
Broszkowic;Broszkowice;Broszkowica
Tarkowa Dolnego;Tarkowo Dolne;Tarkowy Dolny
Śnieżek;Śnieżki;Śnieżek
Kolonii Bieniewa;Kolonia Bieniewo;Kolonia Bieniewa
Pogrzybowa;Pogrzybów;Pogrzybowa
Huty Skorzęckiej;Huta Skorzęcka;Huty Skorzęcki
Kozieźla;Koziel;Kozieźle
Świerzowej Polskiej;Świerzowa Polska;Świerzowy Polski
Kierzkowa;Kierzkowo;Kierzkowy
Kaput;Kaputy;Kaput
Koniecek;Koniecki;Koniecka
Kolonii Rostek;Kolonia Rostki;Kolonia Rostka
Paprotek;Paprotki;Paprotka
Wroniaw;Wroniawy;Wroniawa
Kiełpinka;Kiełpinek;Kiełpinka
Ryszek;Ryszki;Ryszka
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica
Wólki Strońskiej;Wólka Strońska;Wólka Stroński
Lnisk;Lniska;Lnisko
Gawerkowa;Gawerków;Gawerkowy
Popowa;Popów;Popowy
Koszyc;Koszyce;Koszyca
Miłowic;Miłowice;Miłowica
Wiadrowa;Wiadrowo;Wiadrowa
Wólki Niskiej;Wólka Niska;Wólka Niski
Wolini;Wolinia;Wolin
Homotów;Homoty;Homot
Stępocina;Stępocin;Stępocina
Dylewka;Dylewko;Dylewka
Suchej Kamienicy;Sucha Kamienica;Suchy Kamienica
Dionizowa;Dionizów;Dionizowy
Kobylej Góry;Kobyla Góra;Kobyli Góry
Jarzyc;Jarzyce;Jarzyca
Kolonii Mokin;Kolonia Mokiny;Kolonia Mokin
Kolonii Ostrowickiej;Kolonia Ostrowicka;Kolonia Ostrowicki
Łososiowic;Łososiowice;Łososiowica
Radkowa;Radków;Radkowy
Wólki Somiankowskiej;Wólka Somiankowska;Wólka Somiankowski
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowy
Czerlonki Leśnej;Czerlonka Leśna;Czerlonka Leśny
Wólki Miedzyńskiej;Wólka Miedzyńska;Wólka Miedzyński
Leska;Lesk;Leska
Łobody;Łoboda;Łobody
Smaszewa;Smaszew;Smaszewo
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony
Zaręb-Skórek;Zaręby-Skórki;Zaręba-Skórek
Głuska Dużego;Głusko Duże-Kolonia;Głuska Duży
Kamiennnej Kniei;Kamienna Knieja;Kamiennny Knieja
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchowy
Bąblinieńca;Bąbliniec;Bąblinieniec
Huty Jeżewskiej;Huta Jeżewska;Huty Jeżewski
Pyszącej;Pysząca;Pyszący
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna
Zagnańska;Zagnańsk;Zagnański
Wytoka;Wytok;Wytoka
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza
Zagrodów;Zagrody;Zagród
Radomic;Radomice;Radomica
Gaszowa;Gaszów;Gaszowy
Kamiennnego;Kamienne;Kamiennny
Kamiennnej;Kamienna;Kamiennny
Ostrożenia Pierwszego;Ostrożeń Pierwszy;Ostrożenie Pierwszy
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały
Gąsek;Gąski;Gąska
Dolnej Kolonii;Dolna Kolonia;Dolny Kolonia
Kubic;Kubice;Kubica
Kozła;Kozieł;Kozioł
Zaklikowa;Zaklików;Zaklikowy
Większyc;Większyce;Większyca
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia
Wtórka;Wtórek;Wtórka
Chajdyc;Chajdyce;Chajdyca
Jaryszowa;Jaryszów;Jaryszowy
Małej Kloni;Mała Klonia;Mały Klon
Kretowin;Kretowiny;Kretowina
Skaj;Skaje;Skaj
Leszczki Małej;Leszczka Mała;Leszczka Mały
Czachówek;Czachówki;Czachówka
Niekurzy;Niekurza;Niekurz
Daszewic;Daszewice;Daszewica
Piskajn;Piskajny;Piskajn
Stromieckiej Woli;Stromiecka Wola;Stromiecki Wol
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina
Chocianowa;Chocianów;Chocianowy
Pasiecznej;Pasieczna;Pasieczny
Rogózieźca;Rogóziec;Rogózieziec
Wolbromowa;Wolbromów;Wolbromowy
Momot Górnych;Momoty Górne;Momot Górny
Jagodzinieńca;Jagodziniec;Jagodzinieniec
Perzyn;Perzyny;Perzyna
Posucicic;Posucice;Posucicica
Warlit Małych;Warlity Małe;Warlit Mały
Koteż;Koteże;Koteż
Momajn;Momajny;Momajn
Piór Wielkich;Pióry Wielkie;Piór Wielki
Grodni;Grodnia;Grodny
Sarnówka;Sarnówek;Sarnówka
Steblewa;Steblewo;Steblew
Monasterzyska Wielkiego;Monasterzysko Wielkie;Monasterzysko Wielki
Rówiec;Rówce;Rówiec
Śniadowa;Śniadowo;Śniadowy
Gruszowa Wielkiego;Gruszów Wielki;Gruszowy Wielki
Nowolesia;Nowolesie;Nowoleś
Jesionnny;Jesionna;Jesionnny
Gostyczyny;Gostyczyna;Gostyczyn
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowy-Biernat
Wilczan;Wilczany;Wilczan
Czerwieńska;Czerwieńsk;Czerwieński
Niedar;Niedary;Niedar
Kopydłowa;Kopydłów;Kopydłowy
Pruchnika;Pruchnik;Pruchnika
Bryńska;Bryńsk;Bryński
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny
Jankowa;Janków;Jankowy
Słupnicy;Słupnica;Słupnik
Marków;Marki;Marek
Daniłowa;Daniłowo;Daniłowy
Dobrzynia;Dobrzyń;Dobrzynia
Śremska;Śremsko;Śremski
Dobrzykowa;Dobrzykowo;Dobrzykowy
Antosina;Antosin;Antosina
Gałkówka-Kolonii;Gałkówek-Kolonia;Gałkówka-Kolonia
Rębiszowa;Rębiszów;Rębiszowy
Starych Kostrów;Stare Kostry;Stary Kostrów
Niedarzyna;Niedarzyn;Niedarzyna
Dorowa;Dorowo;Dorowy
Skierbieszowa-Kolonii;Skierbieszów-Kolonia;Skierbieszowy-Kolonia
Lipy-Krępy;Lipa-Krępa;Lipa-Krępy
Chodlewa;Chodlewo;Chodlew
Długopola-Zdroju;Długopole-Zdrój;Długopola-Zdrój
Wręczycy Wielkiej;Wręczyca Wielka;Wręczyk Wielki
Galumina;Galumin;Galumina
Leśniowa Małego;Leśniów Mały;Leśniowy Mały
Rejowa;Rejów;Rejowy
Kopanina;Kopanino;Kopanina
Bębnowa;Bębnów;Bębnowy
Żmijewka Włościańskiego;Żmijewek Włościański;Żmijewka Włościański
Smolewa-Wsi;Smolewo-Wieś;Smolewa-Wszy
Kopaninin;Kopaniny;Kopaninina
Duczowa Wielkiego;Duczów Wielki;Duczowy Wielki
Gardna;Gardno;Gardny
Tymina;Tymin;Tymina
Kolonii Leleszek;Kolonia Leleszki;Kolonia Leleszka
Robaw;Robawy;Robawa
Osin Górnych;Osiny Górne;Osina Górny
Moszyn;Moszyny;Moszyna
Kolemczyczyc;Kolemczyce;Kolemczyczyca
Drawska Pomorskiego;Drawsko Pomorskie;Drawski Pomorski
Stepków;Stepki;Stepek
Wielkiej Nieszawki;Wielka Nieszawka;Wielki Nieszawka
Rębisk;Rębiska;Rębisko
Lewic;Lewice;Lewica
Wólki Paruszewskiej;Wólka Paruszewska;Wólka Paruszewski
Przytoki;Przytoka;Przytok
Bron;Brony;Bron
Jarosławia;Jarosław;Jarosławie
Sarny;Sarna;Sarny
Brzeźna-Kolonii;Brzeźno-Kolonia;Brzeźny-Kolonia
Lemana;Leman;Lemany
Raby Niżnej;Raba Niżna;Rab Niżny
Kadłubi;Kadłubia;Kadłuby
Reszkowiec;Reszkowce;Reszkowiec
Godaszewic;Godaszewice;Godaszewica
Rudy Solskiej;Ruda Solska;Ruda Solski
Duńkowic;Duńkowice;Duńkowica
Zapiecznego;Zapieczne;Zapieczny
Bolestraszyc;Bolestraszyce;Bolestraszyca
Skowierzyna;Skowierzyn;Skowierzyna
Podłużyc;Podłużyce;Podłużyca
Gunic;Gunice;Gunica
Chrośna;Chrośno;Chrośny
Grochówka;Grochówek;Grochówka
Kolonii Tomczyczyc;Kolonia Tomczyce;Kolonia Tomczyczyca
Sokula;Sokule;Sokula
Kuścińcniec;Kuścińce;Kuścińcniec
Chrośny;Chrośna;Chrośny
Kaleni Dużej;Kaleń Duża;Kalony Duży
Bolegorzyna;Bolegorzyn;Bolegorzyna
Karlikowa;Karlikowo;Karlikowy
Faliszowic;Faliszowice;Faliszowica
Sieciejowa;Sieciejów;Sieciejowy
Łowoszowa;Łowoszów;Łowoszowy
Bakuły;Bakuła;Bakuły
Woli Gołkowskiej;Wola Gołkowska;Wol Gołkowski
Probostwa Dolnego;Probostwo Dolne;Probostwo Dolny
Unieradza;Unieradz;Unieradza
Mirocina;Mirocin;Mirocina
Garbatki Nowej;Garbatka Nowa;Garbatka Nowy
Krzcięcina;Krzcięcin;Krzcięcina
Święcianowa;Święcianowo;Święcianowy
Pyrzyc;Pyrzyce;Pyrzyca
Swór;Swory;Swór
Charbic Górnych;Charbice Górne;Charbica Górny
Kolonii Popowa;Kolonia Popowo;Kolonia Popowy
Goświnowic;Goświnowice;Goświnowica
Celin Przesławickich;Celiny Przesławickie;Celina Przesławicki
Piotrowic;Piotrowice;Piotrowica
Rzepowskiego;Rzepowskie;Rzepowski
Czach;Czachy;Cz
Sośna Królewskiego;Sośno Królewskie;Sośny Królewski
Harbutowic;Harbutowice;Harbutowica
Rzepina-Kolonii;Rzepin-Kolonia;Rzepina-Kolonia
Boksyckiej;Boksycka;Boksycki
Runowa;Runowo;Runowy
Turobowa;Turobów;Turobowy
Brzezinek Nowych;Brzezinki Nowe;Brzezinka Nowy
Krępska;Krępsko;Krępski
Stoplina;Stoplin;Stoplina
Staniewic;Staniewice;Staniewica
Parnówka;Parnówko;Parnówka
Płonki-Kozłów;Płonka-Kozły;Płonka-Kozioł
Tapilkajm;Tapilkajmy;Tapilkajma
Wymysłowic;Wymysłowice;Wymysłowica
Kolonii Kalskich Nowin;Kolonia Kalskie Nowiny;Kolonia Kalski Nowina
Sanoki;Sanoka;Sanok
Borek Rozowskich;Borki Rozowskie;Borka Rozowski
Obrowa;Obrów;Obrowy
Kolonii Mikołajek;Kolonia Mikołajki;Kolonia Mikołajek
Chójek;Chójki;Chójka
Jamboreka;Jamborek;Jamboreka
Pierwoszyna;Pierwoszyno;Pierwoszyna
Mominy;Momina;Momin
Gręboszyc;Gręboszyce;Gręboszyca
Kolonii Sławkowa;Kolonia Sławkowo;Kolonia Sławkowy
Dobrowa;Dobrów;Dobrowy
Dachowy;Dachowa;Dachowy
Zemborzyc Podleśnych;Zemborzyce Podleśne;Zemborzyca Podleśny
Przeradowa;Przeradowo;Przeradowy
Zielenic;Zielenice;Zielenica
Krzeczowic;Krzeczowice;Krzeczowica
Bierkowic;Bierkowice;Bierkowica
Józefina;Józefin;Józefina
Polkowskiego;Polkowskie;Polkowski
Kolonii Małyszczyna;Kolonia Małyszczyn;Kolonia Małyszczyna
Kolonii Kowalewka;Kolonia Kowalewek;Kolonia Kowalewka
Pęzina;Pęzino;Pęzina
Zabostówa Małego;Zabostów Mały;Zabostówa Mały
Kolonii Zięb;Kolonia Zięby;Kolonia Zięba
Ułtowa;Ułtowo;Ułtowy
Obrębu;Obrąb;Obręb
Wołowych Lasów;Wołowe Lasy;Wołowy Las
Łukomia-Kolonii;Łukomie-Kolonia;Łukomia-Kolonia
Radzynia Podlaskiego;Radzyń Podlaski;Radzynia Podlaski
Bodzewa;Bodzew;Bodzewo
Drzonka;Drzonek;Drzonka
Trzaskowa;Trzaskowo;Trzaskowy
Samborza;Sambórz;Samborze
Lisowic-Kolonii;Lisowice-Kolonia;Lisowica-Kolonia
Felicjana;Felicjan;Felicjana
Łumpi;Łumpia;Łumpi
Ponik;Poniki;Ponik
Kobylina-Pieniążek;Kobylin-Pieniążki;Kobylina-Pieniążek
Srebrnej Góry;Srebrna Góra;Srebrny Góry
Starych Bogaczowic;Stare Bogaczowice;Stary Bogaczowica
Ząbrska Dolnego;Ząbrsko Dolne;Ząbrski Dolny
Szymborna;Szymborno;Szymborny
Żelek;Żelki;Żelka
Szczyt-Nowodworów;Szczyty-Nowodwory;Szczyt-Nowodwór
Karolkowa Szwarockiego;Karolków Szwarocki;Karolkowy Szwarocki
Nowej Sławogóry;Nowa Sławogóra;Nowy Sławogóra
Lubnów Małych;Lubnowy Małe;Luben Mały
Nakła Śląskiego;Nakło Śląskie;Nakły Śląski
Dzikówka;Dzikówko;Dzikówka
Kruszewa-Brodowa;Kruszewo-Brodowo;Kruszewo-Brodowy
Gleźnowa;Gleźnowo;Gleźnowy
Orzyn;Orzyny;Orzyna
Sankur;Sankury;Sankura
Stojadeł;Stojadła;Stojadło
Tuchowa;Tuchów;Tuchowy
Świetlina;Świetlino;Świetlina
Wydorowa;Wydorowo;Wydorowy
Zuzułki;Zuzułka;Zuzułki
Ciechomic;Ciechomice;Ciechomica
Wyłudek;Wyłudki;Wyłudek
Falent Nowych;Falenty Nowe;Falent Nowy
Kolonii Kwiatkowa;Kolonia Kwiatkowo;Kolonia Kwiatkowy
Osieczowa;Osieczów;Osieczowy
Sitek;Sitki;Sitka
Magnuszewic;Magnuszewice;Magnuszewica
Parku Garo;Park Garo;Parek Gara
Zelek;Zelki;Zelka
Potoków;Potoki;Potok
Pczelina;Pczelino;Pczelina
Trąb;Trąby;Trąb
Kolonii Grzebieni;Kolonia Grzebienie;Kolonia Grzebiony
Borysławic Kościelnych;Borysławice Kościelne;Borysławica Kościelny
Liwek;Liwki;Liwek
Uścikowa-Folwarku;Uścikowo-Folwark;Uścikowy-Folwark
Będzieszyny;Będzieszyna;Będzieszyn
Broniewka;Broniewek;Broniewka
Paderewka;Paderewek;Paderewka
Tarzymiech Pierwszych;Tarzymiechy Pierwsze;Tarzymiech Pierwszy
Dobrzejowa;Dobrzejów;Dobrzejowy
Wereszczyna;Wereszczyn;Wereszczyna
Cekcyna;Cekcyn;Cekcyna
Nowych Wypych;Nowe Wypychy;Nowy Wypy
Kolonii Kozików;Kolonia Koziki;Kolonia Kozik
Godlewa-Gudosz;Godlewo-Gudosze;Godlew-Gudosz
Czarnowa;Czarnów;Czarnowy
Kolonii Jakubowskich;Kolonia Jakubowskie;Kolonia Jakubowski
Borowej Woli;Borowa Wola;Borowy Wol
Zakrzewka;Zakrzewko;Zakrzewka
Przygodziczek;Przygodziczki;Przygodziczka
Cimowa;Cimowo;Cimowy
Kobelnik;Kobelniki;Kobelnik
Maręży;Maręże;Maręż
Studennnego;Studenne;Studennny
Paniewka;Paniewek;Paniewka
Wyrębowa;Wyrębów;Wyrębowy
Drezna;Drezno;Drezny
Nochowa;Nochowo;Nochowy
Bałowa;Bałowo;Bałowy
Kolbuszowej Górnej;Kolbuszowa Górna;Kolbuszowy Górny
Wiąskich Piasków;Wiąskie Piaski;Wiąski Piasek
Borzęciczek;Borzęciczki;Borzęciczka
Jazdowic;Jazdowice;Jazdowica
Chrząchówka;Chrząchówek;Chrząchówka
Cezarowa;Cezarów;Cezarowy
Rządkowa;Rządkowo;Rządkowa
Justynowa;Justynów;Justynowy
Zdanowic;Zdanowice;Zdanowica
Kolonii Pawłówka;Kolonia Pawłówek;Kolonia Pawłówka
Lubiankowa;Lubianków;Lubiankowy
Bełdna;Bełdno;Bełdny
Zagród Łukówieckich;Zagrody Łukówieckie;Zagroda Łukówiecki
Bystrojowic;Bystrojowice;Bystrojowica
Bartos;Bartosy;Bartos
Niestkowa;Niestkowo;Niestkowy
Czesławowa;Czesławowo;Czesławowy
Piątku Małego;Piątek Mały-Kolonia;Piątku Mały
Drzewian;Drzewiany;Drzewian
Nowej Bukówki;Nowa Bukówka;Nowy Bukówka
Sosny-Kozółek;Sosna-Kozółki;Sosny-Kozółek
Obałek;Obałki;Obałek
Korczówki-Kolonii;Korczówka-Kolonia;Korczówki-Kolonia
Grabowna;Grabowno;Grabowny
Kolonii Jarkowa;Kolonia Jarkowo;Kolonia Jarkowy
Przydatków Przybyszowskich;Przydatki Przybyszowskie;Przydatek Przybyszowski
Stuposian;Stuposiany;Stuposiano
Kaszew Dwornych;Kaszewy Dworne;Kaszwa Dworny
Swędzieniejewic;Swędzieniejewice;Swędzieniejewica
Bóbrki;Bóbrka;Bóbrek
Rudzka Dużego;Rudzk Duży;Rudzki Duży
Górawina;Górawino;Górawina
Częstkowa;Częstkowo;Częstkowy
Galewic;Galewice;Galewica
Kaleni Małej;Kaleń Mała;Kalony Mały
Krasocina;Krasocin;Krasocina
Czyżewa-Rusi-Kolonii;Czyżew-Ruś-Kolonia;Czyżewa-Rusia-Kolonia
Góry;Góra;Góry
Władysławówowa Bielawskiego;Władysławów Bielawski;Władysławówowy Bielawski
Falniowa-Wysiołka;Falniów-Wysiołek;Falniowy-Wysiołek
Kalisk Kościerskich;Kaliska Kościerskie;Kaliska Kościerski
Dobromyśla;Dobromyśl;Dobromyśla
Chomętowa;Chomętowo;Chomętowy
Kołkowa;Kołkowo;Kołkowy
Gór;Góry;Gór
Łośnicy;Łośnica;Łośnik
Karolowa;Karolów;Karolowy
Chojanego-Sierociąt;Chojane-Sierocięta;Chojany-Sierocię
Korzennna;Korzenno;Korzennny
Smielic;Smielice;Smielica
Korzennnej;Korzenna;Korzennny
Wejherowa;Wejherowo;Wejherowy
Ścinawy;Ścinawa;Ścinawy
Dobrylewa;Dobrylewo;Dobrylew
Porajowa;Porajów;Porajowy
Uniejowa;Uniejów;Uniejowy
Cepna;Cepno;Cepny
Szczercowa;Szczerców;Szczercowy
Brzezia k. Pomorska;Brzezie k. Pomorska;Brzeź k. Pomorski
Kolonii Wilkas;Kolonia Wilkasy;Kolonia Wilkas
Poręby Górnej;Poręba Górna;Porąb Górny
Łaniocha;Łanioch;Łaniocha
Grzymałkowa;Grzymałków;Grzymałkowy
Zosinowa;Zosinowo;Zosinowy
Dobrzykowic;Dobrzykowice;Dobrzykowica
Podstrobowa;Podstrobów;Podstrobowy
Mezowa;Mezowo;Mezowy
Bałamącka;Bałamącek;Bałamącki
Przepałkowa;Przepałkowo;Przepałkowy
Sińczycy;Sińczyca;Sińczyk
Krasnodęb-Sypytek;Krasnodęby-Sypytki;Krasnodęba-Sypytka
Brześc;Brześce;Brześc
Nowej Kamionki;Nowa Kamionka;Nowy Kamionka
Suchej Psiny;Sucha Psina;Suchy Psiny
Połażejewa;Połażejewo;Połażejewa
Kolonii Włóczysk;Kolonia Włóczyska;Kolonia Włóczysko
Muratyna-Kolonii;Muratyn-Kolonia;Muratyna-Kolonia
Duczymina;Duczymin;Duczymina
Serok;Seroki;Serok
Kolonii Męczennic;Kolonia Męczennice;Kolonia Męczennica
Wojciechowa PierwszKolonii;Wojciechów-Kolonia Pierwsza;Wojciechowa PierwszKolonia
Jurczyczyc;Jurczyce;Jurczyczyca
Huczwic;Huczwice;Huczwica
Nieceni;Niecenia;Nieciony
Dębowej Góry;Dębowa Góra;Dębowy Góry
Plastowa;Plastowo;Plastowy
Woli Wilknickiej;Wola Wilknicka;Wol Wilknicki
Dziechowa;Dziechowo;Dziechowy
Starych Gagów;Stare Gagowy;Stary Gag
Białej Leśniczówki;Biała Leśniczówka;Biały Leśniczówka
Oraczewa Małego;Oraczew Mały;Oraczewo Mały
Kolonii Wałek;Kolonia Wałki;Kolonia Wałka
Chotyłowa;Chotyłów;Chotyłowy
Pobiedzisk;Pobiedziska;Pobiedzisko
Glicka;Glicko;Glicki
Okulic;Okulice;Okulica
Kolonii Ramsówka;Kolonia Ramsówek;Kolonia Ramsówka
Radzikowa-Stopek;Radzików-Stopki;Radzikowy-Stopki
Jedlna Pierwszego;Jedlno Pierwsze;Jedlny Pierwszy
Tarnawy Dużej;Tarnawa Duża;Tarnawy Duży
Wodzina Majorackiego;Wodzin Majoracki;Wodzina Majoracki
Wąworkowa;Wąworków;Wąworkowy
Babska;Babsk;Babski
Starego Ochędzyna;Stary Ochędzyn;Stary Ochędzyna
Samostrzałowa;Samostrzałów;Samostrzałowy
Dzierżaw;Dzierżawy;Dzierżawa
Nowego Zgagowa;Nowe Zgagowo;Nowy Zgagowy
Jankowa Zaleśnego;Janków Zaleśny;Jankowy Zaleśny
Zawierszów;Zawiersze;Zawiersz
Smogórów;Smogóry;Smogóra
Kolonii Paździerowic;Kolonia Paździerowice;Kolonia Paździerowica
Gralewa-Stacji;Gralewo-Stacja;Gralewa-Stacja
Pantalowic;Pantalowice;Pantalowica
Czerśli;Czerśl;Czersły
Darownego;Darowne;Darowny
Szczucina;Szczucin;Szczucina
Sysek;Syski;Syska
Moskwina;Moskwin;Moskwina
Kolonii Gozdów;Kolonia Gozdów;Kolonia Gozd
Zbor-Młyna;Zbory-Młyn;Zbor-Młyn
Myjomic;Myjomice;Myjomica
Ryni;Rynia;Ryni
Świątnik Dolnych;Świątniki Dolne;Świątnik Dolny
