Dopełniacz;Mianownik;Wynik Stemmera
Kolonii Konradowa;Kolonia Konradów;Kolonia Konradowa
Kantyły;Kantyła;Kantył
Młynowa;Młynowo;Młynowa
Kwilna;Kwilno;Kwilna
Kozowa;Kozowo;Kozowa
Kościelnego;Kościelne;Kościelny
Wilkanowa;Wilkanowo;Wilkanowa
Lubachów;Lubachowy;Lubach
Przewoźnik;Przewoźniki;Przewoźnik
Jakaci Młodej;Jakać Młoda;Jakat Młoda
Świątkowa;Świątkowo;Świątkowa
Huty Głodowskiej;Huta Głodowska;Hut Głodowska
Klotyldzina;Klotyldzin;Klotyldzina
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka
Pieńków Szczepockich;Pieńki Szczepockie;Pieniek Szczepocki
Kolonii Łupin;Kolonia Łupiny;Kolonia Łupina
Koniewa-Osady;Koniewo-Osada;Koniewa-Osada
Jagielna;Jagielno;Jagielna
Chlewisk;Chlewiska;Chlewisko
Kikit;Kikity;Kikit
Woli Flaszczyny;Wola Flaszczyna;Wol Flaszczyna
Ławic;Ławice;Ławica
Głodówka;Głodówko;Głodówka
Czeczotek;Czeczotki;Czeczotka
Kolonii Janowic;Kolonia Janowice;Kolonia Janowica
Księżego Pola;Księże Pole;Księży Pola
Zaprężyna;Zaprężyn;Zaprężyna
Przytkowic;Przytkowice;Przytkowica
Cedyni;Cedynia;Cedyn
Jankielówki;Jankielówka;Jankielówki
Hulskiego;Hulskie;Hulski
Kleczewa;Kleczew;Kleczewo
Wardzyna;Wardzyn;Wardzyna
Ignatek-Kolonii;Ignatki-Kolonia;Ignatka-Kolonia
Wolicy Drugiej;Wolica Druga;Wolik Druga
Kolonii Strzegocina;Kolonia Strzegocin;Kolonia Strzegocina
Kałuszyna;Kałuszyn;Kałuszyna
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowa
Gorodczyna;Gorodczyno;Gorodczyna
Żebrów-Perosów;Żebry-Perosy;Żeber-Peros
Kolonii Krzeczkowa;Kolonia Krzeczkowo-Gromadzyn;Kolonii Krzeczkowa
Miłuk;Miłuki;Miłuk
Gackich;Gackie;Gacka
Chełch Iłowych;Chełchy Iłowe;Chee Iłowy
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny
Lejkówka;Lejkówko;Lejkówka
Winowa;Winów;Winowa
Gościradów;Gościrady;Gościrad
Krąpiewa;Krąpiewo;Krąpiewa
Złotnik Małych;Złotniki Małe;Złotnik Mała
Witkowa;Witków;Witkowa
Mejznerzyna;Mejznerzyn;Mejznerzyna
Chroślic;Chroślice;Chroślica
Piłak Wielkich;Piłaki Wielkie;Piłak Wielki
Tenczyna;Tenczyn;Tenczyna
Mokradeł;Mokradła;Mokradło
Nosalewic;Nosalewice;Nosalewica
Krobanówka;Krobanówek;Krobanówka
Niegolewa;Niegolewo;Niegolewa
Kumowa Majorackiego;Kumów Majoracki;Kumowa Majoracki
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowa Stary
Bieszkowic;Bieszkowice;Bieszkowica
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowa Białogardzki
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka
Jankowiec;Jankowce;Jankowiec
Rączek;Rączki;Rączka
Niesadny;Niesadna;Niesadny
Broszkowic;Broszkowice;Broszkowica
Tarkowa Dolnego;Tarkowo Dolne;Tarkowa Dolny
Śnieżek;Śnieżki;Śnieżek
Kolonii Bieniewa;Kolonia Bieniewo;Kolonia Bieniewa
Pogrzybowa;Pogrzybów;Pogrzybowa
Huty Skorzęckiej;Huta Skorzęcka;Hut Skorzęcka
Kozieźla;Koziel;Kozieźle
Kierzkowa;Kierzkowo;Kierzkowa
Kaput;Kaputy;Kaput
Koniecek;Koniecki;Koniecka
Kolonii Rostek;Kolonia Rostki;Kolonia Rostka
Paprotek;Paprotki;Paprotka
Wroniaw;Wroniawy;Wroniawa
Kiełpinka;Kiełpinek;Kiełpinka
Ryszek;Ryszki;Ryszka
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica
Lnisk;Lniska;Lnisko
Gawerkowa;Gawerków;Gawerkowa
Popowa;Popów;Popowa
Koszyc;Koszyce;Koszyca
Miłowic;Miłowice;Miłowica
Wiadrowa;Wiadrowo;Wiadrowa
Wolini;Wolinia;Wolin
Homotów;Homoty;Homot
Stępocina;Stępocin;Stępocina
Dylewka;Dylewko;Dylewka
Suchej Kamienicy;Sucha Kamienica;Suchej Kamienica
Dionizowa;Dionizów;Dionizowa
Kobylej Góry;Kobyla Góra;Kobylej Gór
Jarzyc;Jarzyce;Jarzyca
Kolonii Mokin;Kolonia Mokiny;Kolonia Mokin
Łososiowic;Łososiowice;Łososiowica
Radkowa;Radków;Radkowa
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowa
Leska;Lesk;Leska
Łobody;Łoboda;Łobody
Smaszewa;Smaszew;Smaszewo
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony
Zaręb-Skórek;Zaręby-Skórki;Zaręba-Skórek
Głuska Dużego;Głusko Duże-Kolonia;Głuska Duży
Kamiennnej Kniei;Kamienna Knieja;Kamiennna Knieja
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchów
Bąblinieńca;Bąbliniec;Bąblinieniec
Huty Jeżewskiej;Huta Jeżewska;Hut Jeżewska
Pyszącej;Pysząca;Pysząca się
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna
Zagnańska;Zagnańsk;Zagnańska
Wytoka;Wytok;Wytoka
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza
Zagrodów;Zagrody;Zagród
Radomic;Radomice;Radomica
Gaszowa;Gaszów;Gaszowa
Kamiennnego;Kamienne;Kamiennny
Kamiennnej;Kamienna;Kamiennna
Ostrożenia Pierwszego;Ostrożeń Pierwszy;Ostrożenie Pierwszy
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały
Gąsek;Gąski;Gąska
Kubic;Kubice;Kubica
Kozła;Kozieł;Kozioł
Zaklikowa;Zaklików;Zaklikowa
Większyc;Większyce;Większyca
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia
Wtórka;Wtórek;Wtórka
Chajdyc;Chajdyce;Chajdyca
Jaryszowa;Jaryszów;Jaryszowa
Małej Kloni;Mała Klonia;Mała Klon
Kretowin;Kretowiny;Kretowina
Skaj;Skaje;Skaj
Czachówek;Czachówki;Czachówka
Niekurzy;Niekurza;Niekurz
Daszewic;Daszewice;Daszewica
Piskajn;Piskajny;Piskajn
Stromieckiej Woli;Stromiecka Wola;Stromiecka Wol
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina
Chocianowa;Chocianów;Chocianowa
Rogózieźca;Rogóziec;Rogózieziec
Wolbromowa;Wolbromów;Wolbromowa
Momot Górnych;Momoty Górne;Momot Górny
Jagodzinieńca;Jagodziniec;Jagodzinieniec
Perzyn;Perzyny;Perzyna
Posucicic;Posucice;Posucicica
Warlit Małych;Warlity Małe;Warlit Mała
Koteż;Koteże;Koteż
Momajn;Momajny;Momajn
Piór Wielkich;Pióry Wielkie;Piór Wielki
Sarnówka;Sarnówek;Sarnówka
Steblewa;Steblewo;Steblewa
Monasterzyska Wielkiego;Monasterzysko Wielkie;Monasterzysko Wielki
Rówiec;Rówce;Rówiec
Śniadowa;Śniadowo;Śniadowa
Gruszowa Wielkiego;Gruszów Wielki;Gruszowa Wielki
Nowolesia;Nowolesie;Nowoleś
Jesionnny;Jesionna;Jesionnna
Gostyczyny;Gostyczyna;Gostyczyn
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowa-Biernat
Wilczan;Wilczany;Wilczan
Czerwieńska;Czerwieńsk;Czerwieńska
Niedar;Niedary;Niedar
Pruchnika;Pruchnik;Pruchnika
Bryńska;Bryńsk;Bryńska
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny
Jankowa;Janków;Jankowa
Słupnicy;Słupnica;Słupnik
Marków;Marki;Marek
Daniłowa;Daniłowo;Daniłów
Dobrzynia;Dobrzyń;Dobrzynia
Dobrzykowa;Dobrzykowo;Dobrzykowa
Antosina;Antosin;Antosina
Gałkówka-Kolonii;Gałkówek-Kolonia;Gałkówka-Kolonia
Rębiszowa;Rębiszów;Rębiszowa
Starych Kostrów;Stare Kostry;Stara Kostrów
Niedarzyna;Niedarzyn;Niedarzyna
Dorowa;Dorowo;Dorowa
Skierbieszowa-Kolonii;Skierbieszów-Kolonia;Skierbieszowa-Kolonia
Lipy-Krępy;Lipa-Krępa;Lipa-Kręp
Chodlewa;Chodlewo;Chodlewa
Długopola-Zdroju;Długopole-Zdrój;Długopola-Zdrój
Wręczycy Wielkiej;Wręczyca Wielka;Wręczyk Wielka
Galumina;Galumin;Galumina
Leśniowa Małego;Leśniów Mały;Leśniowa Mały
Rejowa;Rejów;Rejowa
Kopanina;Kopanino;Kopanina
Bębnowa;Bębnów;Bębnowa
Żmijewka Włościańskiego;Żmijewek Włościański;Żmijewka Włościański
Smolewa-Wsi;Smolewo-Wieś;Smolewa-Ws
Kopaninin;Kopaniny;Kopaninina
Duczowa Wielkiego;Duczów Wielki;Duczowa Wielki
Gardna;Gardno;Gardna
Tymina;Tymin;Tymina
Kolonii Leleszek;Kolonia Leleszki;Kolonia Leleszka
Robaw;Robawy;Robawa
Osin Górnych;Osiny Górne;Osina Górny
Moszyn;Moszyny;Moszyna
Kolemczyczyc;Kolemczyce;Kolemczyczyca
Drawska Pomorskiego;Drawsko Pomorskie;Drawsko Pomorski
Stepków;Stepki;Stepek
Rębisk;Rębiska;Rębisko
Lewic;Lewice;Lewica
Przytoki;Przytoka;Przytok
Bron;Brony;Bron
Jarosławia;Jarosław;Jarosławie
Sarny;Sarna;Sarn
Brzeźna-Kolonii;Brzeźno-Kolonia;Brzeźna-Kolonia
Kolczyna;Kolczyn;Kolczyna
Raby Niżnej;Raba Niżna;Rab Niżna
Kadłubi;Kadłubia;Kadłuby
Reszkowiec;Reszkowce;Reszkowiec
Godaszewic;Godaszewice;Godaszewica
Duńkowic;Duńkowice;Duńkowica
Zapiecznego;Zapieczne;Zapieczny
Bolestraszyc;Bolestraszyce;Bolestraszyca
Skowierzyna;Skowierzyn;Skowierzyna
Podłużyc;Podłużyce;Podłużyca
Gunic;Gunice;Gunica
Chrośna;Chrośno;Chrośna
Grochówka;Grochówek;Grochówka
Kolonii Tomczyczyc;Kolonia Tomczyce;Kolonia Tomczyczyca
Sokula;Sokule;Sokula
Kuścińcniec;Kuścińce;Kuścińcniec
Chrośny;Chrośna;Chrośn
Kaleni Dużej;Kaleń Duża;Kalenie Duża
Bolegorzyna;Bolegorzyn;Bolegorzyna
Karlikowa;Karlikowo;Karlikowa
Faliszowic;Faliszowice;Faliszowica
Sieciejowa;Sieciejów;Sieciejowa
Łowoszowa;Łowoszów;Łowoszowa
Bakuły;Bakuła;Bakuły
Woli Gołkowskiej;Wola Gołkowska;Wol Gołkowska
Probostwa Dolnego;Probostwo Dolne;Probostwo Dolny
Unieradza;Unieradz;Unieradza
Mirocina;Mirocin;Mirocina
Krzcięcina;Krzcięcin;Krzcięcina
Święcianowa;Święcianowo;Święcianowa
Pyrzyc;Pyrzyce;Pyrzyca
Swór;Swory;Swór
Charbic Górnych;Charbice Górne;Charbica Górny
Kolonii Popowa;Kolonia Popowo;Kolonia Popowa
Goświnowic;Goświnowice;Goświnowica
Celin Przesławickich;Celiny Przesławickie;Celina Przesławicki
Piotrowic;Piotrowice;Piotrowica
Rzepowskiego;Rzepowskie;Rzepowski
Czach;Czachy;Cz
Sośna Królewskiego;Sośno Królewskie;Sośna Królewski
Harbutowic;Harbutowice;Harbutowica
Rzepina-Kolonii;Rzepin-Kolonia;Rzepina-Kolonia
Runowa;Runowo;Runowa
Turobowa;Turobów;Turobowa
Brzezinek Nowych;Brzezinki Nowe;Brzezinka Nowy
Stoplina;Stoplin;Stoplina
Staniewic;Staniewice;Staniewica
Parnówka;Parnówko;Parnówka
Płonki-Kozłów;Płonka-Kozły;Płonka-Kozioł
Tapilkajm;Tapilkajmy;Tapilkajma
Wymysłowic;Wymysłowice;Wymysłowica
Kolonii Kalskich Nowin;Kolonia Kalskie Nowiny;Kolonia Kalski Nowina
Sanoki;Sanoka;Sanok
Borek Rozowskich;Borki Rozowskie;Borka Rozowski
Obrowa;Obrów;Obrowa
Kolonii Mikołajek;Kolonia Mikołajki;Kolonia Mikołajek
Chójek;Chójki;Chójka
Jamboreka;Jamborek;Jamboreka
Pierwoszyna;Pierwoszyno;Pierwoszyna
Mominy;Momina;Momin
Gręboszyc;Gręboszyce;Gręboszyca
Kolonii Sławkowa;Kolonia Sławkowo;Kolonia Sławkowa
Dobrowa;Dobrów;Dobrowa
Dachowy;Dachowa;Dachów
Zemborzyc Podleśnych;Zemborzyce Podleśne;Zemborzyca Podleśne
Przeradowa;Przeradowo;Przeradowa
Zielenic;Zielenice;Zielenica
Krzeczowic;Krzeczowice;Krzeczowica
Bierkowic;Bierkowice;Bierkowica
Józefina;Józefin;Józefina
Polkowskiego;Polkowskie;Polkowski
Kolonii Małyszczyna;Kolonia Małyszczyn;Kolonia Małyszczyna
Kolonii Kowalewka;Kolonia Kowalewek;Kolonia Kowalewka
Pęzina;Pęzino;Pęzina
Zabostówa Małego;Zabostów Mały;Zabostówa Mały
Kolonii Zięb;Kolonia Zięby;Kolonia Zięba
Ułtowa;Ułtowo;Ułtowa
Obrębu;Obrąb;Obręb
Wołowych Lasów;Wołowe Lasy;Wołowe Las
Łukomia-Kolonii;Łukomie-Kolonia;Łukomia-Kolonia
Radzynia Podlaskiego;Radzyń Podlaski;Radzynia Podlaski
Bodzewa;Bodzew;Bodzewo
Drzonka;Drzonek;Drzonka
Trzaskowa;Trzaskowo;Trzaskowa
Samborza;Sambórz;Samborze
Lisowic-Kolonii;Lisowice-Kolonia;Lisowica-Kolonia
Felicjana;Felicjan;Felicjana
Łumpi;Łumpia;Łumpie
Ponik;Poniki;Ponik
Kobylina-Pieniążek;Kobylin-Pieniążki;Kobylina-Pieniążek
Srebrnej Góry;Srebrna Góra;Srebrna Gór
Starych Bogaczowic;Stare Bogaczowice;Stara Bogaczowica
Ząbrska Dolnego;Ząbrsko Dolne;Ząbrsko Dolny
Szymborna;Szymborno;Szymborn
Żelek;Żelki;Żelka
Szczyt-Nowodworów;Szczyty-Nowodwory;Szczyt-Nowodwór
Karolkowa Szwarockiego;Karolków Szwarocki;Karolkowa Szwarocki
Lubnów Małych;Lubnowy Małe;Luben Mała
Nakła Śląskiego;Nakło Śląskie;Nakła Śląski
Dzikówka;Dzikówko;Dzikówka
Kruszewa-Brodowa;Kruszewo-Brodowo;Kruszewo-Brodowa
Gleźnowa;Gleźnowo;Gleźnowa
Orzyn;Orzyny;Orzyna
Sankur;Sankury;Sankura
Stojadeł;Stojadła;Stojadło
Świetlina;Świetlino;Świetlina
Wydorowa;Wydorowo;Wydorowa
Zuzułki;Zuzułka;Zuzułki
Ciechomic;Ciechomice;Ciechomica
Wyłudek;Wyłudki;Wyłudek
Falent Nowych;Falenty Nowe;Falent Nowy
Kolonii Kwiatkowa;Kolonia Kwiatkowo;Kolonia Kwiatkowa
Osieczowa;Osieczów;Osieczowa
Sitek;Sitki;Sitka
Magnuszewic;Magnuszewice;Magnuszewica
Parku Garo;Park Garo;Parek Gara
Zelek;Zelki;Zelka
Potoków;Potoki;Potok
Pczelina;Pczelino;Pczelina
Trąb;Trąby;Trąb
Kolonii Grzebieni;Kolonia Grzebienie;Kolonia Grzebień
Borysławic Kościelnych;Borysławice Kościelne;Borysławica Kościelny
Liwek;Liwki;Liwek
Uścikowa-Folwarku;Uścikowo-Folwark;Uścikowa-Folwark
Będzieszyny;Będzieszyna;Będzieszyn
Broniewka;Broniewek;Broniewka
Paderewka;Paderewek;Paderewka
Tarzymiech Pierwszych;Tarzymiechy Pierwsze;Tarzymiech Pierwsza
Dobrzejowa;Dobrzejów;Dobrzejowa
Wereszczyna;Wereszczyn;Wereszczyna
Cekcyna;Cekcyn;Cekcyna
Nowych Wypych;Nowe Wypychy;Nowy Wypy
Kolonii Kozików;Kolonia Koziki;Kolonia Kozik
Godlewa-Gudosz;Godlewo-Gudosze;Godlewa-Gudosz
Czarnowa;Czarnów;Czarnowa
Kolonii Jakubowskich;Kolonia Jakubowskie;Kolonia Jakubowski
Borowej Woli;Borowa Wola;Borowa Wol
Zakrzewka;Zakrzewko;Zakrzewka
Przygodziczek;Przygodziczki;Przygodziczka
Cimowa;Cimowo;Cimowa
Kobelnik;Kobelniki;Kobelnik
Maręży;Maręże;Maręż
Studennnego;Studenne;Studennny
Paniewka;Paniewek;Paniewka
Wyrębowa;Wyrębów;Wyrębowa
Drezna;Drezno;Drezna
Nochowa;Nochowo;Nochów
Bałowa;Bałowo;Bałowa
Wiąskich Piasków;Wiąskie Piaski;Wiąski Piasek
Borzęciczek;Borzęciczki;Borzęciczka
Jazdowic;Jazdowice;Jazdowica
Chrząchówka;Chrząchówek;Chrząchówka
Cezarowa;Cezarów;Cezarowa
Rządkowa;Rządkowo;Rządkowa
Justynowa;Justynów;Justynowa
Zdanowic;Zdanowice;Zdanowica
Kolonii Pawłówka;Kolonia Pawłówek;Kolonia Pawłówka
Lubiankowa;Lubianków;Lubiankowa
Bełdna;Bełdno;Bełdna
Zagród Łukówieckich;Zagrody Łukówieckie;Zagroda Łukówiecki
Bystrojowic;Bystrojowice;Bystrojowica
Bartos;Bartosy;Bartos
Niestkowa;Niestkowo;Niestkowa
Czesławowa;Czesławowo;Czesławowa
Piątku Małego;Piątek Mały-Kolonia;Piątku Mały
Drzewian;Drzewiany;Drzewian
Sosny-Kozółek;Sosna-Kozółki;Sosna-Kozółek
Obałek;Obałki;Obałek
Korczówki-Kolonii;Korczówka-Kolonia;Korczówki-Kolonia
Grabowna;Grabowno;Grabown
Kolonii Jarkowa;Kolonia Jarkowo;Kolonia Jarkowa
Przydatków Przybyszowskich;Przydatki Przybyszowskie;Przydatek Przybyszowski
Stuposian;Stuposiany;Stuposiano
Kaszew Dwornych;Kaszewy Dworne;Kaszwa Dworne
Swędzieniejewic;Swędzieniejewice;Swędzieniejewica
Bóbrki;Bóbrka;Bóbrek
Rudzka Dużego;Rudzk Duży;Rudzka Duży
Górawina;Górawino;Górawina
Częstkowa;Częstkowo;Częstkowa
Galewic;Galewice;Galewica
Kaleni Małej;Kaleń Mała;Kalenie Mała
Krasocina;Krasocin;Krasocina
Czyżewa-Rusi-Kolonii;Czyżew-Ruś-Kolonia;Czyżewa-Rusia-Kolonia
Góry;Góra;Gór
Władysławówowa Bielawskiego;Władysławów Bielawski;Władysławówowa Bielawski
Falniowa-Wysiołka;Falniów-Wysiołek;Falniowa-Wysiołek
Kalisk Kościerskich;Kaliska Kościerskie;Kaliska Kościerski
Dobromyśla;Dobromyśl;Dobromyśla
Chomętowa;Chomętowo;Chomętowa
Kołkowa;Kołkowo;Kołkowa
Gór;Góry;Gór
Łośnicy;Łośnica;Łośnik
Karolowa;Karolów;Karolowa
Chojanego-Sierociąt;Chojane-Sierocięta;Chojany-Sierocię
Korzennna;Korzenno;Korzennna
Smielic;Smielice;Smielica
Korzennnej;Korzenna;Korzennna
Wejherowa;Wejherowo;Wejherowa
Dobrylewa;Dobrylewo;Dobrylewa
Porajowa;Porajów;Porajowa
Uniejowa;Uniejów;Uniejowa
Szczercowa;Szczerców;Szczercowa
Brzezia k. Pomorska;Brzezie k. Pomorska;Brzeź k. Pomorsko
Kolonii Wilkas;Kolonia Wilkasy;Kolonia Wilkas
Poręby Górnej;Poręba Górna;Porąb Górna
Łaniocha;Łanioch;Łaniocha
Grzymałkowa;Grzymałków;Grzymałkowa
Zosinowa;Zosinowo;Zosinowa
Dobrzykowic;Dobrzykowice;Dobrzykowica
Podstrobowa;Podstrobów;Podstrobowa
Mezowa;Mezowo;Mezowa
Bałamącka;Bałamącek;Bałamącka
Przepałkowa;Przepałkowo;Przepałkowa
Sińczycy;Sińczyca;Sińczyk
Krasnodęb-Sypytek;Krasnodęby-Sypytki;Krasnodęba-Sypytka
Brześc;Brześce;Brześc
Suchej Psiny;Sucha Psina;Suchej Psina
Połażejewa;Połażejewo;Połażejewa
Kolonii Włóczysk;Kolonia Włóczyska;Kolonia Włóczysko
Muratyna-Kolonii;Muratyn-Kolonia;Muratyna-Kolonia
Duczymina;Duczymin;Duczymina
Serok;Seroki;Serok
Kolonii Męczennic;Kolonia Męczennice;Kolonia Męczennica
Wojciechowa PierwszKolonii;Wojciechów-Kolonia Pierwsza;Wojciechowa PierwszKolonia
Jurczyczyc;Jurczyce;Jurczyczyca
Huczwic;Huczwice;Huczwica
Nieceni;Niecenia;Niecenie
Dębowej Góry;Dębowa Góra;Dębowa Gór
Plastowa;Plastowo;Plastowa
Woli Wilknickiej;Wola Wilknicka;Wol Wilknicka
Dziechowa;Dziechowo;Dziechów
Starych Gagów;Stare Gagowy;Stara Gag
Oraczewa Małego;Oraczew Mały;Oraczewo Mały
Kolonii Wałek;Kolonia Wałki;Kolonia Wałka
Pobiedzisk;Pobiedziska;Pobiedzisko
Glicka;Glicko;Glicka
Okulic;Okulice;Okulica
Kolonii Ramsówka;Kolonia Ramsówek;Kolonia Ramsówka
Radzikowa-Stopek;Radzików-Stopki;Radzikowa-Stopki
Jedlna Pierwszego;Jedlno Pierwsze;Jedlna Pierwszy
Wodzina Majorackiego;Wodzin Majoracki;Wodzina Majoracki
Wąworkowa;Wąworków;Wąworkowa
Babska;Babsk;Babsko
Starego Ochędzyna;Stary Ochędzyn;Stary Ochędzyna
Samostrzałowa;Samostrzałów;Samostrzałowa
Dzierżaw;Dzierżawy;Dzierżawa
Nowego Zgagowa;Nowe Zgagowo;Nowy Zgagowa
Jankowa Zaleśnego;Janków Zaleśny;Jankowa Zaleśny
Zawierszów;Zawiersze;Zawiersz
Smogórów;Smogóry;Smogóra
Kolonii Paździerowic;Kolonia Paździerowice;Kolonia Paździerowica
Gralewa-Stacji;Gralewo-Stacja;Gralewa-Stacja
Pantalowic;Pantalowice;Pantalowica
Darownego;Darowne;Darowny
Szczucina;Szczucin;Szczucina
Sysek;Syski;Syska
Moskwina;Moskwin;Moskwina
Kolonii Gozdów;Kolonia Gozdów;Kolonia Gozd
Zbor-Młyna;Zbory-Młyn;Zbor-Młyn
Myjomic;Myjomice;Myjomica
Ryni;Rynia;Ryni
Świątnik Dolnych;Świątniki Dolne;Świątnik Dolny
Rutek-Kossaków;Rutki-Kossaki;Rutka-Kossak
Lesiaków;Lesiaki;Lesiak
Żarczyna;Żarczyn;Żarczyna
Wardężyna;Wardężyn;Wardężyna
Bońkowa Kościelnego;Bońkowo Kościelne;Bońkowa Kościelny
Iżykowic;Iżykowice;Iżykowica
Terebinieńca;Terebiniec;Terebinieniec
Kaniewa;Kaniew;Kaniewa
Podkorzenna;Podkorzenno;Podkorzenna
Nowych Sadłuk;Nowe Sadłuki;Nowy Sadłuk
Krajenek;Krajenki;Krajenka
Woli Szydłowskiej;Wola Szydłowska;Wol Szydłowska
Sobieszyna;Sobieszyn;Sobieszyna
Młudzyna;Młudzyn;Młudzyna
Chociwla-Wsi;Chociwel-Wieś;Chociwla-Ws
Kozielic;Kozielice;Kozielica
Wyrzyska;Wyrzysk;Wyrzysko
Gołaszyna;Gołaszyn;Gołaszyna
Góry Włodowskiej;Góra Włodowska;Gór Włodowska
Chruślanek Mazanowskich;Chruślanki Mazanowskie;Chruślanka Mazanowski
Czaplic-Kurek;Czaplice-Kurki;Czaplica-Kurka
Bierdzan;Bierdzany;Bierdzan
Nurca-Kisielewa;Nurzec-Kisielewo;Nurca-Kisielew
Pęcicic;Pęcice;Pęcicica
Grabianowa;Grabianowo;Grabianowa
Barcikowic;Barcikowice;Barcikowica
Kaczor;Kaczory;Kaczor
Korczaków;Korczaki;Korczak
Starych Kosin;Stare Kosiny;Stara Kosiny
Radawca Dużego;Radawiec Duży;Radawca Duży
Wiłkopedzi;Wiłkopedzie;Wiłkopeda
Czechowego Kąta;Czechów Kąt;Czechowy Kąt
Chojeczna-Cesarzy;Chojeczno-Cesarze;Chojeczna-Cesarz
Kołoząbia;Kołoząb;Kołoząbia
Siedmiorogowa Drugiego;Siedmiorogów Drugi;Siedmiorogowa Drugi
Michałowa Czwartego;Michałów Czwarty;Michałowa Czwarty
Stodólna;Stodólno;Stodólna
Pored;Poredy;Poreda
Rytla-Nadieśnictwa;Rytel-Nadleśnictwo;Rytel-Nadieśnictwo
Czarnego Rogu;Czarny Róg;Czarny Rog
Kolonii Starych Motuli;Kolonia Stare Motule;Kolonia Stara Motula
