Dopełniacz;Mianownik;Wynik Stemmera
Zdziaru-Łopatek;Zdziar-Łopatki;Zdziar-Łopatka;ACAAAAA ADAB 
Kubinieńca;Kubiniec;Kubinieniec;ACACBC 
Szerokiej Drogi;Szeroka Droga;Szeroka Dróg;ADACCBB ACABA 
Kowerska;Kowersk;Kowersko;AEAAAA 
Darszyc-Darzyna;Darszyce-Darzyn;Darszyca-Darzyna;ADACABB AABCBAA 
Porośli-Grzyw;Porośl-Grzywy;Porośl-Grzywo;ADCAAA AEAAAB 
Kurian;Kuriany;Kurianin;AAABBA 
Kopernicy;Kopernica;Kopernik;AAACBA 
Skarżyna;Skarżyn;Skarżyna;ADAAA 
Słodzony;Słodzona;Słodzony;CAB 
Karwit;Karwity;Karwit;ACAAAAA 
Gogolina;Gogolin;Gogolina;ADAAA 
Samsonek;Samsonki;Samsonka;ADAB 
Bodzanówka;Bodzanówek;Bodzanówka;ADAB 
Białebłegobłota WieStarej;Białebłoto-Stara Wieś;Białebłegobłota WieStara;CAA 
Skoczkowa;Skoczkowo;Skoczkowa;CAB 
Janawina;Janawino;Janawina;ADAAA 
Urbaniaków;Urbaniaki;Urbaniak;AAACBA 
Świeligowa;Świeligów;Świeligowa;CAB 
Rostek Bajtkowskich;Rostki Bajtkowskie;Rostka Bajtkowski;ADAB CBA 
Możdżanowa;Możdżanów;Możdżanowa;ADACCAA 
Sokolenieńca;Sokoleniec;Sokolenieniec;ACACBC 
Cieszków;Cieszkowy;Cieszek;ACABA 
Nowej Wsi Zbąskiej;Nowa Wieś Zbąska;Nowa Ws Zbąska;ADACCAA AAADAA ADACCBB 
Zaliwia-Piegawek;Zaliwie-Piegawki;Zaliwie-Piegawka;AEBAC ADAB 
Bosiów;Bosie;Boś;AAABAB 
Bosi;Bosia;Bos;AAADAA 
Jagot;Jagoty;Jagot;ACAAAAA 
Malwinowa;Malwinowo;Malwinowa;ADAAA 
Bazarów;Bazary;Bazar;ACAAAAA 
Creni;Crenie;Creń;ACACBAA 
Paczusek Dużych;Paczuski Duże;Paczuska Duży;ADAB AAEA 
Kolonii Dąbrówki;Kolonia Dąbrówka-Stany;Kolonii Dąbrówka;ADAB 
Woli Błażowskiej;Wola Błażowska;Wol Błażowska;ACACAA ADACCBB 
Kierzbunia;Kierzbuń;Kierzbunia;ADACBBB 
Mirosławina;Mirosławin;Mirosławina;ADAAA 
Niskich Gór;Niskie Góry;Niski Gór;CBA ACAAAAA 
Arcugowa;Arcugowo;Arcugowa;CAB 
Wylan-Kolonii;Wylany-Kolonia;Wylan-Kolonia;ACAAAAA ADACBAA 
Jabłonia;Jabłoń;Jabłonie;AEBAA 
Pod Bramkę;Pod Bramkę;Poda Bramka;ADAAA ADAB 
Klekotów;Klekoty;Klekot;ACAAAAA 
Paluszków;Paluszki;Paluszek;ABAC 
Nowej Wsi Przywidzkiej;Nowa Wieś Przywidzka;Nowa Ws Przywidzka;ADACCAA AAADAA ADACCBB 
Skociszew;Skociszewy;Skociszwa;ADAAA 
Baborówka;Baborówko;Baborówka;ADAB 
Głupic-Parceli;Głupice-Parcela;Głupic-Parcela;ABAAAB ADACBABA 
Czudowic;Czudowice;Czudowica;ADACABB 
Szymocicic;Szymocice;Szymocicica;ADACABB 
Szmytowa;Szmytowo;Szmytowa;CAB 
Murów;Mury;Mur;ABABAAA 
Gorzenia Górnego;Gorzeń Górny;Gorzenie Górny;AEBAA CAB 
Nogawek;Nogawki;Nogawka;ADAB 
Tyborowa;Tyborów;Tyborowa;CAB 
Bobowa;Bobowo;Bobowa;CAB 
Glinika Charzewskiego;Glinik Charzewski;Glinika Charzewski;ADAB CBA 
Młynowych;Młynowe;Młynowy;CAB 
Kolonii Szpondowa;Kolonia Szpondowo;Kolonia Szpondowa;ADACBAA ADAAA 
Fryckowskich;Fryckowskie;Fryckowski;CBA 
Na Zahorodziu;Na Zahorodziu;Ne Zahorodzie;AEBAA AEBAC 
Gościejowic Małych;Gościejowice Małe;Gościejowica Mała;ADACABB ADACCBA 
Kolonii Konradowa;Kolonia Konradów;Kolonia Konradowa;ADACBAA CAB 
Kantyły;Kantyła;Kantył;ACAAAAA 
Do Żabińca;Do Żabińca;Da Żabiniec;ADAB ACACBC 
Młynowa;Młynowo;Młynowa;CAB 
Kwilna;Kwilno;Kwilna;CAB 
Kościelnych;Kościelni;Kościelny;CAB 
Jurczaków;Jurczaki;Jurczak;ABAC 
U Czarnego;U Czarnego;U Czarny;AEBAA CAB 
Kozowa;Kozowo;Kozowa;ADACCAA 
Kościelnego;Kościelne;Kościelny;CAB 
Stanka;Stank;Stanka;ADAB 
Bagiczy;Bagicz;Bagiczy;AAEB 
Kaliszanek;Kaliszanki;Kaliszanka;ADAB 
Lubachów;Lubachowy;Lubach;ACAAAB 
Przewoźnik;Przewoźniki;Przewoźnik;AAACBA 
Jakaci Młodej;Jakać Młoda;Jakat Młoda;AAADAA CAB 
Świątkowa;Świątkowo;Świątkowa;CAB 
Huty Głodowskiej;Huta Głodowska;Hut Głodowska;ACAAAAA ADACCBB 
Klotyldzina;Klotyldzin;Klotyldzina;ADAAA 
Dolanka;Dolanek;Dolanka;ADAB 
Nowego Tuchomia;Nowy Tuchom;Nowy Tuchomia;CAB ADACBAA 
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski;ADACBAA CBA 
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka;ADAB ADAB 
Pieńków Szczepockich;Pieńki Szczepockie;Pieniek Szczepocki;ACABBA CBA 
Kulasów;Kulasy;Kulas;AAACAAAB 
Koniewa-Osady;Koniewo-Osada;Koniewa-Osada;ADAAA ADAAA 
Jagielna;Jagielno;Jagielna;CAB 
Butorzy;Butorza;Butor;AAACAAAB 
Kikit;Kikity;Kikit;ACAAAAA 
Lubat;Lubaty;Lubat;ACAAAAA 
Zakaniowa;Zakaniów;Zakaniowa;ADACCAA 
Leokadiowa Górnego;Leokadiów Górny;Leokadiowa Górny;ADACCAA CAB 
Starego Walercina;Stary Walercin;Stary Walercina;CAA ADAAA 
Kolonii Wygnanowa;Kolonia Wygnanów;Kolonia Wygnanowa;ADACBAA ADACCAA 
Ławic;Ławice;Ławica;ADACABB 
Koskowa;Koskowo;Koskowa;CAB 
Czeczotków;Czeczotki;Czeczotek;ABAC 
W Kopcu;W Kopcu;W Kopiec;AEBAA ACACBC 
Biebrówka;Biebrówek;Biebrówka;ADAB 
Księżego Pola;Księże Pole;Księży Pola;AAEA ADACBAA 
Zaprężyna;Zaprężyn;Zaprężyna;ADAAA 
Przytkowic;Przytkowice;Przytkowica;ADACABB 
Cedyni;Cedynia;Cedyn;AAADAA 
Kolonii Dańców;Kolonia Dańce;Kolonia Daniec;ADACBAA AAACBA 
Hulskiego;Hulskie;Hulski;CBA 
Bidzin-Folwarku;Bidziny-Folwark;Bidzina-Folwark;ADAAA ACABA 
Kleczewa;Kleczew;Kleczewo;AEAAAB 
Wardzyna;Wardzyn;Wardzyna;ADAAA 
Zaścianek;Zaścianki;Zaścianek;ACABBA 
Kask-Budek;Kaski-Budki;Kask-Budek;ACABA ABAC 
Piorunowa;Piorunowo;Piorunowa;ADAAA 
Moczynia;Moczyń;Moczynia;AEBAA 
Aksamitów;Aksamity;Aksamit;ACAAAAA 
Żyrzyna Małego;Żyrzyn Mały;Żyrzyna Mały;ADAAA CAB 
Kierzczanego;Kierzczane;Kierzczany;CAB 
Zalesia-Kolonii;Zalesie-Kolonia;Zaleś-Kolonia;AAABAB ADACBAA 
Szczyptów;Szczypty;Szczypt;ACAAAAA 
Swarzędza-Południa;Swarzędz-Południe;Swarzędza-Południe;ADACABB AEBAC 
Ignatek-Kolonii;Ignatki-Kolonia;Ignatka-Kolonia;ADAB ADACBAA 
Podleszna;Podleszno;Podleszna;ADAAA 
Wolicy Drugiej;Wolica Druga;Wolik Druga;AAACBA CBA 
Jeleniego Boru;Jeleni Bór;Jeleni Bor;AAFC ACAAAAA 
Patrysiaków;Patrysiaki;Patrysiak;ABAC 
Gajówki Jasienieńca;Gajówka Jasieniec;Gajówka Jasienieniec;ADAB ACACBC 
Kęcików;Kęciki;Kęcik;ACABBA 
Stryczkowa;Stryczków;Stryczkowa;CAB 
Kałuszyna;Kałuszyn;Kałuszyna;ADAAA 
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowa;CAB ADACCAA 
Lipuskiej Huty;Lipuska Huta-Dworzec;Lipuskiej Hut;ACAAAAA 
Gorodczyna;Gorodczyno;Gorodczyna;ADAAA 
Rumunek-Grądów;Rumunki-Grądy;Rumunek-Grąd;ACABA ACAAAAA 
Rzędziwojowic;Rzędziwojowice;Rzędziwojowica;ADACABB 
Pod Skałą;Pod Skałą;Poda Skała;ADAAA ADAAA 
Kolonii Krzeczkowa;Kolonia Krzeczkowo-Gromadzyn;Kolonii Krzeczkowa;CAB 
Miłuk;Miłuki;Miłuk;ACABA 
Gackich;Gackie;Gacka;CBA 
Chełch Iłowych;Chełchy Iłowe;Chee Iłowy;AEBAA CAB 
Kolonii Uhruska;Kolonia Uhrusk;Kolonia Uhruska;ADACBAA ADAB 
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny;AEAAAA CAB 
Lejkówka;Lejkówko;Lejkówka;ADAB 
Gościradza;Gościradz;Gościradza;ADACAA 
Gościradów;Gościrady;Gościrad;ACAAAAA 
Krąpiewa;Krąpiewo;Krąpiewa;ADAAA 
Warszewic-Polesia;Warszewice-Polesie;Warszewica-Poleś;ADACABB AAABAB 
Złotnik Małych;Złotniki Małe;Złotnik Mała;AAACBA ADACCBA 
Pawliszcza;Pawliszcze;Pawliszcza;AGDAA 
Latkowy;Latkowa;Latkowy;CAB 
Do Szewca;Do Szewca;Da Szewce;ADAB AEBAA 
Drobisów;Drobisy;Drobis;ABABAAA 
Borkowa-Kolonii;Borków-Kolonia;Borkowa-Kolonia;CAB ADACBAA 
Nowego Łubna;Nowe Łubno;Nowy Łubna;CAB CAB 
Sowowy;Sowowa;Sowowy;CAB 
Cichmiany Dolnej;Cichmiana Dolna;Cichmian Dolna;ACAAAAA ADACCBA 
Osiedla Szujskiego;Osiedle Szujskiego;Osiedle Szujski;BDA CBA 
Witkowa;Witków;Witkowa;CAB 
Magdalana;Magdalan;Magdalana;ADAAA 
Mejznerzyna;Mejznerzyn;Mejznerzyna;ADAAA 
Chroślic;Chroślice;Chroślica;ADACABB 
Załęcza Małego;Załęcze Małe-Kolonia;Załęcza Mały;CAB 
Rozbarka;Rozbark;Rozbarka;ADAB 
Skorodnicy;Skorodnica;Skorodnik;AAACBA 
Podkamiennnego;Podkamienny;Podkamiennny;AAEC 
Mokradeł;Mokradła;Mokradło;AEAAAB 
Marksówka;Marksówek;Marksówka;ADAB 
Nosalewic;Nosalewice;Nosalewica;ADACABB 
Rumunek Ostrowickich;Rumunki Ostrowickie;Rumunek Ostrowicki;ACABA CBA 
Krobanówka;Krobanówek;Krobanówka;ADAB 
Woli Jaworowej;Wola Jaworowa;Wol Jaworowa;ACACAA ADACCAA 
Niegolewa;Niegolewo;Niegolewa;ADAAA 
Kumowa Majorackiego;Kumów Majoracki;Kumowa Majoracki;ADAAA CBA 
Brzezia Karkonoskiego;Brzezie Karkonoskie;Brzeź Karkonoski;ABAABA CBA 
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowa Stary;CAB CAA 
Bieszkowic;Bieszkowice;Bieszkowica;ADACABB 
Podkamiennnego;Podkamienne;Podkamiennny;AAEC 
Osiedla Jana;Osiedle Jana;Osiedle Jan;BDA AAADAA 
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowa Białogardzki;CAB CBA 
Nowego Szepietowa Podleśnego;Nowe Szepietowo Podleśne;Nowy Szepietowa Podleśny;CAB CAB CAB 
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka;ACABBA ADAB 
Baduni;Badunia;Badun;AAADAA 
Jankowiec;Jankowce;Jankowiec;ABAAAB 
Gądna;Gądno;Gądna;ADACCBA 
Rączków;Rączki;Rączek;ACABBA 
Niesadny;Niesadna;Niesadny;AAEC 
Kapłanówki;Kapłanówka;Kapłanówki;AGBA 
Zarzewa;Zarzew;Zarzewo;AEAAAB 
Skalskiego;Skalskie;Skalski;CBA 
Baduni;Badunie;Badun;AAADAA 
Broszkowic;Broszkowice;Broszkowica;ADACABB 
Ligoty Prószkowskiej;Ligota Prószkowska;Ligot Prószkowska;ACAAAAA ADACCBB 
Śnieżek;Śnieżki;Śnieżek;ADAB 
Kolonii Bieniewa;Kolonia Bieniewo;Kolonia Bieniewa;ADACBAA ADAAA 
Męckiej Woli;Męcka Wola-Gajówka;Męckiej Wol;ACACAA 
Łazków;Łazki;Łazek;ACABBA 
Huty Skorzęckiej;Huta Skorzęcka;Hut Skorzęcka;ACAAAAA CBA 
Raszynka;Raszynek;Raszynka;ADAB 
Przy Alei;Przy Alei;Prz Aleja;AAABD ADACBAA 
Kozieźla;Koziel;Kozieźle;AEBAC 
Pod Sielcem;Pod Sielcem;Poda Sielec;ADAAA ABAAAB 
Szczebrzeszyna-Stacji;Szczebrzeszyn-Stacja;Szczebrzeszyna-Stacja;ADAAA ADACBAA 
Kaput;Kaputy;Kaput;AAACAAAB 
Perelisk;Pereliska;Perelisko;AEAAAA 
Koniecek;Koniecki;Koniecka;ADAB 
Wietrznic;Wietrznice;Wietrznica;ADACABB 
Zasp Miłkowskich;Zaspy Miłkowskie;Zaspa Miłkowski;ADAAA CBA 
Ulicy Kociej;Ulica Kocia;Ulica Koca;ADACABB ADACCBB 
Kolonii Rostek;Kolonia Rostki;Kolonia Rostka;ADACBAA ADAB 
Nykazów;Nykazy;Nykaz;ACAAAAA 
Kiełpinka;Kiełpinek;Kiełpinka;ADAB 
Kolonii Glinnnego;Kolonia Glinne;Kolonia Glinnny;ADACBAA AAEC 
Cacek;Cacki;Cacka;ADAB 
Ryszek;Ryszki;Ryszka;ADAB 
Śwignajna Małego;Śwignajno Małe;Śwignajna Mały;ADAAA CAB 
Kolonii Sieprawic;Kolonia Sieprawice;Kolonia Sieprawica;ADACBAA ADACABB 
Woli Cewkowskiej;Wola Cewkowska;Wol Cewkowska;ACACAA ADACCBB 
Urogi;Uroga;Uróg;ACABA 
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica;ABAC ADACABB 
Kosewa Górnego;Kosewo Górne;Kosewa Górny;ADAAA CAB 
Lnisk;Lniska;Lnisko;AEAAAA 
Gawerkowa;Gawerków;Gawerkowa;CAB 
Starych Łężców;Stare Łężce;Stara Łężec;CAA ACACBC 
Wilchw;Wilchwy;Wilchwa;ADAAA 
Popowa;Popów;Popowa;CAB 
Rosanowa;Rosanów;Rosanowa;ADACCAA 
Pietruchowego;Pietruchowe;Pietruchowy;CAB 
Koszyc;Koszyce;Koszyca;ADACABB 
Kolonii Gułek;Kolonia Gułki;Kolonia Gułka;ADACBAA ADAB 
Skubisów;Skubisy;Skubis;ABABAAA 
Mąkolic Drugich;Mąkolice Drugie;Mąkolica Drugie;ADACABB AGCF 
Kolonii Treszczotek;Kolonia Treszczotki;Kolonia Treszczotka;ADACBAA ADAB 
Rybitew;Rybitwy;Rybitwa;ADAAA 
Szarawary;Szarawara;Szarawary;AGAB 
Tłoczka;Tłoczek;Tłoczka;ADAB 
Bogaczy;Bogacze;Bogacz;AAABD 
Rozalina-Parcel;Rozalin-Parcele;Rozalina-Parcela;ADAAA ADACBABA 
Homotów;Homoty;Homot;ACAAAAA 
Stępocina;Stępocin;Stępocina;ADAAA 
Dylewka;Dylewko;Dylewka;ADAB 
Więzików;Więziki;Więzik;ACABBA 
Miszkienik Małych;Miszkieniki Małe;Miszkienik Mała;ABAC ADACCBA 
Starego Jaranówka;Stary Jaranówek;Stary Jaranówka;CAA ADAB 
Zięciuków;Zięciuki;Zięciuk;ACABBA 
Burdzy;Burdze;Burg;AAACBA 
Suchej Kamienicy;Sucha Kamienica;Suchej Kamienica;ACACBC ADACABB 
Przybkowic;Przybkowice;Przybkowica;ADACABB 
Dionizowa;Dionizów;Dionizowa;ADACCAA 
Małego Trąbinka;Mały Trąbinek;Mały Trąbinka;CAB ADAB 
Kobylej Góry;Kobyla Góra;Kobylej Gór;ACACACB ACAAAAA 
Jarzyc;Jarzyce;Jarzyca;ADACABB 
Kolonii Mokin;Kolonia Mokiny;Kolonia Mokin;ADACBAA ACAAAAA 
Ostrzeniewa;Ostrzeniewo;Ostrzeniewa;ADAAA 
Łososiowic;Łososiowice;Łososiowica;ADACABB 
Świbna;Świbno;Świbna;ADACCBA 
Radkowa;Radków;Radkowa;CAB 
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowa;AEBAC ADACCAA 
Bud Budzkich;Budy Budzkie;Buda Budzki;ADAAA CBA 
Krampy;Krampa;Kramp;AAACAAAB 
Leska;Lesk;Leska;ADAB 
Łobody;Łoboda;Łobody;ADAAA 
Szczebli;Szczeble;Szczebel;ACACBAA 
Smaszewa;Smaszew;Smaszewo;AEAAAB 
Leszczyna Szlacheckiego;Leszczyn Szlachecki;Leszczyna Szlachecki;ADAAA CBA 
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony;ACAAAAA CAB 
Borka Pierwszego;Borek Pierwszy;Borka Pierwszy;ADAB CAB 
Woli Przemykowskiej;Wola Przemykowska;Wol Przemykowska;ACACAA ADACCBB 
Głuska Dużego;Głusko Duże-Kolonia;Głuska Duży;AAEA 
Kamiennnej Kniei;Kamienna Knieja;Kamiennna Knieja;CAB ADACBABA 
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchów;CAA ACAABAA 
Bąblinieńca;Bąbliniec;Bąblinieniec;ACACBC 
Huty Jeżewskiej;Huta Jeżewska;Hut Jeżewska;ACAAAAA ADACCBB 
Starych Rozogów;Stare Rozogi;Stara Rozog;CAA AAACBA 
Pyszącej;Pysząca;Pysząca się;CAA 
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna;CAA ADAAA 
Nadbrzezia;Nadbrzezie;Nadbrzeź;ABAABA 
Zagnańska;Zagnańsk;Zagnańska;ADACCBB 
Wytoka;Wytok;Wytoka;ADAB 
Kamiennnego;Kamienny;Kamiennny;AAEC 
Kolonii Siedliszcza;Kolonia Siedliszcze;Kolonia Siedliszcza;ADACBAA AGDAA 
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza;ADACABB ADACABB 
Szwedów;Szwedzi;Szwed;ACAAAAA 
Zagrodów;Zagrody;Zagród;ACAAAAA 
Radomic;Radomice;Radomica;ADACABB 
Gaszowa;Gaszów;Gaszowa;ADACCAA 
Piwnic Wielkich;Piwnice Wielkie;Piwnica Wielki;ADACABB CBA 
Zastawisk;Zastawiska;Zastawisko;AEAAAA 
Żabiec;Żabce;Żabiec;ACACBC 
Andrzejewa-Zarzecza;Andrzejewo-Zarzecze;Andrzejewa-Zarzecze;ADAAA AEBAB 
Poważego;Poważe;Poważy;AAEA 
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały;ADAAA CAB 
Wincentowa Piekoszowskiego;Wincentów Piekoszowski;Wincentowa Piekoszowski;CAB CBA 
Gąsek;Gąski;Gąska;ADAB 
Osiedla 1000;Osiedle 1000-lecia;Osiedla 1000;AEBAA 
Kubiców;Kubice;Kubic;AAABAB 
Kozła;Kozieł;Kozioł;ACAABAA 
Zaklikowa;Zaklików;Zaklikowa;ADACCAA 
Większyc;Większyce;Większyca;ADACABB 
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia;ACAABAA ADACBAA 
Wtórka;Wtórek;Wtórka;ADAB 
Chajdyc;Chajdyce;Chajdyca;ADACABB 
Sędziszowic;Sędziszowice;Sędziszowica;ADACABB 
Jaryszowa;Jaryszów;Jaryszowa;ADACCAA 
Małej Kloni;Mała Klonia;Mała Klon;CAB AAADAA 
Kretowin;Kretowiny;Kretowina;ADAAA 
Kolonii Korhynia;Kolonia Korhynie;Kolonia Korhynia;ADACBAA ADACBAA 
Drugiej Strony Wsi;Druga Strona Wsi;Druga Stron Ws;CBA ACAAAAA AAADAA 
Skaj;Skaje;Skaj;ACACACB 
Zamczyska;Zamczysk;Zamczysko;AEAAAA 
Czachówek;Czachówki;Czachówka;ADAB 
Zadzimia;Zadzim;Zadzimia;ADACBAA 
Czachówka;Czachówko;Czachówka;ADAB 
Niekurzy;Niekurza;Niekurz;ACACBBA 
Daszewic;Daszewice;Daszewica;ADACABB 
Piskajn;Piskajny;Piskajn;ACAAAAA 
Dolnego Boru;Dolny Bór;Dolny Bor;CAB ACAAAAA 
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina;ADACABB ADAAA 
Chocianowa;Chocianów;Chocianowa;ADACCAA 
Kostur;Kostury;Kostura;ADAAA 
Osipów;Osipy;Osip;ABABAAA 
Na Bułkowej;Na Bułkowej;Ne Bułkowa;AEBAA CAB 
Momot Górnych;Momoty Górne;Momot Górny;ACAAAAA AAEC 
Kolonii Węgoryt;Kolonia Węgoryty;Kolonia Węgoryt;ADACBAA ACAAAAA 
Jagodzinieńca;Jagodziniec;Jagodzinieniec;ACACBC 
Celinki;Celinka;Celinek;ABAC 
Teresinka;Teresinek;Teresinka;ADAB 
Wirt;Wirty;Wirt;ACAAAAA 
Celinek;Celinki;Celinka;ADAB 
Posucicic;Posucice;Posucicica;ADACABB 
Warlit Małych;Warlity Małe;Warlit Mała;ACAAAAA ADACCBA 
Koteż;Koteże;Koteż;ADCAB 
Momajn;Momajny;Momajn;ACAAAAA 
Piór Wielkich;Pióry Wielkie;Piór Wielki;ACAAAAA CBA 
Starych Boisk;Stare Boiska;Stara Boisko;CAA AEAAAA 
Sarnówka;Sarnówek;Sarnówka;ADAB 
Steblewa;Steblewo;Steblewa;ADAAA 
Kolonii Ostałówka;Kolonia Ostałówek;Kolonia Ostałówka;ADACBAA ADAB 
Monasterzyska Wielkiego;Monasterzysko Wielkie;Monasterzysko Wielki;AEAAAA CBA 
Leobrada;Leobrad;Leobrada;ADAAA 
Rówiec;Rówce;Rówiec;ACACBC 
Gruszowa Wielkiego;Gruszów Wielki;Gruszowa Wielki;ADACCAA CBA 
Jesionnnej;Jesionna;Jesionnna;CAB 
Oblaszek;Oblaszki;Oblaszka;ADAB 
Gostyczyny;Gostyczyna;Gostyczyn;ACAAAAA 
Zagrzędów;Zagrzędy;Zagrzęd;ACAAAAA 
Ignachów;Ignachy;Ignach;ACAAAB 
Wilkas;Wilkasy;Wilkas;ACAAAAA 
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowa-Biernat;CAB ACAAAAA 
Domaszewic Rządowych;Domaszewice Rządowe;Domaszewica Rządowa;ADACABB AEBBB 
Wybudowania Chojnickiego;Wybudowanie Chojnickie;Wybudowanie Chojnicki;AEBAA CBA 
Uliszek;Uliszki;Uliszka;ADAB 
Wilczan;Wilczany;Wilczan;ACAAAAA 
Sieteszy Dolnej;Sietesz Dolna;Sietesza Dolna;ADACABB ADACCBA 
Radzikówka;Radzikówek;Radzikówka;ADAB 
Półćwiartek;Półćwiartki;Półćwiartka;ADAB 
Nowego Gołębiewka;Nowe Gołębiewko;Nowy Gołębiewka;CAB ADAB 
Ugodowa;Ugodów;Ugodowa;ADAAA 
Pruchnika;Pruchnik;Pruchnika;ADAB 
Dziasków;Dziaski;Dziasek;AGBB 
Bryńska;Bryńsk;Bryńska;ADACCBB 
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny;ACACBC CAB 
Jankowa;Janków;Jankowa;CAB 
Parceli Urzędniczych;Parcele Urzędnicze;Parcela Urzędniczy;ADACBABA AAEB 
Słupnicy;Słupnica;Słupnik;AAACBA 
Marek;Marki;Marka;ADAB 
Daniłowa;Daniłowo;Daniłów;ABABAAA 
Lasowych;Lasowe;Lasowa;ADACCAA 
Dobrzynia;Dobrzyń;Dobrzynia;ADACBABA 
Bzin;Bziny;Bzina;ADAAA 
Leśniewa-Niedźwiedzia;Leśniewo-Niedźwiedź;Leśniewa-Niedźwiedź;ADAAA CBB 
Dobrzykowa;Dobrzykowo;Dobrzykowa;CAB 
