Dopełniacz;Mianownik
Sarn;Sarny
Godaszewic;Godaszewice
Duńkowic;Duńkowice
Zapiecznego;Zapieczne
Bolestraszyc;Bolestraszyce
Skowierzyna;Skowierzyn
Podłużyc;Podłużyce
Gunic;Gunice
Chrośna;Chrośno
Grochówka;Grochówek
Kuściniec;Kuścińce
Chrośny;Chrośna
Bolegorzyna;Bolegorzyn
Karlikowa;Karlikowo
Ownic;Ownice
Ołoboku;Ołobok
Łowoszowa;Łowoszów
Bakuły;Bakuła
Wołkusznego;Wołkuszne
Unieradza;Unieradz
Mirocina;Mirocin
Jażdża;Jażdże
Krzcięcina;Krzcięcin
Święcianowa;Święcianowo
Pyrzyc;Pyrzyce
Swór;Swory
Walgi;Walga
Goświnowic;Goświnowice
Piotrowic;Piotrowice
Rzepowskiego;Rzepowskie
Czach;Czachy
Sławomierza;Sławomierz
Harbutowic;Harbutowice
Terebeli;Terebela
Łukowca;Łukowiec
Boksyckiej;Boksycka
Runowa;Runowo
Daszyny;Daszyna
Sokolnik;Sokolniki
Krępska;Krępsko
Stoplina;Stoplin
Staniewic;Staniewice
Parnówka;Parnówko
Tapilkajm;Tapilkajmy
Wymysłowic;Wymysłowice
Wichowa;Wichowo
Obrowa;Obrów
Chójek;Chójki
Jamboreka;Jamborek
Smarzewa;Smarzewo
Będargowca;Będargowiec
Pierwoszyna;Pierwoszyno
Hamerni;Hamernia
Gręboszyc;Gręboszyce
Ewiny;Ewina
Wierzchów;Wierzchy
Dobrowa;Dobrów
Zwarcienka;Zwarcienko
Gładyszy;Gładysze
Dachowy;Dachowa
Stegienki;Stegienka
Przeradowa;Przeradowo
Zielenicy;Zielenica
Benenarda;Benenard
Zielenic;Zielenice
Krzeczowic;Krzeczowice
Bierkowic;Bierkowice
Józefina;Józefin
Polkowskiego;Polkowskie
Sulnowa;Sulnowo
Pęzina;Pęzino
Ułtowa;Ułtowo
Wielkolasu;Wielkolas
Obrębu;Obrąb
Krawcowizny;Krawcowizna
Bodzewa;Bodzew
Drzonka;Drzonek
Tadeuszewa;Tadeuszewo
Trzaskowa;Trzaskowo
Samborza;Sambórz
Felicjana;Felicjan
Łumpi;Łumpia
Ponik;Poniki
Wierzchowisk;Wierzchowiska
Wierzchowiska;Wierzchowisko
Szymborna;Szymborno
Żelek;Żelki
Nowak;Nowaki
Nadkola;Nadkole
Strażnika;Strażnik
Dzikówka;Dzikówko
Ścięgnicy;Ścięgnica
Gleźnowa;Gleźnowo
Orzyn;Orzyny
Sankur;Sankury
Długowizny;Długowizna
Stojadeł;Stojadła
Grzybowca;Grzybowiec
Tuchowa;Tuchów
Słoku;Słok
Wydorowa;Wydorowo
Egiertowa;Egiertowo
Zuzułki;Zuzułka
Ciechomic;Ciechomice
Ostrożanki;Ostrożanka
Ogorzelin;Ogorzeliny
Osieczowa;Osieczów
Sitek;Sitki
Dziupliny;Dziuplina
Magnuszewic;Magnuszewice
Zelek;Zelki
Trąby;Trąba
Potoków;Potoki
Pczelina;Pczelino
Trąb;Trąby
Liwek;Liwki
Muniny;Munina
Będzieszyny;Będzieszyna
Broniewka;Broniewek
Paderewka;Paderewek
Dobrzejowa;Dobrzejów
Wereszczyna;Wereszczyn
Cekcyna;Cekcyn
Gowarzewa;Gowarzewo
Czarnowa;Czarnów
Łukomierza;Łukomierz
Zakrzewka;Zakrzewko
Przygodziczek;Przygodziczki
Cimowa;Cimowo
Kobelnik;Kobelniki
Maręży;Maręże
Studennnego;Studenne
Paniewka;Paniewek
Wyrębowa;Wyrębów
Drezna;Drezno
Piaszczyny;Piaszczyna
Nochowa;Nochowo
Buszewa;Buszewo
Rybaczówki;Rybaczówka
Bałowa;Bałowo
Jazdowic;Jazdowice
Cezarowa;Cezarów
Braciejówki;Braciejówka
Justynowa;Justynów
Zdanowic;Zdanowice
Karmelity;Karmelita
Drągowiny;Drągowina
Lubiankowa;Lubianków
Bełdna;Bełdno
Bystrojowic;Bystrojowice
Kolejki;Kolejka
Bartosza;Bartosz
Bartos;Bartosy
Ofelii;Ofelia
Niestkowa;Niestkowo
Czesławowa;Czesławowo
Drzewian;Drzewiany
Obałek;Obałki
Grabowna;Grabowno
Brodu;Bród
Księżyzny;Księżyzna
Supień;Supienie
Cimoszki;Cimoszka
Ogniwa;Ogniwo
Stuposian;Stuposiany
Swędzieniejewic;Swędzieniejewice
Bóbrki;Bóbrka
Dryi;Dryja
Górawina;Górawino
Łopaty;Łopata
Częstkowa;Częstkowo
Galewic;Galewice
Krasocina;Krasocin
Myszkowca;Myszkowiec
Chełminka;Chełminko
Góry;Góra
Kaliw;Kaliwy
Dobromyśla;Dobromyśl
Chomętowa;Chomętowo
Lubowidza;Lubowidz
Kołkowa;Kołkowo
Gór;Góry
Łośnicy;Łośnica
Karolowa;Karolów
Korzennna;Korzenno
Smielic;Smielice
Korzennnej;Korzenna
Kostrogi;Kostroga
Wejherowa;Wejherowo
Ścinawy;Ścinawa
Dobrylewa;Dobrylewo
Porajowa;Porajów
Leszczyńca;Leszczyniec
Szczercowa;Szczerców
Łaniocha;Łanioch
Grzymałkowa;Grzymałków
Zosinowa;Zosinowo
Gęsianki;Gęsianka
Dobrzykowic;Dobrzykowice
Podstrobowa;Podstrobów
Mezowa;Mezowo
Bałamącka;Bałamącek
Przepałkowa;Przepałkowo
Sińczycy;Sińczyca
Brześc;Brześce
Połażejewa;Połażejewo
Cięciwy;Cięciwa
Duczymina;Duczymin
Górczyny;Górczyna
Serok;Seroki
Jurczyczyc;Jurczyce
Huczwic;Huczwice
Nieceni;Niecenia
Goliszowca;Goliszowiec
Plastowa;Plastowo
Dziechowa;Dziechowo
Kutowej;Kutowa
Leszczanki;Leszczanka
Chotyłowa;Chotyłów
Pobiedzisk;Pobiedziska
Glicka;Glicko
Okulic;Okulice
Wąworkowa;Wąworków
Babska;Babsk
Samostrzałowa;Samostrzałów
Brodziszowa;Brodziszów
Zawierszów;Zawiersze
Smogórów;Smogóry
Pantalowic;Pantalowice
Czerśli;Czerśl
Darownego;Darowne
Szczucina;Szczucin
Sysek;Syski
Moskwina;Moskwin
Annoboru;Annobór
Frywałdu;Frywałd
Myjomic;Myjomice
Grabowicy;Grabowica
Jarząbkowic;Jarząbkowice
Drygulca;Drygulec
Rutwicy;Rutwica
Lesiaków;Lesiaki
Iżykowic;Iżykowice
Morochowa;Morochów
Terebińca;Terebiniec
Kaniewa;Kaniew
Podkorzenna;Podkorzenno
Krajenek;Krajenki
Sobieszyna;Sobieszyn
Łodzierza;Łodzierz
Młudzyna;Młudzyn
Kozielic;Kozielice
Wyrzyska;Wyrzysk
Gołaszyna;Gołaszyn
Bierdzan;Bierdzany
Pęcicic;Pęcice
Grabianowa;Grabianowo
Barcikowic;Barcikowice
Kaczorów;Kaczory
Korczaków;Korczaki
Nowka;Nowek
Kadzielni;Kadzielnia
Pokrętu;Pokręt
Kołoząbia;Kołoząb
Annogóry;Annogóra
Stodólna;Stodólno
Pored;Poredy
Juryszewa;Juryszewo
Ogartówka;Ogartówko
Lublinowa;Lublinów
Ciężkowa;Ciężków
Szarek;Szarki
Krobielowic;Krobielowice
Sękocina;Sękocin
Rzepotowic;Rzepotowice
Podlesic;Podlesice
Chaptyzowa;Chaptyzów
Świechocina;Świechocin
Gnojenka;Gnojenko
Purdki;Purdka
Kisiel;Kisiele
Świderka;Świderek
Wolanowa;Wolanów
Wokowic;Wokowice
Nowizny;Nowizna
Hanowa;Hanowo
Rotnowa;Rotnowo
Gilewa;Gilewo
Szyszczyczyc;Szyszczyce
Zazdrości;Zazdrość
Sawczyna;Sawczyn
Sąspowa;Sąspów
Czumowa;Czumów
Seroczek;Seroczki
Antonowa;Antonów
Sowiny;Sowina
Zabiela;Zabiele
Skokumia;Skokum
Sowin;Sowiny
Polniczki;Polniczka
Suprunów;Supruny
Wiecanowa;Wiecanowo
Jask;Jaski
Podłazia;Podłazie
Sarnak;Sarnaki
Żeleźni;Żeleźnia
Żeleźnika;Żeleźnik
Poleszyna;Poleszyn
Widziszewa;Widziszewo
Będzinka;Będzinko
Rozborza;Rozbórz
Grabca;Grabiec
Trzebczyka;Trzebczyk
Siutkowa;Siutkowo
Budziszowa;Budziszów
Żelechowa;Żelechów
Lutni;Lutnia
Słotwina;Słotwin
Sobiewoli;Sobiewola
Otylina;Otylin
Dziewięciół;Dziewięcioły
Susłowa;Susłów
Brzyna;Brzyno
Dobrzankowa;Dobrzankowo
Brzyny;Brzyna
Terebinia;Terebiń
Węgoja;Węgój
Kraskowa;Kraskowo
Połowców;Połowce
Golimowa;Golimowo
Młynika;Młynik
Białous;Białousy
Rzakty;Rzakta
Załakowa;Załakowo
Jarek;Jarki
Ludwina;Ludwin
Knurowca;Knurowiec
Czerwonkowa;Czerwonków
Zbąszynia;Zbąszyń
Jug;Jugi
Miłości;Miłość
Ślepowron;Ślepowrony
Zapomnianowa;Zapomnianowo
Wojewodzy;Wojewodza
Jeldzina;Jeldzino
Uciechowic;Uciechowice
Obiechowa;Obiechów
Krzczonowa;Krzczonów
Rączki;Rączka
Żelkowa;Żelkowo
Ocypla;Ocypel
Mazowsza;Mazowsze
Małgowa;Małgów
Kosut;Kosuty
Niepołomic;Niepołomice
Chlewa;Chlewo
Żychlikowa;Żychlikowo
Glejska;Glejsk
Czerniakowa;Czerniaków
Ligowa;Ligowo
Schodna;Schodno
Kryłatki;Kryłatka
Konojadu;Konojad
Czapelek;Czapelki
Kaniny;Kanina
Możdżanowa;Możdżanowo
Stójkowa;Stójków
Płużnicy;Płużnica
Szlędaków;Szlędaki
Janiszowa;Janiszów
Rymanowa;Rymanów
Barczewka;Barczewko
Paliwodzizny;Paliwodzizna
Łowicza;Łowicz
Bonina;Bonin
Wróblowej;Wróblowa
Gutkowa;Gutkowo
Głucha;Głuch
Peresołowic;Peresołowice
Lucimi;Lucimia
Wiatrołomu;Wiatrołom
Podbrzezia;Podbrzezie
Zblęga;Zblęg
Dwernika;Dwernik
Magnusz;Magnusze
Rębkowa;Rębkowo
Lisnej;Lisna
Kulowa;Kulowo
Lisna;Lisno
Niemierzyna;Niemierzyno
Wólki;Wólka
Monioch;Moniochy
Troninin;Troniny
Wólek;Wólki
Kik;Kiki
Żwikiel;Żwikiele
Sulek;Sulki
Biskupic;Biskupice
Górowa;Górowo
Nagawek;Nagawki
Lutowisk;Lutowiska
Pawłowszczyzny;Pawłowszczyzna
Bolewicka;Bolewicko
Czasławia;Czasław
Teofilówki;Teofilówka
Białas;Białasy
Miat;Miaty
Wielogłów;Wielogłowy
Mołdawinka;Mołdawinek
Czułowa;Czułów
Wysogotówka;Wysogotówek
Jelenia;Jeleń
Bliżyna;Bliżyn
Mydłowa;Mydłów
Myślina;Myślino
Pacółtowa;Pacółtowo
Żabostowa;Żabostowo
Malca;Malec
Świętoszówki;Świętoszówka
Ludyni;Ludynia
Siernik;Sierniki
Słońska;Słońsko
Paroli;Parole
Nasicznego;Nasiczne
Budwieci;Budwiecie
Leśnej;Leśnia
Olkowic;Olkowice
Arcelina;Arcelin
Leśnika;Leśnik
Żużeli;Żużela
Kosobądza;Kosobądz
Podkaczówki;Podkaczówka
Rychówka;Rychówko
Kromołowa;Kromołów
Parchlin;Parchliny
Krężołów;Krężoły
Boguszyczek;Boguszyczki
Strzemeszna;Strzemeszno
Królewic;Królewice
Zaborni;Zabornia
Brelikowa;Brelików
Widryn;Widryny
Sadogóry;Sadogóra
Pozort;Pozorty
Kiełczynka;Kiełczynek
Romanowa;Romanów
Modgarb;Modgarby
Prokocicic;Prokocice
Mastek;Mastki
Domaradza;Domaradz
Jaworza;Jaworze
Domarad;Domarady
Zielomyśla;Zielomyśl
Mamarty;Mamarta
Lędyczka;Lędyczek
Świerczynka;Świerczynek
Antoników;Antoniki
Onębra;Onęber
Celina;Celin
Konotopy;Konotopa
Meszek;Meszki
Zegartowic;Zegartowice
Ubieszyna;Ubieszyn
Suryt;Suryty
Taczowa;Taczów
Sątopu;Sątop
Holeszowa;Holeszów
Rudzienka;Rudzienko
Piekutowa;Piekutowo
Bębnówka;Bębnówko
Winnicy;Winnica
Miedzianowa;Miedzianów
Pełel;Pełele
Hołubli;Hołubla
Gołębia;Gołębie
Roztworowa;Roztworów
Kobylej;Kobyla
Gołębina;Gołębin
Bronówka;Bronówek
Kobyla;Kobyle
Strychów;Strychy
Zaradowisk;Zaradowiska
Goznej;Gozna
Zasiek;Zasieki
Pławiec;Pławce
Uzdowa;Uzdowo
Owieczkowa;Owieczkowo
Głuchowic;Głuchowice
Siarzewa;Siarzewo
Stawisk;Stawiska
Stawisk;Stawiski
Pierzysk;Pierzyska
Lad;Lady
Stawiska;Stawisko
Rokowa;Roków
Kul;Kule
Wernerowa;Wernerowo
Gębic;Gębice
Mirotek;Mirotki
Różewa;Różewo
Ciborów;Cibory
Węgierek;Węgierki
Węgierki;Węgierka
Nasiedla;Nasiedle
Zatopolic;Zatopolice
Politowa;Politów
Jeżyc;Jeżyce
Michalczowej;Michalczowa
Zbydniowa;Zbydniów
Żędowic;Żędowice
Rębieskiego;Rębieskie
Lorek;Lorki
Szczytnej;Szczytna
Szczytna;Szczytno
Poczekajki;Poczekajka
Gałczewa;Gałczewo
Kęsic;Kęsice
Gniewoszyc;Gniewoszyce
Kośnika;Kośnik
Imienka;Imienko
Lipianki;Lipianka
Bukowia;Bukowie
Mrożewic;Mrożewice
Lipianek;Lipianki
Uniemyśla;Uniemyśl
Choin;Choiny
Czmońca;Czmoniec
Lubnicy;Lubnica
Ryszewka;Ryszewko
Jarszewka;Jarszewko
Łazarzowic;Łazarzowice
Bojmia;Bojmie
Smólska;Smólsk
Litychowa;Litychowo
Kaźmierzowa;Kaźmierzów
Widoradza;Widoradz
Strug;Strugi
Warszyna;Warszyn
Lubośni;Lubośnia
Urzuta;Urzut
Strugi;Struga
Rozięcina;Rozięcin
Ostrzeszewa;Ostrzeszewo
Ćwiklinka;Ćwiklinek
Kawęcina;Kawęcin
Mężyka;Mężyk
Zieluminka;Zieluminek
Chorkówki;Chorkówka
Wygiełdowa;Wygiełdów
Czadrowa;Czadrów
Zdrochechca;Zdrochec
Uśnic;Uśnice
Sulicicic;Sulicice
Gozdnicy;Gozdnica
Tarnowiec;Tarnowce
Strzyżówki;Strzyżówka
Zielęcina;Zielęcin
Włościejewic;Włościejewice
Raczkowa;Raczków
Dalachowa;Dalachów
Żyrowa;Żyrów
Czańca;Czaniec
Rudawicy;Rudawica
Szarbska;Szarbsko
Zdzięsławic;Zdzięsławice
Boronowa;Boronów
Jerzmanic;Jerzmanice
Młoszowej;Młoszowa
Obłotnego;Obłotne
Wawrzonowa;Wawrzonowo
Wirwajd;Wirwajdy
Lednogóry;Lednogóra
Rzeplina;Rzeplino
Tarchalic;Tarchalice
Świbnej;Świbna
Ludomicka;Ludomicko
Starościna;Starościn
Młodojewa;Młodojewo
Niezabitowa;Niezabitów
Siderki;Siderka
Trokajn;Trokajny
Płocochowa;Płocochowo
Zawisza;Zawisze
Biertowic;Biertowice
Gdeszyna;Gdeszyn
Zarzęcina;Zarzęcin
Łazieźca;Łaziec
Muszynki;Muszynka
Kolecina;Kolecin
Gruszewni;Gruszewnia
Pilzna;Pilzno
Turczyna;Turczyn
Bytynia;Bytyń
Rulic;Rulice
Mańkowic;Mańkowice
Skalbmierza;Skalbmierz
Meszniaka;Meszniak
Krajęcina;Krajęcin
Białczyna;Białczyn
Dziękowizny;Dziękowizna
Chorążanki;Chorążanka
Kamyszowa;Kamyszów
Kociołków;Kociołki
Zgorzeli;Zgorzel
Staszowa;Staszów
Lizbony;Lizbona
Skrzetusza;Skrzetusz
Dziewiątli;Dziewiątle
Bieczyn;Bieczyny
Brzozia;Brzozie
Bieczyna;Bieczyno
Igrył;Igryły
Strzyżawy;Strzyżawa
Patryk;Patryki
Tępcza;Tępcz
Dobrojewa;Dobrojewo
Radys;Radysy
Przyłęczka;Przyłęczek
Wałkna;Wałkno
Karolinowa;Karolinowo
Ciechomina;Ciechomin
Czajęcicic;Czajęcice
Ceniaw;Ceniawy
Chliny;Chlina
Miedzichowa;Miedzichowo
Koperników;Koperniki
Pustkowa;Pustkowo
Wadochowic;Wadochowice
Drożyny;Drożyna
Mielęcinka;Mielęcinek
Bieniowa;Bieniów
Zgniłki;Zgniłka
Sokoligóry;Sokoligóra
Zaberbecza;Zaberbecze
Brożka;Brożek
Sernik;Serniki
Brożca;Brożec
Dziarnowa;Dziarnowo
Dubowa;Dubów
Płotowa;Płotowo
Zajączkówka;Zajączkówko
Jurkowa;Jurków
Teologa;Teolog
Gontarzy;Gontarze
Mroczkowic;Mroczkowice
Stefanówka;Stefanówek
Chróściny;Chróścina
Czerniawki;Czerniawka
Przyrzecza;Przyrzecze
Bielińca;Bieliniec
Kołbacza;Kołbacz
Żmojdaka;Żmojdak
Pęchcina;Pęchcin
Przezwisk;Przezwiska
Żłobina;Żłobin
Jankówki;Jankówka
Brójec;Brójce
Świerż;Świerże
Jankówka;Jankówko
Rekówki;Rekówka
Sośni;Sośnie
Staromieścia;Staromieście
Głoskowa;Głosków
Bryzgiela;Bryzgiel
Żelisławiczek;Żelisławiczki
Kuźm;Kuźmy
Myślina;Myślin
Okarpca;Okarpiec
Ladzina;Ladzin
Brzóstowej;Brzóstowa
Konradowa;Konradowo
Sobicz;Sobicze
Kisielnicy;Kisielnica
Bug;Bugi
Posiołka;Posiołek
Konradowej;Konradowa
Szmaty;Szmata
Darnowa;Darnowo
Gaudynek;Gaudynki
Kiełczówki;Kiełczówka
Piastowa;Piastowo
Grocholubia;Grocholub
Dębnicy;Dębnica
Błachowa;Błachów
Radyczy;Radycza
Kieruzeli;Kieruzele
Dobrot;Dobroty
Grabinka;Grabinek
Liszyna;Liszyno
Kozłów;Kozły
Niedzicy;Niedzica
Werówki;Werówka
Niwisk;Niwiski
Niwisk;Niwiska
Knoryd;Knorydy
Wawrowa;Wawrów
Żarkowa;Żarkowo
Szczodrochowa;Szczodrochowo
Trzebin;Trzebiny
Roszkowic;Roszkowice
Trzebiny;Trzebina
Łaszczowa;Łaszczów
Bagatelki;Bagatelka
Dubielewa;Dubielewo
Helenowa;Helenowo
Słubic;Słubice
Pogrzebienia;Pogrzebień
Puzdrowizny;Puzdrowizna
Radzimowa;Radzimów
Postawel;Postawele
Gostyńca;Gostyniec
Małociechowa;Małociechowo
Palczewic;Palczewice
Hilarowa;Hilarów
Machcina;Machcin
Kuniewa;Kuniewo
Golęcina;Golęcino
Giżycka;Giżycko
Korczunku;Korczunek
Gdyni;Gdynia
Szur;Szury
Szawłów;Szawły
Witryłowa;Witryłów
Izabelina;Izabelin
Słowina;Słowino
Sulim;Sulimy
Dębostrowa;Dębostrów
Trzebiesławic;Trzebiesławice
Pysznicy;Pysznica
Głowbit;Głowbity
Borkowizny;Borkowizna
Dziwogóry;Dziwogóra
Kuracza;Kuracz
Krzeszówki;Krzeszówka
Olunina;Olunin
Pieniężna;Pieniężno
Jakubina;Jakubin
Olszewa;Olszew
Żółkowa;Żółków
Błaszek;Błaszki
Lubstowa;Lubstowo
Luboszyc;Luboszyce
Albigowej;Albigowa
Ciołkowa;Ciołkowo
Szemuda;Szemud
Pikutkowa;Pikutkowo
Borzątwi;Borzątew
Gocławia;Gocław
Russocicic;Russocice
Garzewka;Garzewko
Glinnnego;Glinne
Glinnnej;Glinna
Glinnna;Glinno
Arciszewa;Arciszewo
Kamosowa;Kamosowo
Baborowa;Baborów
Lachówca;Lachówiec
Słępisk;Słępiska
Antonówki;Antonówka
Robakowa;Robaków
Piławy;Piława
Pałuczyny;Pałuczyna
Sęczkowa;Sęczkowo
Miłoszewa;Miłoszewo
Bieździadowa;Bieździadów
Kurzy;Kurza
Stobojów;Stoboje
Chełstów;Chełsty
Młodziejowic;Młodziejowice
Awajek;Awajki
Drawnia;Drawień
Krosina;Krosino
Zagajowa;Zagajów
Grygrowa;Grygrów
Pięt;Pięty
Rumejek;Rumejki
Wilczkowic;Wilczkowice
Zawadówki;Zawadówka
Dobrenic;Dobrenice
Pliszczyna;Pliszczyn
Muchówki;Muchówka
Turowca;Turowiec
Opojowic;Opojowice
Jodłownika;Jodłownik
Karpia;Karp
Karwia;Karw
Rozprzy;Rozprza
Rzeżęcina;Rzeżęcin
Librantowej;Librantowa
Lelechowa;Lelechów
Mylina;Mylin
Krzewin;Krzewiny
Bierzglina;Bierzglin
Obrony;Obrona
Nieporaza;Nieporaz
Krzewiny;Krzewina
Żubrynu;Żubryn
Pajewa;Pajewo
Miałkiej;Miałka
Braciszewa;Braciszewo
Książnic;Książnice
Wisełki;Wisełka
Jelonka;Jelonek
Zabełkowa;Zabełków
Buzy;Buza
Słomowa;Słomowo
Wojtkowa;Wojtków
Zalesic;Zalesice
Barnkowa;Barnkowo
Niniewa;Niniew
Jaczowic;Jaczowice
Obiecanowa;Obiecanowo
Zdziarca;Zdziarzec
Borysławia;Borysław
Zażelaznej;Zażelazna
Maciejówki;Maciejówka
Złotówki;Złotówka
Mostów;Mosty
Borzęty;Borzęta
Franka;Frank
Żłobizny;Żłobizna
Nakli;Nakla
Helenkowa;Helenków
Jagniewic;Jagniewice
Duranowa;Duranów
Kucyka;Kucyk
Podsarnia;Podsarnie
Skrudziny;Skrudzina
Przecławka;Przecławek
Rębowa;Rębowo
Zaporza;Zaporze
Modlicy;Modlica
Dusocina;Dusocin
Zakurowia;Zakurowie
Wywłoczki;Wywłoczka
Bałoszyc;Bałoszyce
Mierzna;Mierzno
Osego;Ose
Jęcznika;Jęcznik
Czerkiesów;Czerkiesy
Lubkowa;Lubków
Pruszowic;Pruszowice
Latoszyna;Latoszyn
Sławianowa;Sławianowo
Domacyn;Domacyny
Jurandowa;Jurandowo
