Dopełniacz;Mianownik
Tomaszkowa;Tomaszkowo
Mokin;Mokiny
Męcikała;Męcikał
Dębowoli;Dębowola
Kiełcza;Kiełcze
Młynowa;Młynowo
Pławniowic;Pławniowice
Mateuszewa;Mateuszewo
Szczytnika;Szczytnik
Zagajewiczek;Zagajewiczki
Przymuszewa;Przymuszewo
Kwilna;Kwilno
Rudolfina;Rudolfin
Kozowa;Kozowo
Dusznik;Duszniki
Basina;Basin
Walewa;Walew
Cybulic;Cybulice
Kalembiny;Kalembina
Jabłonki;Jabłonka
Wyrobek;Wyrobki
Wilkanowa;Wilkanowo
Rawicza;Rawicz
Sąp;Sąpy
Jabłonek;Jabłonki
Lubachów;Lubachowy
Krekol;Krekole
Pielgrzymki;Pielgrzymka
Cykowa;Cykowo
Przewoźnik;Przewoźniki
Łuszczowa;Łuszczów
Świątkowa;Świątkowo
Klotyldzina;Klotyldzin
Klenkora;Klenkor
Łukowicy;Łukowica
Krąg;Kręgi
Łukowic;Łukowice
Sapałówki;Sapałówka
Sinołęki;Sinołęka
Załuża;Załuże
Panasówki;Panasówka
Okrasina;Okrasin
Pleśna;Pleśno
Jaszczerza;Jaszczerz
Durąga;Durąg
Jagielna;Jagielno
Chlewisk;Chlewiska
Szynkówka;Szynkówko
Kocewa;Kocewo
Płóz;Płozy
Kiełminy;Kiełmina
Kuzia;Kuzie
Kikit;Kikity
Młynowa;Młynów
Braciejówki;Braciejówka
Gosławic;Gosławice
Koszajca;Koszajec
Radlni;Radlnia
Kąpiela;Kąpiel
Kolnicy;Kolnica
Natolina;Natolin
Czubajowizny;Czubajowizna
Ławicy;Ławica
Tynicy;Tynica
Wyrębu;Wyrąb
Nietupy;Nietupa
Ławic;Ławice
Borzyszkowa;Borzyszkowo
Pniaków;Pniaki
Czeczotek;Czeczotki
Kawalców;Kawalce
Odrzykonia;Odrzykoń
Nowogrodźca;Nowogrodziec
Łączyna;Łączyn
Zaprężyna;Zaprężyn
Gołaszewa;Gołaszew
Bogdanowa;Bogdanów
Cedyni;Cedynia
Jankielówki;Jankielówka
Śliwnika;Śliwnik
Biechowa;Biechów
Przybyszów;Przybyszowy
Nowosiadła;Nowosiadło
Kłębowa;Kłębowo
Ujazdowa;Ujazdowo
Kleczewa;Kleczew
Klukówka;Klukówek
Wardzyna;Wardzyn
Bratkowic;Bratkowice
Głódek;Głódki
Pucołowa;Pucołowo
Bonisławia;Bonisław
Jasionowa;Jasionów
Wołowna;Wołowno
Leosina;Leosin
Niewirkowa;Niewirków
Krzeszkowic;Krzeszkowice
Sołeczna;Sołeczno
Gierałtowiczek;Gierałtowiczki
Stobojów;Stoboje
Żodzi;Żodzie
Żyrowa;Żyrów
Przecławia;Przecław
Szkucisk;Szkuciska
Przeorska;Przeorsk
Klęcina;Klęcino
Wycisłowa;Wycisłowo
Dobrucowej;Dobrucowa
Szczerosług;Szczerosługi
Uścia;Uść
Łowęcina;Łowęcin
Bielek;Bielki
Stróżek;Stróżki
Rokit;Rokity
Zofianówki;Zofianówka
Kazimierzewa;Kazimierzew
Januszkowic;Januszkowice
Pokrzydowa;Pokrzydowo
Krajenki;Krajenka
Sadkówki;Sadkówka
Chruścieli;Chruściele
Świnek;Świnki
Zyń;Zynie
Kałuszyna;Kałuszyn
Konradowa;Konradów
Ślepowoli;Ślepowola
Gwiazdowa;Gwiazdowo
Gorodczyna;Gorodczyno
Blinka;Blinek
Młyńca;Młyniec
Owsianki;Owsianka
Henrykówki;Henrykówka
Szerzyn;Szerzyny
Mykanowa;Mykanów
Falmirowic;Falmirowice
Doruchowa;Doruchów
Łosewa;Łosewo
Bażanowic;Bażanowice
Rdzuchowa;Rdzuchów
Goszcza;Goszcz
Cięciny;Cięcina
Zastawna;Zastawno
Lejkówka;Lejkówko
Miąskowa;Miąskowo
Skurowa;Skurów
Bachanowa;Bachanowo
Milikowa;Milikowo
Krąpiewa;Krąpiewo
Wycinków;Wycinki
Lemierzyc;Lemierzyce
Gaworzyny;Gaworzyna
Morowa;Morowo
Ropek;Ropki
Gromadna;Gromadno
Dawidowa;Dawidów
Świniarska;Świniarsko
Pilczycy;Pilczyca
Oświna;Oświno
Wyręby;Wyręba
Nomik;Nomiki
Kurzeszynka;Kurzeszynek
Sobiesek;Sobieski
Dobrogost;Dobrogosty
Wyrębów;Wyręby
Korytyny;Korytyna
Tarcz;Tarcze
Mejznerzyna;Mejznerzyn
Chroślic;Chroślice
Sętala;Sętal
Zarębca;Zarębiec
Wilków;Wilki
Żelazowic;Żelazowice
Tenczyna;Tenczyn
Łyniewa;Łyniew
Kamieńczyczyc;Kamieńczyce
Prątnicy;Prątnica
Nosalewic;Nosalewice
Gołocicic;Gołocice
Prosit;Prosity
Wągst;Wągsty
Jadwiżyna;Jadwiżyn
Niegolewa;Niegolewo
Niwnika;Niwnik
Czernik;Czerniki
Szczerb;Szczerby
Starej;Stara
Bieszkowic;Bieszkowice
Miłości;Miłość
Kluczewska;Kluczewsko
Papieży;Papieże
Brynka;Brynek
Bolkowa;Bolkowo
Werduna;Werdun
Kozinek;Kozinki
Radoszów;Radoszowy
Rossosza;Rossosz
Charbielina;Charbielin
Jankowiec;Jankowce
Gądna;Gądno
Rączek;Rączki
Niesadny;Niesadna
Zagajowa;Zagajów
Grabkowa;Grabkowo
Otorudy;Otoruda
Dobrzycy;Dobrzyca
Rozwarowa;Rozwarowo
Morzyczyna;Morzyczyn
Roztworowa;Roztworów
Opaczy;Opacz
Niesiołowic;Niesiołowice
Szczyrzyca;Szczyrzyc
Męczennnic;Męczennice
Bliskowic;Bliskowice
Arciechowa;Arciechów
Broszkowic;Broszkowice
Wołkowyi;Wołkowyja
Śnieżek;Śnieżki
Świerczka;Świerczek
Rejny;Rejna
Przyłęgowa;Przyłęgów
Niedanowa;Niedanowo
Dzielnej;Dzielna
Bęćkowa;Bęćkowo
Raniżowa;Raniżów
Rogoźniczki;Rogoźniczka
Łowinia;Łowiń
Otnogi;Otnoga
Bogusławic;Bogusławice
Rentyn;Rentyny
Frysztaka;Frysztak
Janków;Janki
Dobrocicic;Dobrocice
Zalbek;Zalbki
Lipszczan;Lipszczany
Stożnego;Stożne
Grądów;Grądy
Wygnanowa;Wygnanów
Wolnicy;Wolnica
Pachuczyna;Pachuczyn
Moracza;Moracz
Kopci;Kopcie
Chocieszowa;Chocieszów
Poprężnik;Poprężniki
Kaput;Kaputy
Młodynina;Młodynin
Jeszkotel;Jeszkotle
Tokarówki;Tokarówka
Koniecek;Koniecki
Giełdona;Giełdon
Agnieszkowa;Agnieszkowo
Zwoli;Zwola
Stypina;Stypin
Wołyńców;Wołyńce
Słonaw;Słonawy
Bornego;Borne
Polańczyka;Polańczyk
Kosztowej;Kosztowa
Prawdy;Prawda
Dęborzyc;Dęborzyce
Starężynka;Starężynek
Jeruzal;Jeruzale
Kosztowa;Kosztowo
Kozodaw;Kozodawy
Gostomia;Gostomie
Dzierżąznej;Dzierżązna
Sędraszyc;Sędraszyce
Nieznania;Nieznań
Gostomi;Gostomia
Dworków;Dworki
Hieronimowa;Hieronimowo
Występu;Występ
Gostomina;Gostomin
Lnisk;Lniska
Zawoni;Zawonia
Rogalowa;Rogalów
Gawerkowa;Gawerków
Liwina;Liwin
Rąbinka;Rąbinko
Podłużyc;Podłużyce
Rumejek;Rumejki
Prusieka;Prusiek
Tumidaja;Tumidaj
Konieczkowej;Konieczkowa
Krucza;Krucz
Upala;Upale
Myślimierza;Myślimierz
Janiszewa;Janiszewo
Przeuszyna;Przeuszyn
Słonecznika;Słonecznik
Tryczówki;Tryczówka
Koszyc;Koszyce
Bynowa;Bynowo
Miłowic;Miłowice
Kasparusa;Kasparus
Dyzina;Dyzin
Zwiartowa;Zwiartów
Osięcin;Osięciny
Grzybowców;Grzybowce
Wojaszówki;Wojaszówka
Cimoch;Cimochy
Czarnotek;Czarnotki
Macharcharc;Macharce
Zielonki;Zielonka
Karolówki;Karolówka
Wolini;Wolinia
Bukowiec;Bukowce
Czarnotki;Czarnotka
Włostowa;Włostowo
Homotów;Homoty
Stępocina;Stępocin
Wroczyńszczyzny;Wroczyńszczyzna
Rychwała;Rychwał
Rększowic;Rększowice
Sosnowa;Sosnowo
Kałek;Kałki
Mulawicz;Mulawicze
Sosnowej;Sosnowa
Lubina;Lubin
Siedlikowa;Siedlików
Drzyzdówek;Drzyzdówki
Rostek;Rostki
Dionizowa;Dionizów
Morgów;Morgi
Białogorców;Białogorce
Łobodów;Łobody
Jaszczowa;Jaszczów
Bartoszowej;Bartoszowa
Jagłowa;Jagłowo
Godziszki;Godziszka
Wałyczyka;Wałyczyk
Malanówka;Malanówko
Łososiowic;Łososiowice
Chałup;Chałupy
Radkowa;Radków
Grzegorzewa;Grzegorzew
Miałkówka;Miałkówek
Łazorów;Łazory
Dobrocina;Dobrocin
Krępy;Krępa
Średzińskich;Średzińskie
Wrząsawy;Wrząsawa
Muchówki;Muchówka
Bogurzyna;Bogurzyn
Szczepidła;Szczepidło
Wejda;Wejdo
Smaszewa;Smaszew
Przerycia;Przerycie
Stawca;Stawiec
Kolimag;Kolimagi
Duba;Dub
Zaleszczyn;Zaleszczyny
Chorzel;Chorzele
Bąkowca;Bąkowiec
Szczytu;Szczyt
Gatnik;Gatniki
Torul;Torule
Bąblińca;Bąbliniec
Ramutówka;Ramutówko
Teremisek;Teremiski
Czekaja;Czekaj
Roztylic;Roztylice
Zawichostu;Zawichost
Dańców;Dańce
Myślinowa;Myślinów
Zagnańska;Zagnańsk
Bagna;Bagno
Połańca;Połaniec
Gwoździan;Gwoździany
Falczewa;Falczewo
Ciężkowiczek;Ciężkowiczki
Bagien;Bagna
Świąc;Świące
Sztumu;Sztum
Szydłówca;Szydłówiec
Spólnika;Spólnik
Radomic;Radomice
Gaszowa;Gaszów
Bagnów;Bagny
Kamiennnego;Kamienne
Szembruka;Szembruk
Klukowicz;Klukowicze
Miłogoszczy;Miłogoszcz
Bornit;Bornity
Bodzewa;Bodzewo
Szydłówka;Szydłówko
Niecek;Niecki
Jesionowca;Jesionowiec
Opojowic;Opojowice
Samolubia;Samolubie
Dragacza;Dragacz
Unikowa;Uników
Chrzana;Chrzan
Kęblin;Kębliny
Lelowa;Lelów
Gąsek;Gąski
Kubic;Kubice
Kozła;Kozieł
Bronkowic;Bronkowice
Zaklikowa;Zaklików
Oparzna;Oparzno
Wtórka;Wtórek
Pogrzebienia;Pogrzebień
Tłukaw;Tłukawy
Płaczkowa;Płaczkowo
Lutynki;Lutynka
Skierbieszowa;Skierbieszów
Stójki;Stójka
Jaryszowa;Jaryszów
Wodziłek;Wodziłki
Kretowin;Kretowiny
Głobina;Głobino
Białachowa;Białachowo
Smólnika;Smólnik
Kościejowa;Kościejów
Wartkowic;Wartkowice
Rozprzy;Rozprza
Zaminowa;Zaminowo
Dzielaw;Dzielawy
Bolesławowa;Bolesławowo
Mężenina;Mężenin
Czachówek;Czachówki
Bartniczki;Bartniczka
Niekurzy;Niekurza
Daszewic;Daszewice
Kruszewa;Kruszew
Piskajn;Piskajny
Rzeżęcina;Rzeżęcin
Chocianowa;Chocianów
Pasiecznej;Pasieczna
Głuszycy;Głuszyca
Krosnowic;Krosnowice
Chodorów;Chodory
Międzyrzecza;Międzyrzecze
Baciut;Baciuty
Sędziejowic;Sędziejowice
Karlina;Karlin
Wojtkowic;Wojtkowice
Dodowa;Dodów
Zborowa;Zborów
Jagodzińca;Jagodziniec
Grotnik;Grotniki
Perzyn;Perzyny
Krawieczyna;Krawieczyn
Olszyn;Olszyny
Starogub;Staroguby
Sulechówka;Sulechówko
Aksmanic;Aksmanice
Sulejowa;Sulejów
Śliwina;Śliwin
Czerwieńca;Czerwieniec
Koteż;Koteże
Barzyny;Barzyna
Masłomiącej;Masłomiąca
Kulic;Kulice
Momajn;Momajny
Chmielna;Chmielno
Wajsznor;Wajsznory
Szucia;Szucie
Zakrzewa;Zakrzew
Chodorążka;Chodorążek
Grodni;Grodnia
Golęczewa;Golęczewo
Kobylan;Kobylany
Wonorza;Wonorze
Steblewa;Steblewo
Książnicy;Książnica
Parzniewic;Parzniewice
Palmowa;Palmowo
Dzbanic;Dzbanice
Pawlikowic;Pawlikowice
Miłocina;Miłocin
Wolimierza;Wolimierz
Jakubkowa;Jakubkowo
Sajówki;Sajówka
Zbyłowic;Zbyłowice
Głupczowa;Głupczów
Szczebrzeszyna;Szczebrzeszyn
Pakości;Pakość
Erazmowa;Erazmów
Roszczepu;Roszczep
Kamocinka;Kamocinek
Nieszkowa;Nieszków
Nowolesia;Nowolesie
Jesionnny;Jesionna
Biezdrowa;Biezdrowo
Żytniej;Żytnia
Lubocienia;Lubocień
Gostyczyny;Gostyczyna
Frankowa;Franków
Skrajnicy;Skrajnica
Wisów;Wisy
Ornatowic;Ornatowice
Felcyna;Felcyn
Andrzejowa;Andrzejów
Karnkowa;Karnków
Kopalin;Kopaliny
Łukaszowa;Łukaszów
Błażejewic;Błażejewice
Lubsk;Lubska
Błogoszczy;Błogoszcz
Wiesiołowa;Wiesiołów
Niedar;Niedary
Kopydłowa;Kopydłów
Strachocina;Strachocin
Świesza;Świesz
Śmietanek;Śmietanki
Pruchnika;Pruchnik
Pomianu;Pomian
Jadeszek;Jadeszki
Krzywca;Krzywiec
Kopaliny;Kopalina
Bryńska;Bryńsk
Zuzeli;Zuzela
Ostrowieczka;Ostrowieczko
Jankowa;Janków
Kucębowa;Kucębów
Tarczyna;Tarczyn
Jakubowa;Jakubów
Mierkowa;Mierków
Połowy;Połowa
Wrocisławic;Wrocisławice
Cadowa;Cadów
Tarnawy;Tarnawa
Wron;Wrony
Letnicy;Letnica
Krajkowa;Krajków
Marków;Marki
Daniłowa;Daniłowo
Drelowa;Drelów
Dobrzynia;Dobrzyń
Dzikowca;Dzikowiec
Kaliłowa;Kaliłów
Golemek;Golemki
Rusiborza;Rusibórz
Rydzewa;Rydzew
Żar;Żary
Tuchomka;Tuchomko
Antosina;Antosin
Chaniek;Chańki
Matiaszówki;Matiaszówka
Baszyna;Baszyn
Sieraków;Sierakowy
Goszowa;Goszów
Frelichowa;Frelichów
Zgórza;Zgórze
Niekurska;Niekursko
Serednicy;Serednica
Wieruszewa;Wieruszew
Węziny;Węzina
Cotonia;Cotoń
Paulinowa;Paulinów
Podraja;Podraje
Unikowic;Unikowice
Michalinowa;Michalinów
Rybotycz;Rybotycze
Mylina;Mylin
Trosin;Trosiny
Wolkowych;Wolkowe
Szkudłówki;Szkudłówka
Jaczkowa;Jaczków
Jaborowic;Jaborowice
Krakówka;Krakówek
Mojżeszowa;Mojżeszów
Bachorchorc;Bachorce
Dorowa;Dorowo
Walentowa;Walentowo
Miednika;Miednik
Dzierżna;Dzierżno
Osowi;Osowia
Jagatowa;Jagatowo
Probołowic;Probołowice
Pieruszyc;Pieruszyce
Chodlewa;Chodlewo
Orszewic;Orszewice
Rożnów;Rożny
Borysówki;Borysówka
Suszki;Suszka
Marcyporęby;Marcyporęba
Adamkowa;Adamkowo
Wiśniewki;Wiśniewka
Kopaniny;Kopanina
Galumina;Galumin
Dobroszowa;Dobroszów
Sierakówka;Sierakówek
Kaczórek;Kaczórki
Galewa;Galew
Świężycy;Świężyca
Bębnowa;Bębnów
Jankowic;Jankowice
Turobowic;Turobowice
Adamowizny;Adamowizna
Pełcznicy;Pełcznica
Budomierza;Budomierz
Wałów;Wały
Grazym;Grazymy
Kopaninin;Kopaniny
Kocierza;Kocierz
Żurady;Żurada
Wilczowoli;Wilczowola
Molend;Molendy
Szewny;Szewna
Pator;Patory
Goszczędzy;Goszczędza
Chobota;Chobot
Tymina;Tymin
Przysieki;Przysieka
Katarzynowa;Katarzynów
Szpinalowa;Szpinalów
Stradynia;Stradyń
Szewna;Szewno
Mąkowarska;Mąkowarsko
Chwałkowic;Chwałkowice
Wiercicy;Wiercica
Strzałkowa;Strzałków
Budowa;Budowo
Grodzisk;Grodziska
Zmysłowa;Zmysłowo
Sawina;Sawin
Lubogoszczy;Lubogoszcz
Drożanek;Drożanki
Bustryku;Bustryk
Moszyn;Moszyny
Połęcka;Połęcko
Steklna;Steklno
Czarzyzny;Czarzyzna
Krzywosądza;Krzywosądz
Popiela;Popiel
Kończewa;Kończewo
Pielaszowa;Pielaszów
Grzegorzowa;Grzegorzów
Łozów;Łozy
Goździkowa;Goździków
Kolemczyczyc;Kolemczyce
Pomykowa;Pomyków
Strupiechowa;Strupiechów
Myszkowa;Myszkowo
Wygorzela;Wygorzel
Mokracza;Mokracz
Węszelówki;Węszelówka
Komaszówki;Komaszówka
Węgorzy;Węgorza
Kobysewa;Kobysewo
Częstoborowic;Częstoborowice
Rębisk;Rębiska
Maciowakrza;Maciowakrze
Nadarzyna;Nadarzyn
Podwódki;Podwódka
Modzurowa;Modzurów
Gałowa;Gałów
Turcza;Turcz
Sajz;Sajzy
Zglechowa;Zglechów
Wierszczycy;Wierszczyca
Kompiny;Kompina
Nierostowa;Nierostowo
Szamotuł;Szamotuły
Kalborni;Kalbornia
Bron;Brony
Szczepankowa;Szczepankowo
Jarosławia;Jarosław
Majkowic;Majkowice
Marciszowa;Marciszów
Księżyc;Księżyce
Fałkowa;Fałków
Jastrowia;Jastrowie
Lemana;Leman
Tarchalina;Tarchalin
Kowalewiczek;Kowalewiczki
Krępca;Krępiec
Kolczyna;Kolczyn
Tokarni;Tokarnia
Opatowic;Opatowice
Kadłubi;Kadłubia
Przecławic;Przecławice
Suliszowic;Suliszowice
Krzywowólki;Krzywowólka
Kłobukowa;Kłobukowo
Sawał;Sawały
Godaszewic;Godaszewice
Wymysłówki;Wymysłówka
Dojazdowa;Dojazdów
Piaszna;Piaszno
Duńkowic;Duńkowice
Główiewa;Główiew
Uzdowa;Uzdowo
Obarzyma;Obarzym
Lembarga;Lembarg
Szczebry;Szczebra
Zamołodycza;Zamołodycze
Harbułtowic;Harbułtowice
Parysa;Parys
Pawluk;Pawluki
Bazaru;Bazar
Radzynia;Radzyń
Skowierzyna;Skowierzyn
Płazowa;Płazowo
Silnicy;Silnica
Czepielina;Czepielin
Salkowszczyzny;Salkowszczyzna
Ramsówka;Ramsówko
Rąbit;Rąbity
Chrośna;Chrośno
Szulbor;Szulbory
Grochówka;Grochówek
Pomiłowa;Pomiłowo
Żędowa;Żędowo
Źrebiec;Źrebce
Uchańki;Uchańka
Kuściniec;Kuścińce
Brończyczyc;Brończyce
Ostrzykówka;Ostrzykówek
Drożejowic;Drożejowice
Chrośny;Chrośna
Łebna;Łebno
Nosek;Noski
Jastrzębic;Jastrzębice
Brzyskorzystwi;Brzyskorzystew
Rzeczniówka;Rzeczniówek
Mierzynka;Mierzynko
Orchowca;Orchowiec
Rychłocicic;Rychłocice
Gębalówki;Gębalówka
Targoni;Targonie
Drachalicy;Drachalica
Wyszoboru;Wyszobór
Jaczna;Jaczno
Ołoboku;Ołobok
Krasnobrodu;Krasnobród
Ossowy;Ossowa
Łowoszowa;Łowoszów
Ciepienia;Ciepień
Bakuły;Bakuła
Węgleńca;Węgleniec
Pawłowic;Pawłowice
Psar;Psary
Polany;Polana
Paczynki;Paczynka
Bartąga;Bartąg
Mirosławek;Mirosławki
Polan;Polany
Folgowa;Folgowo
Wabcza;Wabcz
Suchodółki;Suchodółka
Wojszyna;Wojszyn
Dzwonowic;Dzwonowice
Duninopola;Duninopol
Brudzowa;Brudzów
Słomówka;Słomówko
Rachelan;Rachelany
Orczuchów;Orczuchy
Wołynia;Wołyń
Wisełki;Wisełka
Mirocina;Mirocin
Strachocicic;Strachocice
Najmowa;Najmowo
Rososznicy;Rososznica
Rozniszewa;Rozniszew
Oficjałowa;Oficjałów
Witosławic;Witosławice
Lasochowa;Lasochów
Węgorzewa;Węgorzewo
Witówki;Witówka
Chełmca;Chełmiec
Beźnika;Beźnik
Płosodrzy;Płosodrza
Sipior;Sipiory
Gorzelni;Gorzelnia
Witówka;Witówko
Gracucha;Gracuch
Surmaczów;Surmacze
Niemirowa;Niemirów
Krzcięcina;Krzcięcin
Święcianowa;Święcianowo
Pyrzyc;Pyrzyce
Charzowic;Charzowice
Bylina;Bylino
Gierałtowca;Gierałtowiec
Labuszewa;Labuszewo
Wychodnego;Wychodne
Popienia;Popień
Łącznej;Łączna
Mieszołek;Mieszołki
Goświnowic;Goświnowice
Jenkowic;Jenkowice
Goliat;Goliaty
Sucharzewa;Sucharzewo
Fanisławiczek;Fanisławiczki
Piotrowic;Piotrowice
Radestowa;Radestów
Kłuśna;Kłuśno
Mistowa;Mistów
Czach;Czachy
Wyganek;Wyganki
Markowic;Markowice
Swaryczowa;Swaryczów
Karnocicic;Karnocice
Szarowoli;Szarowola
Kuzawy;Kuzawa
Leśna;Leśno
Czapur;Czapury
Plugawic;Plugawice
Pakoszowa;Pakoszów
Amelina;Amelin
Stobnicka;Stobnicko
Stużna;Stużno
Łopacina;Łopacin
Annosławia;Annosław
Łukowca;Łukowiec
Zaberbecza;Zaberbecze
Ginetówki;Ginetówka
Boksyckiej;Boksycka
Kołdrąbia;Kołdrąb
Prus;Prusy
Nożyna;Nożyno
Galczyczek;Galczyczki
Warężyna;Warężyn
Kleszczyny;Kleszczyna
Szpęgawy;Szpęgawa
Czelina;Czelin
Zaździerza;Zaździerz
Ćwierska;Ćwiersk
Siepietnicy;Siepietnica
Mroczkowa;Mroczków
Czastar;Czastary
Ostrowów;Ostrowy
Mysławczyczyc;Mysławczyce
Białoborza;Białoborze
Gruszewa;Gruszewo
Szubienic;Szubienice
Tapilkajm;Tapilkajmy
Kowalewka;Kowalewek
Radzyminka;Radzyminek
Lasu;Las
Dalboszka;Dalboszek
Gościejewa;Gościejewo
Toporzyszczewa;Toporzyszczewo
Cieszek;Cieszki
Przydatków;Przydatki
Klawkowa;Klawkowo
Zagajewa;Zagajew
Horoszczyczyc;Horoszczyce
Sanoki;Sanoka
Tochołowa;Tochołów
Kudrycz;Kudrycze
Wierzchoniowa;Wierzchoniów
Lekówca;Lekówiec
Donimierza;Donimierz
Cewic;Cewice
Ruszenic;Ruszenice
Drwęsy;Drwęsa
Choruli;Chorula
Wojkowej;Wojkowa
Zaborzec;Zaborce
Budzisk;Budziski
Kienkówki;Kienkówka
Skrzeszewa;Skrzeszew
Wziąchowa;Wziąchów
Jarużyna;Jarużyn
Budziska;Budzisko
Budzisk;Budziska
Myrchy;Myrcha
Staszica;Staszic
Babięt;Babięta
Bieli;Biel
Hamerni;Hamernia
Potrzebny;Potrzebna
Tomaszewa;Tomaszewo
Postolina;Postolin
Bajdów;Bajdy
Bartoszewa;Bartoszewo
Gręboszyc;Gręboszyce
Palowic;Palowice
Winniczki;Winniczka
Sydołu;Sydół
Liciszew;Liciszewy
Kobyłochy;Kobyłocha
Wandalina;Wandalin
Leśnicy;Leśnica
Orlinka;Orlinek
Ewiny;Ewina
Strupin;Strupiny
Helenówka;Helenówek
Wyszowatki;Wyszowatka
Wieldządza;Wieldządz
Piotrowca;Piotrowiec
Soboty;Sobota
Myszakówka;Myszakówek
Sągnit;Sągnity
Dobrowa;Dobrów
Łopusznej;Łopuszna
Żórawiny;Żórawina
Węglewic;Węglewice
Błogoszowa;Błogoszów
Krasowa;Krasów
Sawina;Sawino
Dachowy;Dachowa
Stegienki;Stegienka
Szczesia;Szczesie
Łopuszna;Łopuszno
