Dopełniacz;Mianownik;Wynik Stemmera
Karlikowa;Karlikowo;Karlikowa;
Ownic;Ownice;Ownica;
Łowoszowa;Łowoszów;Łowoszowa;
Bakuły;Bakuła;Bakuły;
Wołkusznego;Wołkuszne;Wołkuszny;
Unieradza;Unieradz;Unieradza;
Mirocina;Mirocin;Mirocina;
Krzcięcina;Krzcięcin;Krzcięcina;
Święcianowa;Święcianowo;Święcianowa;
Pyrzyc;Pyrzyce;Pyrzyca;
Swór;Swory;Swór;
Goświnowic;Goświnowice;Goświnowica;
Piotrowic;Piotrowice;Piotrowica;
Rzepowskiego;Rzepowskie;Rzepowski;
Czach;Czachy;Cz;
Harbutowic;Harbutowice;Harbutowica;
Runowa;Runowo;Runowa;
Sokolnik;Sokolniki;Sokolnik;
Stoplina;Stoplin;Stoplina;
Staniewic;Staniewice;Staniewica;
Parnówka;Parnówko;Parnówka;
Tapilkajm;Tapilkajmy;Tapilkajma;
Wymysłowic;Wymysłowice;Wymysłowica;
Wichowa;Wichowo;Wichów;
Obrowa;Obrów;Obrowa;
Chójek;Chójki;Chójka;
Jamboreka;Jamborek;Jamboreka;
Pierwoszyna;Pierwoszyno;Pierwoszyna;
Gręboszyc;Gręboszyce;Gręboszyca;
Wierzchów;Wierzchy;Wierzch;
Dobrowa;Dobrów;Dobrowa;
Gładyszy;Gładysze;Gładysz;
Dachowy;Dachowa;Dachów;
Przeradowa;Przeradowo;Przeradowa;
Zielenic;Zielenice;Zielenica;
Krzeczowic;Krzeczowice;Krzeczowica;
Bierkowic;Bierkowice;Bierkowica;
Józefina;Józefin;Józefina;
Polkowskiego;Polkowskie;Polkowski;
Sulnowa;Sulnowo;Sulnowa;
Pęzina;Pęzino;Pęzina;
Ułtowa;Ułtowo;Ułtowa;
Obrębu;Obrąb;Obręb;
Bodzewa;Bodzew;Bodzewo;
Drzonka;Drzonek;Drzonka;
Trzaskowa;Trzaskowo;Trzaskowa;
Samborza;Sambórz;Samborze;
Felicjana;Felicjan;Felicjana;
Łumpi;Łumpia;Łumpie;
Ponik;Poniki;Ponik;
Wierzchowisk;Wierzchowiska;Wierzchowisko;
Szymborna;Szymborno;Szymborn;
Żelek;Żelki;Żelka;
Nowak;Nowaki;Nowak;
Dzikówka;Dzikówko;Dzikówka;
Gleźnowa;Gleźnowo;Gleźnowa;
Orzyn;Orzyny;Orzyna;
Sankur;Sankury;Sankura;
Stojadeł;Stojadła;Stojadło;
Wydorowa;Wydorowo;Wydorowa;
Egiertowa;Egiertowo;Egiertowa;
Zuzułki;Zuzułka;Zuzułki;
Ciechomic;Ciechomice;Ciechomica;
Ogorzelin;Ogorzeliny;Ogorzelina;
Osieczowa;Osieczów;Osieczowa;
Sitek;Sitki;Sitka;
Magnuszewic;Magnuszewice;Magnuszewica;
Zelek;Zelki;Zelka;
Potoków;Potoki;Potok;
Pczelina;Pczelino;Pczelina;
Trąb;Trąby;Trąb;
Liwek;Liwki;Liwek;
Będzieszyny;Będzieszyna;Będzieszyn;
Broniewka;Broniewek;Broniewka;
Paderewka;Paderewek;Paderewka;
Dobrzejowa;Dobrzejów;Dobrzejowa;
Wereszczyna;Wereszczyn;Wereszczyna;
Cekcyna;Cekcyn;Cekcyna;
Czarnowa;Czarnów;Czarnowa;
Zakrzewka;Zakrzewko;Zakrzewka;
Przygodziczek;Przygodziczki;Przygodziczka;
Cimowa;Cimowo;Cimowa;
Kobelnik;Kobelniki;Kobelnik;
Maręży;Maręże;Maręż;
Studennnego;Studenne;Studennny;
Paniewka;Paniewek;Paniewka;
Wyrębowa;Wyrębów;Wyrębowa;
Drezna;Drezno;Drezna;
Nochowa;Nochowo;Nochów;
Bałowa;Bałowo;Bałowa;
Jazdowic;Jazdowice;Jazdowica;
Cezarowa;Cezarów;Cezarowa;
Justynowa;Justynów;Justynowa;
Zdanowic;Zdanowice;Zdanowica;
Lubiankowa;Lubianków;Lubiankowa;
Bełdna;Bełdno;Bełdna;
Bystrojowic;Bystrojowice;Bystrojowica;
Bartos;Bartosy;Bartos;
Niestkowa;Niestkowo;Niestkowa;
Czesławowa;Czesławowo;Czesławowa;
Drzewian;Drzewiany;Drzewian;
Obałek;Obałki;Obałek;
Grabowna;Grabowno;Grabown;
Stuposian;Stuposiany;Stuposiano;
Swędzieniejewic;Swędzieniejewice;Swędzieniejewica;
Bóbrki;Bóbrka;Bóbrek;
Górawina;Górawino;Górawina;
Częstkowa;Częstkowo;Częstkowa;
Galewic;Galewice;Galewica;
Krasocina;Krasocin;Krasocina;
Chełminka;Chełminko;Chełminek;
Góry;Góra;Gór;
Kaliw;Kaliwy;Kaliwo;
Dobromyśla;Dobromyśl;Dobromyśla;
Chomętowa;Chomętowo;Chomętowa;
Kołkowa;Kołkowo;Kołkowa;
Gór;Góry;Gór;
Łośnicy;Łośnica;Łośnik;
Karolowa;Karolów;Karolowa;
Korzennna;Korzenno;Korzennna;
Smielic;Smielice;Smielica;
Korzennnej;Korzenna;Korzennna;
Wejherowa;Wejherowo;Wejherowa;
Dobrylewa;Dobrylewo;Dobrylewa;
Porajowa;Porajów;Porajowa;
Szczercowa;Szczerców;Szczercowa;
Łaniocha;Łanioch;Łaniocha;
Grzymałkowa;Grzymałków;Grzymałkowa;
Zosinowa;Zosinowo;Zosinowa;
Dobrzykowic;Dobrzykowice;Dobrzykowica;
Podstrobowa;Podstrobów;Podstrobowa;
Mezowa;Mezowo;Mezowa;
Bałamącka;Bałamącek;Bałamącka;
Przepałkowa;Przepałkowo;Przepałkowa;
Sińczycy;Sińczyca;Sińczyk;
Brześc;Brześce;Brześc;
Połażejewa;Połażejewo;Połażejewa;
Duczymina;Duczymin;Duczymina;
Serok;Seroki;Serok;
Jurczyczyc;Jurczyce;Jurczyczyca;
Huczwic;Huczwice;Huczwica;
Nieceni;Niecenia;Niecenie;
Plastowa;Plastowo;Plastowa;
Dziechowa;Dziechowo;Dziechów;
Pobiedzisk;Pobiedziska;Pobiedzisko;
Glicka;Glicko;Glicka;
Okulic;Okulice;Okulica;
Wąworkowa;Wąworków;Wąworkowa;
Babska;Babsk;Babsko;
Samostrzałowa;Samostrzałów;Samostrzałowa;
Brodziszowa;Brodziszów;Brodziszowa;
Zawierszów;Zawiersze;Zawiersz;
Smogórów;Smogóry;Smogóra;
Pantalowic;Pantalowice;Pantalowica;
Darownego;Darowne;Darowny;
Szczucina;Szczucin;Szczucina;
Sysek;Syski;Syska;
Moskwina;Moskwin;Moskwina;
Myjomic;Myjomice;Myjomica;
Jarząbkowic;Jarząbkowice;Jarząbkowica;
Lesiaków;Lesiaki;Lesiak;
Iżykowic;Iżykowice;Iżykowica;
Kaniewa;Kaniew;Kaniewa;
Podkorzenna;Podkorzenno;Podkorzenna;
Krajenek;Krajenki;Krajenka;
Sobieszyna;Sobieszyn;Sobieszyna;
Młudzyna;Młudzyn;Młudzyna;
Kozielic;Kozielice;Kozielica;
Wyrzyska;Wyrzysk;Wyrzysko;
Gołaszyna;Gołaszyn;Gołaszyna;
Bierdzan;Bierdzany;Bierdzan;
Pęcicic;Pęcice;Pęcicica;
Grabianowa;Grabianowo;Grabianowa;
Barcikowic;Barcikowice;Barcikowica;
Kaczorów;Kaczory;Kaczor;
Korczaków;Korczaki;Korczak;
Kołoząbia;Kołoząb;Kołoząbia;
Stodólna;Stodólno;Stodólna;
Pored;Poredy;Poreda;
Ogartówka;Ogartówko;Ogartówka;
Lublinowa;Lublinów;Lublinowa;
Ciężkowa;Ciężków;Ciężkowa;
Szarek;Szarki;Szarka;
Krobielowic;Krobielowice;Krobielowica;
Sękocina;Sękocin;Sękocina;
Rzepotowic;Rzepotowice;Rzepotowica;
Podlesic;Podlesice;Podlesica;
Chaptyzowa;Chaptyzów;Chaptyzowa;
Świechocina;Świechocin;Świechocina;
Gnojenka;Gnojenko;Gnojenka;
Kisiel;Kisiele;Kisiel;
Wolanowa;Wolanów;Wolanowa;
Wokowic;Wokowice;Wokowica;
Hanowa;Hanowo;Hanowa;
Rotnowa;Rotnowo;Rotnowa;
Gilewa;Gilewo;Gilewa;
Szyszczyczyc;Szyszczyce;Szyszczyczyca;
Sawczyna;Sawczyn;Sawczyna;
Sąspowa;Sąspów;Sąspowa;
Czumowa;Czumów;Czumowa;
Seroczek;Seroczki;Seroczek;
Antonowa;Antonów;Antonowa;
Zabiela;Zabiele;Zabiel;
Skokumia;Skokum;Skokumia;
Sowin;Sowiny;Sowina;
Suprunów;Supruny;Suprun;
Wiecanowa;Wiecanowo;Wiecanowa;
Jask;Jaski;Jask;
Podłazia;Podłazie;Podłaź;
Sarnak;Sarnaki;Sarnak;
Poleszyna;Poleszyn;Poleszyna;
Będzinka;Będzinko;Będzinka;
Rozborza;Rozbórz;Rozborze;
Siutkowa;Siutkowo;Siutkowa;
Budziszowa;Budziszów;Budziszowa;
Słotwina;Słotwin;Słotwina;
Otylina;Otylin;Otylina;
Dziewięciół;Dziewięcioły;Dziewięciel;
Susłowa;Susłów;Susłowo;
Brzyna;Brzyno;Brzyna;
Dobrzankowa;Dobrzankowo;Dobrzankowa;
Terebinia;Terebiń;Terebinia;
Węgoja;Węgój;Węgoja;
Kraskowa;Kraskowo;Kraskowa;
Połowców;Połowce;Połowiec;
Golimowa;Golimowo;Golimowa;
Białous;Białousy;Białous;
Rzakty;Rzakta;Rzakt;
Załakowa;Załakowo;Załakowa;
Jarek;Jarki;Jarka;
Ludwina;Ludwin;Ludwina;
Czerwonkowa;Czerwonków;Czerwonkowa;
Zbąszynia;Zbąszyń;Zbąszynia;
Jug;Jugi;Juga;
Ślepowron;Ślepowrony;Ślepowron;
Zapomnianowa;Zapomnianowo;Zapomnianowa;
Wojewodzy;Wojewodza;Wojewodze;
Jeldzina;Jeldzino;Jeldzina;
Uciechowic;Uciechowice;Uciechowica;
Krzczonowa;Krzczonów;Krzczonowa;
Żelkowa;Żelkowo;Żelkowa;
Mazowsza;Mazowsze;Mazowsza;
Małgowa;Małgów;Małgowa;
Kosut;Kosuty;Kosut;
Niepołomic;Niepołomice;Niepołomica;
Chlewa;Chlewo;Chlew;
Żychlikowa;Żychlikowo;Żychlikowa;
Glejska;Glejsk;Glejsko;
Czerniakowa;Czerniaków;Czerniakowa;
Ligowa;Ligowo;Ligowa;
Schodna;Schodno;Schodna;
Czapelek;Czapelki;Czapelka;
Możdżanowa;Możdżanowo;Możdżanowa;
Stójkowa;Stójków;Stójkowa;
Szlędaków;Szlędaki;Szlędak;
Janiszowa;Janiszów;Janiszowa;
Rymanowa;Rymanów;Rymanowa;
Barczewka;Barczewko;Barczewka;
Bonina;Bonin;Bonina;
Gutkowa;Gutkowo;Gutkowa;
Peresołowic;Peresołowice;Peresołowica;
Lucimi;Lucimia;Luci;
Podbrzezia;Podbrzezie;Podbrzeź;
Zblęga;Zblęg;Zblęga;
Magnusz;Magnusze;Magnusz;
Rębkowa;Rębkowo;Rębkowa;
Kulowa;Kulowo;Kulowa;
Lisna;Lisno;Lisna;
Niemierzyna;Niemierzyno;Niemierzyna;
Monioch;Moniochy;Moniocha;
Troninin;Troniny;Troninina;
Wólek;Wólki;Wólka;
Kik;Kiki;Kik;
Żwikiel;Żwikiele;Żwikiel;
Sulek;Sulki;Sulka;
Biskupic;Biskupice;Biskupic;
Górowa;Górowo;Górowa;
Nagawek;Nagawki;Nagawka;
Lutowisk;Lutowiska;Lutowisko;
Bolewicka;Bolewicko;Bolewicka;
Czasławia;Czasław;Czasławie;
Białas;Białasy;Białas;
Miat;Miaty;Miat;
Wielogłów;Wielogłowy;Wielogłów;
Mołdawinka;Mołdawinek;Mołdawinka;
Wysogotówka;Wysogotówek;Wysogotówka;
Jelenia;Jeleń;Jelenie;
Bliżyna;Bliżyn;Bliżyna;
Myślina;Myślino;Myślina;
Pacółtowa;Pacółtowo;Pacółtowa;
Żabostowa;Żabostowo;Żabostowa;
Ludyni;Ludynia;Ludyń;
Siernik;Sierniki;Siernik;
Słońska;Słońsko;Słońska;
Paroli;Parole;Parola;
Nasicznego;Nasiczne;Nasiczny;
Budwieci;Budwiecie;Budwieć;
Leśnej;Leśnia;Leśna;
Olkowic;Olkowice;Olkowica;
Arcelina;Arcelin;Arcelina;
Żużeli;Żużela;Żużel;
Rychówka;Rychówko;Rychówka;
Parchlin;Parchliny;Parchlina;
Krężołów;Krężoły;Krężół;
Boguszyczek;Boguszyczki;Boguszyczka;
Strzemeszna;Strzemeszno;Strzemeszna;
Królewic;Królewice;Królewica;
Brelikowa;Brelików;Brelikowa;
Widryn;Widryny;Widryna;
Pozort;Pozorty;Pozorta;
Kiełczynka;Kiełczynek;Kiełczynka;
Romanowa;Romanów;Romanowa;
Modgarb;Modgarby;Modgarb;
Prokocicic;Prokocice;Prokocicica;
Mastek;Mastki;Mastka;
Domaradza;Domaradz;Domaradza;
Domarad;Domarady;Domarada;
Zielomyśla;Zielomyśl;Zielomyśla;
Mamarty;Mamarta;Mamart;
Lędyczka;Lędyczek;Lędyczka;
Świerczynka;Świerczynek;Świerczynka;
Antoników;Antoniki;Antonik;
Onębra;Onęber;Onębra;
Celina;Celin;Celina;
Konotopy;Konotopa;Konotop;
Meszek;Meszki;Meszek;
Zegartowic;Zegartowice;Zegartowica;
Ubieszyna;Ubieszyn;Ubieszyna;
Suryt;Suryty;Suryt;
Taczowa;Taczów;Taczowa;
Holeszowa;Holeszów;Holeszowa;
Rudzienka;Rudzienko;Rudzienka;
Piekutowa;Piekutowo;Piekutowa;
Bębnówka;Bębnówko;Bębnówka;
Winnicy;Winnica;Winnik;
Miedzianowa;Miedzianów;Miedzianowa;
Pełel;Pełele;Pełel;
Hołubli;Hołubla;Hołubel;
Gołębia;Gołębie;Gołąb;
Roztworowa;Roztworów;Roztworowa;
Kobylej;Kobyla;Kobylej;
Gołębina;Gołębin;Gołębina;
Bronówka;Bronówek;Bronówka;
Kobyla;Kobyle;Kobyl;
Strychów;Strychy;Strych;
Zaradowisk;Zaradowiska;Zaradowisko;
Zasiek;Zasieki;Zasiek;
Pławiec;Pławce;Pławiec;
Uzdowa;Uzdowo;Uzdowa;
Owieczkowa;Owieczkowo;Owieczkowa;
Głuchowic;Głuchowice;Głuchowica;
Stawisk;Stawiska;Stawisko;
Stawisk;Stawiski;Stawisko;
Pierzysk;Pierzyska;Pierzysko;
Lad;Lady;Lada;
Rokowa;Roków;Rokowa;
Kul;Kule;Kula;
Wernerowa;Wernerowo;Wernerowa;
Gębic;Gębice;Gębica;
Mirotek;Mirotki;Mirotka;
Różewa;Różewo;Różewa;
Ciborów;Cibory;Cibór;
Węgierek;Węgierki;Węgierka;
Zatopolic;Zatopolice;Zatopolica;
Politowa;Politów;Politowa;
Jeżyc;Jeżyce;Jeżyca;
Zbydniowa;Zbydniów;Zbydniowa;
Żędowic;Żędowice;Żędowica;
Rębieskiego;Rębieskie;Rębieski;
Lorek;Lorki;Lorka;
Szczytna;Szczytno;Szczytna;
Kęsic;Kęsice;Kęsica;
Gniewoszyc;Gniewoszyce;Gniewoszyca;
Imienka;Imienko;Imienka;
Mrożewic;Mrożewice;Mrożewica;
Lipianek;Lipianki;Lipianka;
Uniemyśla;Uniemyśl;Uniemyśla;
Choin;Choiny;Choina;
Lubnicy;Lubnica;Lubnik;
Ryszewka;Ryszewko;Ryszewka;
Jarszewka;Jarszewko;Jarszewka;
Łazarzowic;Łazarzowice;Łazarzowica;
Bojmia;Bojmie;Bojmia;
Smólska;Smólsk;Smólska;
Litychowa;Litychowo;Litychów;
Kaźmierzowa;Kaźmierzów;Kaźmierzowa;
Widoradza;Widoradz;Widoradza;
Strug;Strugi;Strug;
Urzuta;Urzut;Urzuta;
Strugi;Struga;Strug;
Rozięcina;Rozięcin;Rozięcina;
Ćwiklinka;Ćwiklinek;Ćwiklinka;
Kawęcina;Kawęcin;Kawęcina;
Wygiełdowa;Wygiełdów;Wygiełdowa;
Czadrowa;Czadrów;Czadrowa;
Zdrochechca;Zdrochec;Zdrochechca;
Uśnic;Uśnice;Uśnica;
Sulicicic;Sulicice;Sulicicica;
Tarnowiec;Tarnowce;Tarnowiec;
Zielęcina;Zielęcin;Zielęcina;
Włościejewic;Włościejewice;Włościejewica;
Raczkowa;Raczków;Raczkowa;
Żyrowa;Żyrów;Żyrowa;
Zdzięsławic;Zdzięsławice;Zdzięsławica;
Boronowa;Boronów;Boronowa;
Jerzmanic;Jerzmanice;Jerzmanica;
Obłotnego;Obłotne;Obłotny;
Wawrzonowa;Wawrzonowo;Wawrzonowa;
Wirwajd;Wirwajdy;Wirwajda;
Rzeplina;Rzeplino;Rzeplina;
Tarchalic;Tarchalice;Tarchalica;
Ludomicka;Ludomicko;Ludomicka;
Starościna;Starościn;Starościna;
Młodojewa;Młodojewo;Młodojewa;
Niezabitowa;Niezabitów;Niezabitowa;
Siderki;Siderka;Siderek;
Trokajn;Trokajny;Trokajn;
Płocochowa;Płocochowo;Płocochów;
Zawisza;Zawisze;Zawisz;
Biertowic;Biertowice;Biertowica;
Gdeszyna;Gdeszyn;Gdeszyna;
Zarzęcina;Zarzęcin;Zarzęcina;
Łazieźca;Łaziec;Łazieziec;
Kolecina;Kolecin;Kolecina;
Pilzna;Pilzno;Pilzna;
Turczyna;Turczyn;Turczyna;
Bytynia;Bytyń;Bytynia;
Rulic;Rulice;Rulica;
Mańkowic;Mańkowice;Mańkowica;
Krajęcina;Krajęcin;Krajęcina;
Białczyna;Białczyn;Białczyna;
Kamyszowa;Kamyszów;Kamyszowa;
Kociołków;Kociołki;Kociołek;
Staszowa;Staszów;Staszowa;
Lizbony;Lizbona;Lizbon;
Dziewiątli;Dziewiątle;Dziewiątla;
Bieczyn;Bieczyny;Bieczyna;
Bieczyna;Bieczyno;Bieczyna;
Igrył;Igryły;Igryła;
Patryk;Patryki;Patryk;
Dobrojewa;Dobrojewo;Dobrojewa;
Radys;Radysy;Radys;
Karolinowa;Karolinowo;Karolinowa;
Czajęcicic;Czajęcice;Czajęcicica;
Ceniaw;Ceniawy;Ceniawa;
Miedzichowa;Miedzichowo;Miedzichów;
Koperników;Koperniki;Kopernik;
Pustkowa;Pustkowo;Pustkowa;
Wadochowic;Wadochowice;Wadochowica;
Mielęcinka;Mielęcinek;Mielęcinka;
Bieniowa;Bieniów;Bieniowa;
Zgniłki;Zgniłka;Zgniłek;
Sernik;Serniki;Sernik;
Dziarnowa;Dziarnowo;Dziarnowa;
Dubowa;Dubów;Dubowa;
Płotowa;Płotowo;Płotowa;
Zajączkówka;Zajączkówko;Zajączkówka;
Jurkowa;Jurków;Jurkowa;
Gontarzy;Gontarze;Gontarz;
Mroczkowic;Mroczkowice;Mroczkowica;
Stefanówka;Stefanówek;Stefanówka;
Czerniawki;Czerniawka;Czerniawki;
Pęchcina;Pęchcin;Pęchcina;
Przezwisk;Przezwiska;Przezwisko;
Żłobina;Żłobin;Żłobina;
Jankówki;Jankówka;Jankówki;
Brójec;Brójce;Brójec;
Świerż;Świerże;Świerża;
Jankówka;Jankówko;Jankówka;
Sośni;Sośnie;Sośnia;
Głoskowa;Głosków;Głoskowa;
Żelisławiczek;Żelisławiczki;Żelisławiczek;
Kuźm;Kuźmy;Kuźma;
Myślina;Myślin;Myślina;
Okarpca;Okarpiec;Okarpec;
Ladzina;Ladzin;Ladzina;
Konradowa;Konradowo;Konradowa;
Sobicz;Sobicze;Sobicz;
Bug;Bugi;Buga;
Szmaty;Szmata;Szmat;
Darnowa;Darnowo;Darnowa;
Gaudynek;Gaudynki;Gaudynek;
Piastowa;Piastowo;Piastowa;
