Dopełniacz;Mianownik;Wynik Stemmera
Gorodczyna;Gorodczyno;Gorodczyna
Rumunek-Grądów;Rumunki-Grądy;Rumunek-Grąd
Rzędziwojowic;Rzędziwojowice;Rzędziwojowica
Pod Skałą;Pod Skałą;Poda Skała
Kolonii Krzeczkowa;Kolonia Krzeczkowo-Gromadzyn;Kolonii Krzeczkowa
Miłuk;Miłuki;Miłuk
Gackich;Gackie;Gacka
Chełch Iłowych;Chełchy Iłowe;Chee Iłowy
Kolonii Uhruska;Kolonia Uhrusk;Kolonia Uhruska
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny
Lejkówka;Lejkówko;Lejkówka
Gościradza;Gościradz;Gościradza
Gościradów;Gościrady;Gościrad
Krąpiewa;Krąpiewo;Krąpiewa
Warszewic-Polesia;Warszewice-Polesie;Warszewica-Poleś
Złotnik Małych;Złotniki Małe;Złotnik Mała
Pawliszcza;Pawliszcze;Pawliszcza
Latkowy;Latkowa;Latkowy
Do Szewca;Do Szewca;Da Szewce
Drobisów;Drobisy;Drobis
Borkowa-Kolonii;Borków-Kolonia;Borkowa-Kolonia
Nowego Łubna;Nowe Łubno;Nowy Łubna
Sowowy;Sowowa;Sowowy
Cichmiany Dolnej;Cichmiana Dolna;Cichmian Dolna
Osiedla Szujskiego;Osiedle Szujskiego;Osiedle Szujski
Witkowa;Witków;Witkowa
Magdalana;Magdalan;Magdalana
Mejznerzyna;Mejznerzyn;Mejznerzyna
Chroślic;Chroślice;Chroślica
Załęcza Małego;Załęcze Małe-Kolonia;Załęcza Mały
Rozbarka;Rozbark;Rozbarka
Skorodnicy;Skorodnica;Skorodnik
Podkamiennnego;Podkamienny;Podkamiennny
Mokradeł;Mokradła;Mokradło
Marksówka;Marksówek;Marksówka
Nosalewic;Nosalewice;Nosalewica
Rumunek Ostrowickich;Rumunki Ostrowickie;Rumunek Ostrowicki
Krobanówka;Krobanówek;Krobanówka
Woli Jaworowej;Wola Jaworowa;Wol Jaworowa
Niegolewa;Niegolewo;Niegolewa
Kumowa Majorackiego;Kumów Majoracki;Kumowa Majoracki
Brzezia Karkonoskiego;Brzezie Karkonoskie;Brzeź Karkonoski
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowa Stary
Bieszkowic;Bieszkowice;Bieszkowica
Podkamiennnego;Podkamienne;Podkamiennny
Osiedla Jana;Osiedle Jana;Osiedle Jan
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowa Białogardzki
Nowego Szepietowa Podleśnego;Nowe Szepietowo Podleśne;Nowy Szepietowa Podleśny
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka
Baduni;Badunia;Badun
Jankowiec;Jankowce;Jankowiec
Gądna;Gądno;Gądna
Rączków;Rączki;Rączek
Niesadny;Niesadna;Niesadny
Kapłanówki;Kapłanówka;Kapłanówki
Zarzewa;Zarzew;Zarzewo
Skalskiego;Skalskie;Skalski
Baduni;Badunie;Badun
Broszkowic;Broszkowice;Broszkowica
Ligoty Prószkowskiej;Ligota Prószkowska;Ligot Prószkowska
Śnieżek;Śnieżki;Śnieżek
Kolonii Bieniewa;Kolonia Bieniewo;Kolonia Bieniewa
Męckiej Woli;Męcka Wola-Gajówka;Męckiej Wol
Łazków;Łazki;Łazek
Huty Skorzęckiej;Huta Skorzęcka;Hut Skorzęcka
Raszynka;Raszynek;Raszynka
Przy Alei;Przy Alei;Prz Aleja
Kozieźla;Koziel;Kozieźle
Pod Sielcem;Pod Sielcem;Poda Sielec
Szczebrzeszyna-Stacji;Szczebrzeszyn-Stacja;Szczebrzeszyna-Stacja
Kaput;Kaputy;Kaput
Perelisk;Pereliska;Perelisko
Koniecek;Koniecki;Koniecka
Wietrznic;Wietrznice;Wietrznica
Zasp Miłkowskich;Zaspy Miłkowskie;Zaspa Miłkowski
Ulicy Kociej;Ulica Kocia;Ulica Koca
Kolonii Rostek;Kolonia Rostki;Kolonia Rostka
Nykazów;Nykazy;Nykaz
Kiełpinka;Kiełpinek;Kiełpinka
Kolonii Glinnnego;Kolonia Glinne;Kolonia Glinnny
Cacek;Cacki;Cacka
Ryszek;Ryszki;Ryszka
Śwignajna Małego;Śwignajno Małe;Śwignajna Mały
Kolonii Sieprawic;Kolonia Sieprawice;Kolonia Sieprawica
Woli Cewkowskiej;Wola Cewkowska;Wol Cewkowska
Urogi;Uroga;Uróg
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica
Kosewa Górnego;Kosewo Górne;Kosewa Górny
Lnisk;Lniska;Lnisko
Gawerkowa;Gawerków;Gawerkowa
Starych Łężców;Stare Łężce;Stara Łężec
Wilchw;Wilchwy;Wilchwa
Popowa;Popów;Popowa
Rosanowa;Rosanów;Rosanowa
Pietruchowego;Pietruchowe;Pietruchowy
Koszyc;Koszyce;Koszyca
Kolonii Gułek;Kolonia Gułki;Kolonia Gułka
Skubisów;Skubisy;Skubis
Mąkolic Drugich;Mąkolice Drugie;Mąkolica Drugie
Kolonii Treszczotek;Kolonia Treszczotki;Kolonia Treszczotka
Rybitew;Rybitwy;Rybitwa
Szarawary;Szarawara;Szarawary
Tłoczka;Tłoczek;Tłoczka
Bogaczy;Bogacze;Bogacz
Rozalina-Parcel;Rozalin-Parcele;Rozalina-Parcela
Homotów;Homoty;Homot
Stępocina;Stępocin;Stępocina
Dylewka;Dylewko;Dylewka
Więzików;Więziki;Więzik
Miszkienik Małych;Miszkieniki Małe;Miszkienik Mała
Starego Jaranówka;Stary Jaranówek;Stary Jaranówka
Zięciuków;Zięciuki;Zięciuk
Burdzy;Burdze;Burg
Suchej Kamienicy;Sucha Kamienica;Suchej Kamienica
Przybkowic;Przybkowice;Przybkowica
Dionizowa;Dionizów;Dionizowa
Małego Trąbinka;Mały Trąbinek;Mały Trąbinka
Kobylej Góry;Kobyla Góra;Kobylej Gór
Jarzyc;Jarzyce;Jarzyca
Kolonii Mokin;Kolonia Mokiny;Kolonia Mokin
Ostrzeniewa;Ostrzeniewo;Ostrzeniewa
Łososiowic;Łososiowice;Łososiowica
Świbna;Świbno;Świbna
Radkowa;Radków;Radkowa
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowa
Bud Budzkich;Budy Budzkie;Buda Budzki
Krampy;Krampa;Kramp
Leska;Lesk;Leska
Łobody;Łoboda;Łobody
Szczebli;Szczeble;Szczebel
Smaszewa;Smaszew;Smaszewo
Leszczyna Szlacheckiego;Leszczyn Szlachecki;Leszczyna Szlachecki
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony
Borka Pierwszego;Borek Pierwszy;Borka Pierwszy
Woli Przemykowskiej;Wola Przemykowska;Wol Przemykowska
Głuska Dużego;Głusko Duże-Kolonia;Głuska Duży
Kamiennnej Kniei;Kamienna Knieja;Kamiennna Knieja
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchów
Bąblinieńca;Bąbliniec;Bąblinieniec
Huty Jeżewskiej;Huta Jeżewska;Hut Jeżewska
Starych Rozogów;Stare Rozogi;Stara Rozog
Pyszącej;Pysząca;Pysząca się
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna
Nadbrzezia;Nadbrzezie;Nadbrzeź
Zagnańska;Zagnańsk;Zagnańska
Wytoka;Wytok;Wytoka
Kamiennnego;Kamienny;Kamiennny
Kolonii Siedliszcza;Kolonia Siedliszcze;Kolonia Siedliszcza
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza
Szwedów;Szwedzi;Szwed
Zagrodów;Zagrody;Zagród
Radomic;Radomice;Radomica
Gaszowa;Gaszów;Gaszowa
Piwnic Wielkich;Piwnice Wielkie;Piwnica Wielki
Zastawisk;Zastawiska;Zastawisko
Żabiec;Żabce;Żabiec
Andrzejewa-Zarzecza;Andrzejewo-Zarzecze;Andrzejewa-Zarzecze
Poważego;Poważe;Poważy
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały
Wincentowa Piekoszowskiego;Wincentów Piekoszowski;Wincentowa Piekoszowski
Gąsek;Gąski;Gąska
Osiedla 1000;Osiedle 1000-lecia;Osiedla 1000
Kubiców;Kubice;Kubic
Kozła;Kozieł;Kozioł
Zaklikowa;Zaklików;Zaklikowa
Większyc;Większyce;Większyca
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia
Wtórka;Wtórek;Wtórka
Chajdyc;Chajdyce;Chajdyca
Sędziszowic;Sędziszowice;Sędziszowica
Jaryszowa;Jaryszów;Jaryszowa
Małej Kloni;Mała Klonia;Mała Klon
Kretowin;Kretowiny;Kretowina
Kolonii Korhynia;Kolonia Korhynie;Kolonia Korhynia
Drugiej Strony Wsi;Druga Strona Wsi;Druga Stron Ws
Skaj;Skaje;Skaj
Zamczyska;Zamczysk;Zamczysko
Czachówek;Czachówki;Czachówka
Zadzimia;Zadzim;Zadzimia
Czachówka;Czachówko;Czachówka
Niekurzy;Niekurza;Niekurz
Daszewic;Daszewice;Daszewica
Piskajn;Piskajny;Piskajn
Dolnego Boru;Dolny Bór;Dolny Bor
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina
Chocianowa;Chocianów;Chocianowa
Kostur;Kostury;Kostura
Osipów;Osipy;Osip
Na Bułkowej;Na Bułkowej;Ne Bułkowa
Momot Górnych;Momoty Górne;Momot Górny
Kolonii Węgoryt;Kolonia Węgoryty;Kolonia Węgoryt
Jagodzinieńca;Jagodziniec;Jagodzinieniec
Celinki;Celinka;Celinek
Teresinka;Teresinek;Teresinka
Wirt;Wirty;Wirt
Celinek;Celinki;Celinka
Posucicic;Posucice;Posucicica
Warlit Małych;Warlity Małe;Warlit Mała
Koteż;Koteże;Koteż
Momajn;Momajny;Momajn
Piór Wielkich;Pióry Wielkie;Piór Wielki
Starych Boisk;Stare Boiska;Stara Boisko
Sarnówka;Sarnówek;Sarnówka
Steblewa;Steblewo;Steblewa
Kolonii Ostałówka;Kolonia Ostałówek;Kolonia Ostałówka
Monasterzyska Wielkiego;Monasterzysko Wielkie;Monasterzysko Wielki
Leobrada;Leobrad;Leobrada
Rówiec;Rówce;Rówiec
Gruszowa Wielkiego;Gruszów Wielki;Gruszowa Wielki
Jesionnnej;Jesionna;Jesionnna
Oblaszek;Oblaszki;Oblaszka
Gostyczyny;Gostyczyna;Gostyczyn
Zagrzędów;Zagrzędy;Zagrzęd
Ignachów;Ignachy;Ignach
Wilkas;Wilkasy;Wilkas
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowa-Biernat
Domaszewic Rządowych;Domaszewice Rządowe;Domaszewica Rządowa
Wybudowania Chojnickiego;Wybudowanie Chojnickie;Wybudowanie Chojnicki
Uliszek;Uliszki;Uliszka
Wilczan;Wilczany;Wilczan
Sieteszy Dolnej;Sietesz Dolna;Sietesza Dolna
Radzikówka;Radzikówek;Radzikówka
Półćwiartek;Półćwiartki;Półćwiartka
Nowego Gołębiewka;Nowe Gołębiewko;Nowy Gołębiewka
Ugodowa;Ugodów;Ugodowa
Pruchnika;Pruchnik;Pruchnika
Dziasków;Dziaski;Dziasek
Bryńska;Bryńsk;Bryńska
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny
Jankowa;Janków;Jankowa
Parceli Urzędniczych;Parcele Urzędnicze;Parcela Urzędniczy
Słupnicy;Słupnica;Słupnik
Marek;Marki;Marka
Daniłowa;Daniłowo;Daniłów
Lasowych;Lasowe;Lasowa
Dobrzynia;Dobrzyń;Dobrzynia
Bzin;Bziny;Bzina
Leśniewa-Niedźwiedzia;Leśniewo-Niedźwiedź;Leśniewa-Niedźwiedź
Dobrzykowa;Dobrzykowo;Dobrzykowa
Gęsiej Woli;Gęsia Wola;Gęsiej Wol
Antosina;Antosin;Antosina
Gosiowa;Gosiów;Gosiowa
Gałkówka-Kolonii;Gałkówek-Kolonia;Gałkówka-Kolonia
Kolonii Małcza;Kolonia Małecz;Kolonia Małcz
Olechów;Olechy;Olech
Białokoszka;Białokoszek;Białokoszka
Płonego;Płone;Płony
Wiewiórowa;Wiewiórów;Wiewiórowa
Słończa Środkowego;Słończ Środkowy;Słończa Środkowy
Kucębowa Górnego;Kucębów Górny;Kucębowa Górny
Niedarzyna;Niedarzyn;Niedarzyna
Dąbrówka;Dąbrówek;Dąbrówka
Dorowa;Dorowo;Dorowa
Morawiaków;Morawiaki;Morawiak
Skierbieszowa-Kolonii;Skierbieszów-Kolonia;Skierbieszowa-Kolonia
Ożar Wielkich;Ożary Wielkie;Ożar Wielki
Chodlewa;Chodlewo;Chodlewa
Stasiani;Stasianie;Stasian
Długopola-Zdroju;Długopole-Zdrój;Długopola-Zdrój
Wręczycy Wielkiej;Wręczyca Wielka;Wręczyk Wielka
Galumina;Galumin;Galumina
Kozicowa;Koziców;Kozicowa
Leśniowa Małego;Leśniów Mały;Leśniowa Mały
Rejowa;Rejów;Rejowa
Kopanina;Kopanino;Kopanina
Bębnowa;Bębnów;Bębnowa
Żmijewka Włościańskiego;Żmijewek Włościański;Żmijewka Włościański
Pieczysk Dolnych;Pieczyska Dolne;Pieczysko Dolny
Rulewka;Rulewek;Rulewka
Smolewa-Wsi;Smolewo-Wieś;Smolewa-Ws
Kopaninin;Kopaniny;Kopaninina
Duczowa Wielkiego;Duczów Wielki;Duczowa Wielki
Bożkówka;Bożkówek;Bożkówka
Gardna;Gardno;Gardna
Tymina;Tymin;Tymina
Sztutowskiej Kępy;Sztutowska Kępa;Sztutowska Kęp
Przecławia Górnego;Przecław Górny;Przecławie Górny
Kolonii Wystoka;Kolonia Wystok;Kolonia Wystoka
Dolnych Kobylnik;Dolne Kobylniki;Dolny Kobylnik
Robaw;Robawy;Robawa
Golcy Pierwszych;Golce Pierwsze;Golec Pierwsza
Osin Górnych;Osiny Górne;Osina Górny
Moszyn;Moszyny;Moszyna
Borów Olszańskich;Bory Olszańskie;Bor Olszański
Podgroblan;Podgroblany;Podgroblan
Pod Grodziskiem;Pod Grodziskiem;Poda Grodzisko
Cieśninin;Cieśniny;Cieśninina
Kolemczyczyc;Kolemczyce;Kolemczyczyca
Drawska Pomorskiego;Drawsko Pomorskie;Drawsko Pomorski
Nowin za Koleją;Nowiny za Koleją;Nowina ze Kolej
Capków;Capki;Capek
Stepków;Stepki;Stepek
Nakwasina-Parceli;Nakwasin-Parcela;Nakwasina-Parcela
Podchojników;Podchojniki;Podchojnik
Przytoki;Przytoka;Przytok
Bron;Brony;Bron
Przytok;Przytoki;Przytok
Jarosławia;Jarosław;Jarosławie
Nowego Łosinieńca;Nowy Łosiniec;Nowy Łosinieniec
Sarny;Sarna;Sarn
Brzeźna-Kolonii;Brzeźno-Kolonia;Brzeźna-Kolonia
Osiedla Strzelczyka;Osiedle Strzelczyka;Osiedle Strzelczyk
Woli Kleszczowej;Wola Kleszczowa;Wol Kleszczowa
Rudziska;Rudzisko;Rudziska
Busina;Busin;Busina
Kolczyna;Kolczyn;Kolczyna
Laury;Laura;Laury
Piaszczyny-Wubudowań;Piaszczyna-Wybudowania;Piaszczyna-Wubudowanie
Brzustówka-Kolonii;Brzustówek-Kolonia;Brzustówka-Kolonia
Raby Niżnej;Raba Niżna;Rab Niżna
Kadłubi;Kadłubia;Kadłuby
Reszkowiec;Reszkowce;Reszkowiec
Godaszewic;Godaszewice;Godaszewica
Duńkowic;Duńkowice;Duńkowica
Osiedla Grunwaldzkiego;Osiedle Grunwaldzkie;Osiedle Grunwaldzki
Bolestraszyc;Bolestraszyce;Bolestraszyca
Nowych Folwarków;Nowe Folwarki;Nowy Folwark
Staniewa;Staniewo;Staniewa
Mieroszowa;Mieroszów;Mieroszowa
Gunic;Gunice;Gunica
Kozikowa;Kozikowo;Kozikowa
Pokusy;Pokusa;Pokus
Chrośna;Chrośno;Chrośna
Nagórzyc;Nagórzyce;Nagórzyca
Grochówka;Grochówek;Grochówka
Kolonii Tomczyczyc;Kolonia Tomczyce;Kolonia Tomczyczyca
Sokuli;Sokule;Sokula
Kuścińcniec;Kuścińce;Kuścińcniec
Ciekot-Górki;Ciekoty-Górka;Ciekota-Górka
Chrośny;Chrośna;Chrośn
Boconka;Boconek;Boconka
Zawądródzia;Zawądródź;Zawądródzia
Kaleni Dużej;Kaleń Duża;Kalenie Duża
Bolegorzyna;Bolegorzyn;Bolegorzyna
Karlikowa;Karlikowo;Karlikowa
Pod Polskie Łąki;Pod Polskie Łąki;Poda Polski Łąk
Rębiechowa;Rębiechowo;Rębiechów
Za Górę;Za Górę;Ze Góra
Łowoszowa;Łowoszów;Łowoszowa
Podbiesieśca;Podbiesiec;Podbiesiesiec
Bakuły;Bakuła;Bakuły
Pod Cmentarzem;Pod Cmentarzem;Poda Cmentarz
Woli Gołkowskiej;Wola Gołkowska;Wol Gołkowska
Paczynki;Paczynka;Paczynek
Unieradza;Unieradz;Unieradza
Niżnich Gór;Niżnie Góry;Niżni Gór
Nikodemowa;Nikodemów;Nikodemowa
Starego Imielina;Stary Imielin;Stary Imielina
Mirocina;Mirocin;Mirocina
Szlam;Szlamy;Szlam
Kramarzyn-Wybudowania;Kramarzyny-Wybudowanie;Kramarzyna-Wybudowanie
Sarnich Łęgów;Sarnie Łęgi;Sarni Łęg
Kolonii Agnieszki;Kolonia Agnieszki;Kolonia Agnieszka
Kolonii Bzineka;Kolonia Bzinek;Kolonia Bzineka
Osiedla Świętopawelskiego;Osiedle Świętopawelskie;Osiedle Świętopawelski
Krzcięcina;Krzcięcin;Krzcięcina
Pyrzyc;Pyrzyce;Pyrzyca
Żbików-Antosów;Żbiki-Antosy;Żbik-Antos
Swór;Swory;Swór
Charbic Górnych;Charbice Górne;Charbica Górny
Kluska;Klusek;Kluska
Celin Przesławickich;Celiny Przesławickie;Celina Przesławicki
Piotrowic;Piotrowice;Piotrowica
Mylnych Młak;Mylne Młaki;Mylny Młak
Zabrogów;Zabrogi;Zabróg
Kolonii Woźnawsi;Kolonie Woźnawieś;Kolonia Woźnawieś
U Szczepana;U Szczepana;U Szczepan
Rzepowskiego;Rzepowskie;Rzepowski
Czach;Czachy;Cz
Stobiecka Szlacheckiego;Stobiecko Szlacheckie-Kolonia;Stobiecka Szlachecki
Sośna Królewskiego;Sośno Królewskie;Sośna Królewski
Pokusów;Pokusy;Pokus
Świniar Zielenieckich;Świniary Zielenieckie;Świniara Zieleniecki
Pakoszowa;Pakoszów;Pakoszowa
Żelichowo-Wybudowa Wybudowania;Żelichowo-Wybudowanie Wschodnie;Żelichowa-Wybudowa Wybudowanie
Rzepina-Kolonii;Rzepin-Kolonia;Rzepina-Kolonia
Podmęczek;Podmęczki;Podmęczek
Osiedla Spółdzielczego;Osiedle Spółdzielcze;Osiedle Spółdzielczy
Pętaków;Pętaki;Pętak
Brzezinek Nowych;Brzezinki Nowe;Brzezinka Nowy
Wymysłowa Dolnego;Wymysłowo Dolne;Wymysłowo Dolny
Stołczyna;Stołczyn;Stołczyna
