Dopełniacz;Mianownik;Wynik Stemmera
Ignatek-Kolonii;Ignatki-Kolonia;Ignatka-Kolonia
Podleszna;Podleszno;Podleszny
Wolicy Drugiej;Wolica Druga;Wolik Drugi
Jeleniego Boru;Jeleni Bór;Jeleni Bor
Patrysiaków;Patrysiaki;Patrysiak
Kolonii Okalewskiej;Kolonia Okalewska;Kolonia Okalewski
Białej Rawskiej;Biała Rawska;Biały Rawski
Gajówki Jasienieńca;Gajówka Jasieniec;Gajówka Jasienieniec
Kęcików;Kęciki;Kęcik
Stryczkowa;Stryczków;Stryczkowy
Kałuszyna;Kałuszyn;Kałuszyna
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowy
Lipuskiej Huty;Lipuska Huta-Dworzec;Lipuskiej Huty
Gorodczyna;Gorodczyno;Gorodczyna
Sieradzkiej;Sieradzka;Sieradzki
Rumunek-Grądów;Rumunki-Grądy;Rumunek-Grąd
Rzędziwojowic;Rzędziwojowice;Rzędziwojowica
Pod Skałą;Pod Skałą;Poda Skała
Kolonii Krzeczkowa;Kolonia Krzeczkowo-Gromadzyn;Kolonii Krzeczkowy
Miłuk;Miłuki;Miłuk
Gackich;Gackie;Gacki
Chełch Iłowych;Chełchy Iłowe;Cheł Iłowy
Kolonii Uhruska;Kolonia Uhrusk;Kolonia Uhruska
Koziołkowej;Koziołkowa;Koziołkowy
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny
Lejkówka;Lejkówko;Lejkówka
Gościradza;Gościradz;Gościradza
Gościradów;Gościrady;Gościrad
Krąpiewa;Krąpiewo;Krąpiewa
Warszewic-Polesia;Warszewice-Polesie;Warszewica-Poleś
Złotnik Małych;Złotniki Małe;Złotnik Mały
Pawliszcza;Pawliszcze;Pawliszcza
Latkowy;Latkowa;Latkowy
Do Szewca;Do Szewca;Dy Szewce
Drobisów;Drobisy;Drobis
Borkowa-Kolonii;Borków-Kolonia;Borkowy-Kolonia
Nowego Łubna;Nowe Łubno;Nowy Łubny
Sowowy;Sowowa;Sowowy
Cichmiany Dolnej;Cichmiana Dolna;Cichmiany Dolny
Osiedla Szujskiego;Osiedle Szujskiego;Osiedle Szujski
Witkowa;Witków;Witkowy
Magdalana;Magdalan;Magdalany
Mejznerzyna;Mejznerzyn;Mejznerzyna
Chroślic;Chroślice;Chroślica
Załęcza Małego;Załęcze Małe-Kolonia;Załęcza Mały
Rozbarka;Rozbark;Rozbarka
Skorodnicy;Skorodnica;Skorodnik
Podkamiennnego;Podkamienny;Podkamiennny
Mokradeł;Mokradła;Mokradło
Marksówka;Marksówek;Marksówka
Nosalewic;Nosalewice;Nosalewica
Rumunek Ostrowickich;Rumunki Ostrowickie;Rumunek Ostrowicki
Krobanówka;Krobanówek;Krobanówka
Woli Jaworowej;Wola Jaworowa;Wol Jaworowy
Niegolewa;Niegolewo;Niegolewa
Kumowa Majorackiego;Kumów Majoracki;Kumowy Majoracki
Brzezia Karkonoskiego;Brzezie Karkonoskie;Brzeź Karkonoski
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowy Stary
Bieszkowic;Bieszkowice;Bieszkowica
Kluczewska;Kluczewsko;Kluczewski
Podkamiennnego;Podkamienne;Podkamiennny
Osiedla Jana;Osiedle Jana;Osiedle Jany
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowy Białogardzki
Nowego Szepietowa Podleśnego;Nowe Szepietowo Podleśne;Nowy Szepietowy Podleśny
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka
Baduni;Badunia;Badun
Jankowiec;Jankowce;Jankowiec
Gądna;Gądno;Gądny
Rączków;Rączki;Rączek
Niesadny;Niesadna;Niesadny
Kapłanówki;Kapłanówka;Kapłanówki
Zarzewa;Zarzew;Zarzewo
Skalskiego;Skalskie;Skalski
Baduni;Badunie;Badun
Arciechowa;Arciechów;Arciechowy
Broszkowic;Broszkowice;Broszkowica
Ligoty Prószkowskiej;Ligota Prószkowska;Ligot Prószkowski
Śnieżek;Śnieżki;Śnieżek
Kolonii Bieniewa;Kolonia Bieniewo;Kolonia Bieniewa
Męckiej Woli;Męcka Wola-Gajówka;Męckiej Wol
Talarowej;Talarowa;Talarowy
Łazków;Łazki;Łazek
Huty Skorzęckiej;Huta Skorzęcka;Huty Skorzęcki
Raszynka;Raszynek;Raszynka
Przy Alei;Przy Alei;Prz Aleja
Kozieźla;Koziel;Kozieźle
Pod Sielcem;Pod Sielcem;Poda Sielec
Świerzowej Polskiej;Świerzowa Polska;Świerzowy Polski
Szczebrzeszyna-Stacji;Szczebrzeszyn-Stacja;Szczebrzeszyna-Stacja
Kaput;Kaputy;Kaput
Perelisk;Pereliska;Perelisko
Koniecek;Koniecki;Koniecka
Wietrznic;Wietrznice;Wietrznica
Zasp Miłkowskich;Zaspy Miłkowskie;Zaspa Miłkowski
Ulicy Kociej;Ulica Kocia;Ulica Koci
Borui Nowej;Boruja Nowa;Boruja Nowy
Kolonii Rostek;Kolonia Rostki;Kolonia Rostka
Nykazów;Nykazy;Nykaz
Kiełpinka;Kiełpinek;Kiełpinka
Kolonii Glinnnego;Kolonia Glinne;Kolonia Glinnny
Cacek;Cacki;Cacka
Ryszek;Ryszki;Ryszka
Śwignajna Małego;Śwignajno Małe;Śwignajny Mały
Kolonii Sieprawic;Kolonia Sieprawice;Kolonia Sieprawica
Woli Cewkowskiej;Wola Cewkowska;Wol Cewkowski
Urogi;Uroga;Urogi
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica
Kosewa Górnego;Kosewo Górne;Kosewa Górny
Lnisk;Lniska;Lnisko
Gawerkowa;Gawerków;Gawerkowy
Starych Łężców;Stare Łężce;Stary Łężec
Wilchw;Wilchwy;Wilchwa
Popowa;Popów;Popowy
Rosanowa;Rosanów;Rosanowy
Pietruchowego;Pietruchowe;Pietruchowy
Koszyc;Koszyce;Koszyca
Kolonii Gułek;Kolonia Gułki;Kolonia Gułka
Skubisów;Skubisy;Skubis
Mąkolic Drugich;Mąkolice Drugie;Mąkolica Drugi
Kolonii Treszczotek;Kolonia Treszczotki;Kolonia Treszczotka
Rybitew;Rybitwy;Rybitwa
Szarawary;Szarawara;Szarawary
Tłoczka;Tłoczek;Tłoczka
Bogaczy;Bogacze;Bogacz
Rozalina-Parcel;Rozalin-Parcele;Rozalina-Parcela
Homotów;Homoty;Homot
Stępocina;Stępocin;Stępocina
Dylewka;Dylewko;Dylewka
Więzików;Więziki;Więzik
Miszkienik Małych;Miszkieniki Małe;Miszkienik Mały
Starego Jaranówka;Stary Jaranówek;Stary Jaranówka
Zięciuków;Zięciuki;Zięciuk
Burdzy;Burdze;Burg
Suchej Kamienicy;Sucha Kamienica;Suchy Kamienica
Przybkowic;Przybkowice;Przybkowica
Dionizowa;Dionizów;Dionizowy
Małego Trąbinka;Mały Trąbinek;Mały Trąbinka
Kobylej Góry;Kobyla Góra;Kobyli Góry
Jarzyc;Jarzyce;Jarzyca
Kolonii Mokin;Kolonia Mokiny;Kolonia Mokin
Kolonii Ostrowickiej;Kolonia Ostrowicka;Kolonia Ostrowicki
Ostrzeniewa;Ostrzeniewo;Ostrzeniewa
Łososiowic;Łososiowice;Łososiowica
Świbna;Świbno;Świbny
Radkowa;Radków;Radkowy
Wólki Somiankowskiej;Wólka Somiankowska;Wólka Somiankowski
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowy
Czerlonki Leśnej;Czerlonka Leśna;Czerlonka Leśny
Wólki Miedzyńskiej;Wólka Miedzyńska;Wólka Miedzyński
Bud Budzkich;Budy Budzkie;Buda Budzki
Krampy;Krampa;Kramp
Leska;Lesk;Leska
Łobody;Łoboda;Łobody
Szczebli;Szczeble;Szczebel
Kuklowej;Kuklowa;Kuklowy
Smaszewa;Smaszew;Smaszewo
Kolonii Luszawy;Kolonia Luszawa;Kolonia Luszawy
Leszczyna Szlacheckiego;Leszczyn Szlachecki;Leszczyna Szlachecki
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony
Borka Pierwszego;Borek Pierwszy;Borka Pierwszy
Woli Przemykowskiej;Wola Przemykowska;Wol Przemykowski
Głuska Dużego;Głusko Duże-Kolonia;Głuska Duży
Kamiennnej Kniei;Kamienna Knieja;Kamiennny Knieja
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchowy
Bąblinieńca;Bąbliniec;Bąblinieniec
Huty Jeżewskiej;Huta Jeżewska;Huty Jeżewski
Starych Rozogów;Stare Rozogi;Stary Rozog
Pyszącej;Pysząca;Pyszący
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna
Nadbrzezia;Nadbrzezie;Nadbrzeź
Zagnańska;Zagnańsk;Zagnański
Wytoka;Wytok;Wytoka
Kamiennnego;Kamienny;Kamiennny
Kolonii Siedliszcza;Kolonia Siedliszcze;Kolonia Siedliszcza
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza
Szwedów;Szwedzi;Szwed
Zagrodów;Zagrody;Zagród
Radomic;Radomice;Radomica
Gaszowa;Gaszów;Gaszowy
Zabiałej;Zabiała;Zabiały
Piwnic Wielkich;Piwnice Wielkie;Piwnica Wielki
Zastawisk;Zastawiska;Zastawisko
Żabiec;Żabce;Żabiec
Kamiennej;Kamienna;Kamienny
Andrzejewa-Zarzecza;Andrzejewo-Zarzecze;Andrzejewa-Zarzecze
Poważego;Poważe;Poważy
Gąski;Gąska;Gąski
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały
Wincentowa Piekoszowskiego;Wincentów Piekoszowski;Wincentowy Piekoszowski
Gąsek;Gąski;Gąska
Osiedla 1000;Osiedle 1000-lecia;Osiedla 1000
Dolnej Kolonii;Dolna Kolonia;Dolny Kolonia
Kubiców;Kubice;Kubic
Kozła;Kozieł;Kozioł
Zaklikowa;Zaklików;Zaklikowy
Większyc;Większyce;Większyca
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia
Wtórka;Wtórek;Wtórka
Chajdyc;Chajdyce;Chajdyca
Sędziszowic;Sędziszowice;Sędziszowica
Jaryszowa;Jaryszów;Jaryszowy
Podlipowej;Podlipowa;Podlipowy
Małej Kloni;Mała Klonia;Mały Klon
Kretowin;Kretowiny;Kretowina
Kolonii Korhynia;Kolonia Korhynie;Kolonia Korhynia
Drugiej Strony Wsi;Druga Strona Wsi;Drugi Stron Wszy
Skaj;Skaje;Skaj
Leszczki Małej;Leszczka Mała;Leszczka Mały
Zamczyska;Zamczysk;Zamczysko
Czachówek;Czachówki;Czachówka
Zadzimia;Zadzim;Zadzimia
Czachówka;Czachówko;Czachówka
Niekurzy;Niekurza;Niekurz
Daszewic;Daszewice;Daszewica
Piskajn;Piskajny;Piskajn
Dolnego Boru;Dolny Bór;Dolny Bor
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina
Chocianowa;Chocianów;Chocianowy
Pasiecznej;Pasieczna;Pasieczny
Kostur;Kostury;Kostura
Małej Grobli;Mała Grobla;Mały Grobla
Osipów;Osipy;Osip
Na Bułkowej;Na Bułkowej;Ny Bułkowy
Momot Górnych;Momoty Górne;Momot Górny
Giedni-Kolonii;Giednia-Kolonia;Giedni-Kolonia
Kolonii Węgoryt;Kolonia Węgoryty;Kolonia Węgoryt
Jagodzinieńca;Jagodziniec;Jagodzinieniec
Celinki;Celinka;Celinek
Teresinka;Teresinek;Teresinka
Wirt;Wirty;Wirt
Celinek;Celinki;Celinka
Posucicic;Posucice;Posucicica
Warlit Małych;Warlity Małe;Warlit Mały
Malikowej;Malikowa;Malikowy
Koteż;Koteże;Koteż
Momajn;Momajny;Momajn
Piór Wielkich;Pióry Wielkie;Piór Wielki
Starych Boisk;Stare Boiska;Stary Boisko
Grodni;Grodnia;Grodny
Sarnówka;Sarnówek;Sarnówka
Steblewa;Steblewo;Steblew
Brzanowej;Brzanowa;Brzanowy
Kolonii Ostałówka;Kolonia Ostałówek;Kolonia Ostałówka
Monasterzyska Wielkiego;Monasterzysko Wielkie;Monasterzysko Wielki
Leobrada;Leobrad;Leobrada
Rówiec;Rówce;Rówiec
Gruszowa Wielkiego;Gruszów Wielki;Gruszowy Wielki
Jesionnnej;Jesionna;Jesionnny
Oblaszek;Oblaszki;Oblaszka
Gostyczyny;Gostyczyna;Gostyczyn
Zagrzędów;Zagrzędy;Zagrzęd
Ignachów;Ignachy;Ignach
Wilkas;Wilkasy;Wilkas
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowy-Biernat
Domaszewic Rządowych;Domaszewice Rządowe;Domaszewica Rządowy
Wybudowania Chojnickiego;Wybudowanie Chojnickie;Wybudowanie Chojnicki
Uliszek;Uliszki;Uliszka
Wilczan;Wilczany;Wilczan
Sieteszy Dolnej;Sietesz Dolna;Sietesza Dolny
Radzikówka;Radzikówek;Radzikówka
Półćwiartek;Półćwiartki;Półćwiartka
Kopydłowa;Kopydłów;Kopydłowy
Nowego Gołębiewka;Nowe Gołębiewko;Nowy Gołębiewka
Ugodowa;Ugodów;Ugodowy
Pruchnika;Pruchnik;Pruchnika
Dziasków;Dziaski;Dziasek
Bryńska;Bryńsk;Bryński
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny
Jankowa;Janków;Jankowy
Małachowa Fabrycznego;Małachów Fabryczny;Małachowy Fabryczny
Parceli Urzędniczych;Parcele Urzędnicze;Parcela Urzędniczy
Słupnicy;Słupnica;Słupnik
Marek;Marki;Marka
Daniłowa;Daniłowo;Daniłowy
Lasowych;Lasowe;Lasowy
Dobrzynia;Dobrzyń;Dobrzynia
Lasowej;Lasowa;Lasowy
Bzin;Bziny;Bzina
Śremska;Śremsko;Śremski
Leśniewa-Niedźwiedzia;Leśniewo-Niedźwiedź;Leśniewa-Niedźwiedzi
Dobrzykowa;Dobrzykowo;Dobrzykowy
Gęsiej Woli;Gęsia Wola;Gęsi Wol
Antosina;Antosin;Antosina
Gosiowa;Gosiów;Gosiowy
Gałkówka-Kolonii;Gałkówek-Kolonia;Gałkówka-Kolonia
Kolonii Małcza;Kolonia Małecz;Kolonia Małczy
Olechów;Olechy;Olech
Białokoszka;Białokoszek;Białokoszka
Płonego;Płone;Płony
Wiewiórowa;Wiewiórów;Wiewiórowy
Słończa Środkowego;Słończ Środkowy;Słończy Środkowy
Kucębowa Górnego;Kucębów Górny;Kucębowy Górny
Niedarzyna;Niedarzyn;Niedarzyna
Dąbrówka;Dąbrówek;Dąbrówka
Dorowa;Dorowo;Dorowy
Morawiaków;Morawiaki;Morawiak
Skierbieszowa-Kolonii;Skierbieszów-Kolonia;Skierbieszowy-Kolonia
Ożar Wielkich;Ożary Wielkie;Ożar Wielki
Chodlewa;Chodlewo;Chodlew
Stasiani;Stasianie;Stasiany
Długopola-Zdroju;Długopole-Zdrój;Długopola-Zdrój
Wręczycy Wielkiej;Wręczyca Wielka;Wręczyk Wielki
Galumina;Galumin;Galumina
Kozicowa;Koziców;Kozicowy
Leśniowa Małego;Leśniów Mały;Leśniowy Mały
Rejowa;Rejów;Rejowy
Kopanina;Kopanino;Kopanina
Bębnowa;Bębnów;Bębnowy
Żmijewka Włościańskiego;Żmijewek Włościański;Żmijewka Włościański
Pieczysk Dolnych;Pieczyska Dolne;Pieczysko Dolny
Rulewka;Rulewek;Rulewka
Smolewa-Wsi;Smolewo-Wieś;Smolewa-Wszy
Kopaninin;Kopaniny;Kopaninina
Duczowa Wielkiego;Duczów Wielki;Duczowy Wielki
Bożkówka;Bożkówek;Bożkówka
Gardna;Gardno;Gardny
Tymina;Tymin;Tymina
Sztutowskiej Kępy;Sztutowska Kępa;Sztutowski Kęp
Przecławia Górnego;Przecław Górny;Przecławie Górny
Gardnej;Gardna;Gardny
Kolonii Wystoka;Kolonia Wystok;Kolonia Wystoka
Dolnych Kobylnik;Dolne Kobylniki;Dolny Kobylnik
Robaw;Robawy;Robawa
Golcy Pierwszych;Golce Pierwsze;Golec Pierwszy
Osin Górnych;Osiny Górne;Osina Górny
Kolonii Wiktorowskiej;Kolonia Wiktorowska;Kolonia Wiktorowski
Moszyn;Moszyny;Moszyna
Borów Olszańskich;Bory Olszańskie;Bor Olszański
Podgroblan;Podgroblany;Podgroblan
Sosnówki Górnej;Sosnówka Górna;Sosnówka Górny
Pod Grodziskiem;Pod Grodziskiem;Poda Grodzisko
Osiedla Warszawskiej;Osiedle Warszawska;Osiedle Warszawski
Cieśninin;Cieśniny;Cieśninina
Kolemczyczyc;Kolemczyce;Kolemczyczyca
Drawska Pomorskiego;Drawsko Pomorskie;Drawski Pomorski
Nowin za Koleją;Nowiny za Koleją;Nowina zy Kolej
Capków;Capki;Capek
Stepków;Stepki;Stepek
Wielkiej Nieszawki;Wielka Nieszawka;Wielki Nieszawka
Nakwasina-Parceli;Nakwasin-Parcela;Nakwasina-Parcela
Podchojników;Podchojniki;Podchojnik
Wólki Paruszewskiej;Wólka Paruszewska;Wólka Paruszewski
Przytoki;Przytoka;Przytok
Bron;Brony;Bron
Przytok;Przytoki;Przytok
Jarosławia;Jarosław;Jarosławie
Nowego Łosinieńca;Nowy Łosiniec;Nowy Łosinieniec
Sarny;Sarna;Sarny
Brzeźna-Kolonii;Brzeźno-Kolonia;Brzeźny-Kolonia
Osiedla Strzelczyka;Osiedle Strzelczyka;Osiedle Strzelczyk
Lemana;Leman;Lemany
Woli Kleszczowej;Wola Kleszczowa;Wol Kleszczowy
Rudziska;Rudzisko;Rudziska
Bukowiny Bobrzańskiej Górnej;Bukowina Bobrzańska Górna;Bukowina Bobrzański Górny
Laury;Laura;Laury
Piaszczyny-Wubudowań;Piaszczyna-Wybudowania;Piaszczyna-Wubudowanie
Brzustówka-Kolonii;Brzustówek-Kolonia;Brzustówka-Kolonia
Raby Niżnej;Raba Niżna;Rab Niżny
Kadłubi;Kadłubia;Kadłuby
Reszkowiec;Reszkowce;Reszkowiec
Godaszewic;Godaszewice;Godaszewica
Rudy Solskiej;Ruda Solska;Ruda Solski
Duńkowic;Duńkowice;Duńkowica
Osiedla Grunwaldzkiego;Osiedle Grunwaldzkie;Osiedle Grunwaldzki
Bolestraszyc;Bolestraszyce;Bolestraszyca
Ropienki Górnej;Ropienka Górna;Ropienka Górny
Nowych Folwarków;Nowe Folwarki;Nowy Folwark
Staniewa;Staniewo;Staniewa
Mieroszowa;Mieroszów;Mieroszowy
Gunic;Gunice;Gunica
Kozikowa;Kozikowo;Kozikowy
Pokusy;Pokusa;Pokus
Chrośna;Chrośno;Chrośny
Nagórzyc;Nagórzyce;Nagórzyca
Grochówka;Grochówek;Grochówka
Kolonii Tomczyczyc;Kolonia Tomczyce;Kolonia Tomczyczyca
Sokuli;Sokule;Sokula
Kuścińcniec;Kuścińce;Kuścińcniec
Ciekot-Górki;Ciekoty-Górka;Ciekota-Górka
Branicy Kalinowskiej;Branica Kalinowska;Branica Kalinowski
Chrośny;Chrośna;Chrośny
