Dopełniacz;Mianownik;Wynik Stemmera
Huty Głodowskiej;Huta Głodowska;Hut Głodowska
Klotyldzina;Klotyldzin;Klotyldzina
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka
Koniewa-Osady;Koniewo-Osada;Koniewa-Osada
Jagielna;Jagielno;Jagielna
Chlewisk;Chlewiska;Chlewisko
Kikit;Kikity;Kikit
Woli Flaszczyny;Wola Flaszczyna;Wol Flaszczyna
Ławic;Ławice;Ławica
Koskowa;Koskowo;Koskowa
Czeczotek;Czeczotki;Czeczotka
Zaprężyna;Zaprężyn;Zaprężyna
Przytkowic;Przytkowice;Przytkowica
Cedyni;Cedynia;Cedyn
Jankielówki;Jankielówka;Jankielówki
Kleczewa;Kleczew;Kleczewo
Wardzyna;Wardzyn;Wardzyna
Wolicy Drugiej;Wolica Druga;Wolik Druga
Kolonii Strzegocina;Kolonia Strzegocin;Kolonia Strzegocina
Kałuszyna;Kałuszyn;Kałuszyna
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowa
Gorodczyna;Gorodczyno;Gorodczyna
Żebrów-Perosów;Żebry-Perosy;Żeber-Peros
Miłuk;Miłuki;Miłuk
Gackich;Gackie;Gacka
Chełch Iłowych;Chełchy Iłowe;Chee Iłowy
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny
Lejkówka;Lejkówko;Lejkówka
Winowa;Winów;Winowa
Krąpiewa;Krąpiewo;Krąpiewa
Złotnik Małych;Złotniki Małe;Złotnik Mała
Witkowa;Witków;Witkowa
Mejznerzyna;Mejznerzyn;Mejznerzyna
Chroślic;Chroślice;Chroślica
Piłak Wielkich;Piłaki Wielkie;Piłak Wielki
Tenczyna;Tenczyn;Tenczyna
Nosalewic;Nosalewice;Nosalewica
Niegolewa;Niegolewo;Niegolewa
Kumowa Majorackiego;Kumów Majoracki;Kumowa Majoracki
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowa Stary
Bieszkowic;Bieszkowice;Bieszkowica
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowa Białogardzki
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka
Jankowiec;Jankowce;Jankowiec
Rączek;Rączki;Rączka
Niesadny;Niesadna;Niesadny
Broszkowic;Broszkowice;Broszkowica
Tarkowa Dolnego;Tarkowo Dolne;Tarkowa Dolny
Śnieżek;Śnieżki;Śnieżek
Kozieźla;Koziel;Kozieźle
Kierzkowa;Kierzkowo;Kierzkowa
Kaput;Kaputy;Kaput
Koniecek;Koniecki;Koniecka
Paprotek;Paprotki;Paprotka
Wroniaw;Wroniawy;Wroniawa
Ryszek;Ryszki;Ryszka
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica
Lnisk;Lniska;Lnisko
Gawerkowa;Gawerków;Gawerkowa
Popowa;Popów;Popowa
Koszyc;Koszyce;Koszyca
Miłowic;Miłowice;Miłowica
Wiadrowa;Wiadrowo;Wiadrowa
Rybitew;Rybitwy;Rybitwa
Wolini;Wolinia;Wolin
Homotów;Homoty;Homot
Stępocina;Stępocin;Stępocina
Suchej Kamienicy;Sucha Kamienica;Suchej Kamienica
Dionizowa;Dionizów;Dionizowa
Kobylej Góry;Kobyla Góra;Kobylej Gór
Łososiowic;Łososiowice;Łososiowica
Radkowa;Radków;Radkowa
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowa
Średzińskich;Średzińskie;Średziński
Smaszewa;Smaszew;Smaszewo
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony
Zaręb-Skórek;Zaręby-Skórki;Zaręba-Skórek
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchów
Bąblinieńca;Bąbliniec;Bąblinieniec
Huty Jeżewskiej;Huta Jeżewska;Hut Jeżewska
Pyszącej;Pysząca;Pysząca się
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna
Zagnańska;Zagnańsk;Zagnańska
Wytoka;Wytok;Wytoka
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza
Zagród;Zagrody;Zagroda
Radomic;Radomice;Radomica
Gaszowa;Gaszów;Gaszowa
Kamiennnego;Kamienne;Kamiennny
Kamiennnej;Kamienna;Kamiennna
Samolubia;Samolubie;Samolubia
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały
Gąsek;Gąski;Gąska
Kubic;Kubice;Kubica
Kozła;Kozieł;Kozioł
Zaklikowa;Zaklików;Zaklikowa
Większyc;Większyce;Większyca
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia
Wtórka;Wtórek;Wtórka
Jaryszowa;Jaryszów;Jaryszowa
Małej Kloni;Mała Klonia;Mała Klon
Kretowin;Kretowiny;Kretowina
Skaj;Skaje;Skaj
Czachówek;Czachówki;Czachówka
Niekurzy;Niekurza;Niekurz
Daszewic;Daszewice;Daszewica
Piskajn;Piskajny;Piskajn
Stromieckiej Woli;Stromiecka Wola;Stromiecka Wol
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina
Chocianowa;Chocianów;Chocianowa
Rogózieźca;Rogóziec;Rogózieziec
Wolbromowa;Wolbromów;Wolbromowa
Momot Górnych;Momoty Górne;Momot Górny
Jagodzinieńca;Jagodziniec;Jagodzinieniec
Perzyn;Perzyny;Perzyna
Warlit Małych;Warlity Małe;Warlit Mała
Koteż;Koteże;Koteż
Momajn;Momajny;Momajn
Piór Wielkich;Pióry Wielkie;Piór Wielki
Sarnówka;Sarnówek;Sarnówka
Steblewa;Steblewo;Steblewa
Rówiec;Rówce;Rówiec
Śniadowa;Śniadowo;Śniadowa
Gruszowa Wielkiego;Gruszów Wielki;Gruszowa Wielki
Nowolesia;Nowolesie;Nowoleś
Jesionnny;Jesionna;Jesionnna
Gostyczyny;Gostyczyna;Gostyczyn
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowa-Biernat
Niedar;Niedary;Niedar
Pruchnika;Pruchnik;Pruchnika
Bryńska;Bryńsk;Bryńska
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny
Jankowa;Janków;Jankowa
Marków;Marki;Marek
Daniłowa;Daniłowo;Daniłów
Dobrzynia;Dobrzyń;Dobrzynia
Dobrzykowa;Dobrzykowo;Dobrzykowa
Antosina;Antosin;Antosina
Gałkówka-Kolonii;Gałkówek-Kolonia;Gałkówka-Kolonia
Rębiszowa;Rębiszów;Rębiszowa
Starych Kostrów;Stare Kostry;Stara Kostrów
Niedarzyna;Niedarzyn;Niedarzyna
Dorowa;Dorowo;Dorowa
Skierbieszowa-Kolonii;Skierbieszów-Kolonia;Skierbieszowa-Kolonia
Lipy-Krępy;Lipa-Krępa;Lipa-Kręp
Chodlewa;Chodlewo;Chodlewa
Długopola-Zdroju;Długopole-Zdrój;Długopola-Zdrój
Wręczycy Wielkiej;Wręczyca Wielka;Wręczyk Wielka
Galumina;Galumin;Galumina
Leśniowa Małego;Leśniów Mały;Leśniowa Mały
Rejowa;Rejów;Rejowa
Kopanina;Kopanino;Kopanina
Bębnowa;Bębnów;Bębnowa
Żmijewka Włościańskiego;Żmijewek Włościański;Żmijewka Włościański
Smolewa-Wsi;Smolewo-Wieś;Smolewa-Ws
Kopaninin;Kopaniny;Kopaninina
Duczowa Wielkiego;Duczów Wielki;Duczowa Wielki
Gardna;Gardno;Gardna
Tymina;Tymin;Tymina
Robaw;Robawy;Robawa
Osin Górnych;Osiny Górne;Osina Górny
Moszyn;Moszyny;Moszyna
Kolemczyczyc;Kolemczyce;Kolemczyczyca
Drawska Pomorskiego;Drawsko Pomorskie;Drawsko Pomorski
Toczysk Średnich;Toczyski Średnie;Toczysko Średnia
Rębisk;Rębiska;Rębisko
Przytoki;Przytoka;Przytok
Bron;Brony;Bron
Jarosławia;Jarosław;Jarosławie
Brzeźna-Kolonii;Brzeźno-Kolonia;Brzeźna-Kolonia
Kolczyna;Kolczyn;Kolczyna
Raby Niżnej;Raba Niżna;Rab Niżna
Kadłubi;Kadłubia;Kadłuby
Sarn;Sarny;Sarn
Godaszewic;Godaszewice;Godaszewica
Duńkowic;Duńkowice;Duńkowica
Zapiecznego;Zapieczne;Zapieczny
Bolestraszyc;Bolestraszyce;Bolestraszyca
Skowierzyna;Skowierzyn;Skowierzyna
Podłużyc;Podłużyce;Podłużyca
Chrośna;Chrośno;Chrośna
Grochówka;Grochówek;Grochówka
Kuścińcniec;Kuścińce;Kuścińcniec
Chrośny;Chrośna;Chrośn
Kaleni Dużej;Kaleń Duża;Kalenie Duża
Karlikowa;Karlikowo;Karlikowa
Faliszowic;Faliszowice;Faliszowica
Ownic;Ownice;Ownica
Łowoszowa;Łowoszów;Łowoszowa
Bakuły;Bakuła;Bakuły
Woli Gołkowskiej;Wola Gołkowska;Wol Gołkowska
Probostwa Dolnego;Probostwo Dolne;Probostwo Dolny
Unieradza;Unieradz;Unieradza
Mirocina;Mirocin;Mirocina
Ręba;Rąb;Ręba
Krzcięcina;Krzcięcin;Krzcięcina
Święcianowa;Święcianowo;Święcianowa
Pyrzyc;Pyrzyce;Pyrzyca
Swór;Swory;Swór
Charbic Górnych;Charbice Górne;Charbica Górny
Goświnowic;Goświnowice;Goświnowica
Celin Przesławickich;Celiny Przesławickie;Celina Przesławicki
Piotrowic;Piotrowice;Piotrowica
Czach;Czachy;Cz
Harbutowic;Harbutowice;Harbutowica
Stobnicka;Stobnicko;Stobnicka
Runowa;Runowo;Runowa
Turobowa;Turobów;Turobowa
Brzezinek Nowych;Brzezinki Nowe;Brzezinka Nowy
Stoplina;Stoplin;Stoplina
Staniewic;Staniewice;Staniewica
Płonki-Kozłów;Płonka-Kozły;Płonka-Kozioł
Tapilkajm;Tapilkajmy;Tapilkajma
Wymysłowic;Wymysłowice;Wymysłowica
Sanoki;Sanoka;Sanok
Borek Rozowskich;Borki Rozowskie;Borka Rozowski
Obrowa;Obrów;Obrowa
Chociczy Wielkiej;Chocicza Wielka;Chociczy Wielka
Jamboreka;Jamborek;Jamboreka
Pierwoszyna;Pierwoszyno;Pierwoszyna
Mominy;Momina;Momin
Gręboszyc;Gręboszyce;Gręboszyca
Wierzchów;Wierzchy;Wierzch
Dobrowa;Dobrów;Dobrowa
Dachowy;Dachowa;Dachów
Zemborzyc Podleśnych;Zemborzyce Podleśne;Zemborzyca Podleśne
Przeradowa;Przeradowo;Przeradowa
Zielenic;Zielenice;Zielenica
Krzeczowic;Krzeczowice;Krzeczowica
Bierkowic;Bierkowice;Bierkowica
Józefina;Józefin;Józefina
Polkowskiego;Polkowskie;Polkowski
Sulnowa;Sulnowo;Sulnowa
Pęzina;Pęzino;Pęzina
Zabostówa Małego;Zabostów Mały;Zabostówa Mały
Ułtowa;Ułtowo;Ułtowa
Obrębu;Obrąb;Obręb
Wołowych Lasów;Wołowe Lasy;Wołowe Las
Łukomia-Kolonii;Łukomie-Kolonia;Łukomia-Kolonia
Radzynia Podlaskiego;Radzyń Podlaski;Radzynia Podlaski
Bodzewa;Bodzew;Bodzewo
Drzonka;Drzonek;Drzonka
Trzaskowa;Trzaskowo;Trzaskowa
Samborza;Sambórz;Samborze
Lisowic-Kolonii;Lisowice-Kolonia;Lisowica-Kolonia
Kobylina-Pieniążek;Kobylin-Pieniążki;Kobylina-Pieniążek
Wierzchowisk;Wierzchowiska;Wierzchowisko
Srebrnej Góry;Srebrna Góra;Srebrna Gór
Starych Bogaczowic;Stare Bogaczowice;Stara Bogaczowica
Szymborna;Szymborno;Szymborn
Szczyt-Nowodworów;Szczyty-Nowodwory;Szczyt-Nowodwór
Karolkowa Szwarockiego;Karolków Szwarocki;Karolkowa Szwarocki
Lubnów Małych;Lubnowy Małe;Luben Mała
Nakła Śląskiego;Nakło Śląskie;Nakła Śląski
Dzikówka;Dzikówko;Dzikówka
Kruszewa-Brodowa;Kruszewo-Brodowo;Kruszewo-Brodowa
Gleźnowa;Gleźnowo;Gleźnowa
Orzyn;Orzyny;Orzyna
Sankur;Sankury;Sankura
Stojadeł;Stojadła;Stojadło
Świetlina;Świetlino;Świetlina
Wydorowa;Wydorowo;Wydorowa
Zuzułki;Zuzułka;Zuzułki
Wyłudek;Wyłudki;Wyłudek
Falent Nowych;Falenty Nowe;Falent Nowy
Ogorzelin;Ogorzeliny;Ogorzelina
Starego Koźla;Stare Koźle;Stary Koźle
Osieczowa;Osieczów;Osieczowa
Sitek;Sitki;Sitka
Magnuszewic;Magnuszewice;Magnuszewica
Zelek;Zelki;Zelka
Potoków;Potoki;Potok
Liwek;Liwki;Liwek
Będzieszyny;Będzieszyna;Będzieszyn
Broniewka;Broniewek;Broniewka
Paderewka;Paderewek;Paderewka
Tarzymiech Pierwszych;Tarzymiechy Pierwsze;Tarzymiech Pierwsza
Dobrzejowa;Dobrzejów;Dobrzejowa
Cekcyna;Cekcyn;Cekcyna
Nowych Wypych;Nowe Wypychy;Nowy Wypy
Godlewa-Gudosz;Godlewo-Gudosze;Godlewa-Gudosz
Czarnowa;Czarnów;Czarnowa
Borowej Woli;Borowa Wola;Borowa Wol
Zakrzewka;Zakrzewko;Zakrzewka
Przygodziczek;Przygodziczki;Przygodziczka
Studennnego;Studenne;Studennny
Paniewka;Paniewek;Paniewka
Wyrębowa;Wyrębów;Wyrębowa
Drezna;Drezno;Drezna
Nochowa;Nochowo;Nochów
Wiąskich Piasków;Wiąskie Piaski;Wiąski Piasek
Borzęciczek;Borzęciczki;Borzęciczka
Jazdowic;Jazdowice;Jazdowica
Starej Kraśnicy;Stara Kraśnica;Stara Kraśnik
Cezarowa;Cezarów;Cezarowa
Rządkowa;Rządkowo;Rządkowa
Justynowa;Justynów;Justynowa
Zdanowic;Zdanowice;Zdanowica
Lubiankowa;Lubianków;Lubiankowa
Bełdna;Bełdno;Bełdna
Zagród Łukówieckich;Zagrody Łukówieckie;Zagroda Łukówiecki
Bystrojowic;Bystrojowice;Bystrojowica
Jasinieńca;Jasiniec;Jasinieniec
Bartos;Bartosy;Bartos
Niestkowa;Niestkowo;Niestkowa
Czesławowa;Czesławowo;Czesławowa
Piątku Małego;Piątek Mały-Kolonia;Piątku Mały
Drzewian;Drzewiany;Drzewian
Sosny-Kozółek;Sosna-Kozółki;Sosna-Kozółek
Obałek;Obałki;Obałek
Korczówki-Kolonii;Korczówka-Kolonia;Korczówki-Kolonia
Grabowna;Grabowno;Grabown
Małus Wielkich;Małusy Wielkie;Małus Wielki
Stuposian;Stuposiany;Stuposiano
Kaszew Dwornych;Kaszewy Dworne;Kaszwa Dworne
Swędzieniejewic;Swędzieniejewice;Swędzieniejewica
Bóbrki;Bóbrka;Bóbrek
Rudzka Dużego;Rudzk Duży;Rudzka Duży
Górawina;Górawino;Górawina
Częstkowa;Częstkowo;Częstkowa
Galewic;Galewice;Galewica
Kaleni Małej;Kaleń Mała;Kalenie Mała
Krasocina;Krasocin;Krasocina
Czyżewa-Rusi-Kolonii;Czyżew-Ruś-Kolonia;Czyżewa-Rusia-Kolonia
Góry;Góra;Gór
Władysławówowa Bielawskiego;Władysławów Bielawski;Władysławówowa Bielawski
Falniowa-Wysiołka;Falniów-Wysiołek;Falniowa-Wysiołek
Kalisk Kościerskich;Kaliska Kościerskie;Kaliska Kościerski
Dobromyśla;Dobromyśl;Dobromyśla
Chomętowa;Chomętowo;Chomętowa
Gór;Góry;Gór
Łośnicy;Łośnica;Łośnik
Karolowa;Karolów;Karolowa
Bud-Matusów;Budy-Matusy;Buda-Matus
Korzennna;Korzenno;Korzennna
Korzennnej;Korzenna;Korzennna
Wejherowa;Wejherowo;Wejherowa
Dobrylewa;Dobrylewo;Dobrylewa
Porajowa;Porajów;Porajowa
Uniejowa;Uniejów;Uniejowa
Szczercowa;Szczerców;Szczercowa
Brzezia k. Pomorska;Brzezie k. Pomorska;Brzeź k. Pomorsko
Poręby Górnej;Poręba Górna;Porąb Górna
Grzymałkowa;Grzymałków;Grzymałkowa
Zosinowa;Zosinowo;Zosinowa
Dobrzykowic;Dobrzykowice;Dobrzykowica
Podstrobowa;Podstrobów;Podstrobowa
Mezowa;Mezowo;Mezowa
Przepałkowa;Przepałkowo;Przepałkowa
Sińczycy;Sińczyca;Sińczyk
Krasnodęb-Sypytek;Krasnodęby-Sypytki;Krasnodęba-Sypytka
Brześc;Brześce;Brześc
Suchej Psiny;Sucha Psina;Suchej Psina
Połażejewa;Połażejewo;Połażejewa
Muratyna-Kolonii;Muratyn-Kolonia;Muratyna-Kolonia
Duczymina;Duczymin;Duczymina
Serok;Seroki;Serok
Jurczyczyc;Jurczyce;Jurczyczyca
Huczwic;Huczwice;Huczwica
Nieceni;Niecenia;Niecenie
Dębowej Góry;Dębowa Góra;Dębowa Gór
Woli Wilknickiej;Wola Wilknicka;Wol Wilknicka
Dziechowa;Dziechowo;Dziechów
Starych Gagów;Stare Gagowy;Stara Gag
Brzezinnnej Góry;Brzezinna Góra;Brzezinnna Gór
Oraczewa Małego;Oraczew Mały;Oraczewo Mały
Pobiedzisk;Pobiedziska;Pobiedzisko
Glicka;Glicko;Glicka
Okulic;Okulice;Okulica
Radzikowa-Stopek;Radzików-Stopki;Radzikowa-Stopki
Jedlna Pierwszego;Jedlno Pierwsze;Jedlna Pierwszy
Wodzina Majorackiego;Wodzin Majoracki;Wodzina Majoracki
Wąworkowa;Wąworków;Wąworkowa
Babska;Babsk;Babsko
Starego Ochędzyna;Stary Ochędzyn;Stary Ochędzyna
Samostrzałowa;Samostrzałów;Samostrzałowa
Brodziszowa;Brodziszów;Brodziszowa
Nowego Zgagowa;Nowe Zgagowo;Nowy Zgagowa
Jankowa Zaleśnego;Janków Zaleśny;Jankowa Zaleśny
Zbytkowa;Zbytkowo;Zbytkowa
Smogórów;Smogóry;Smogóra
Radzynia-Wsi;Radzyń-Wieś;Radzynia-Ws
Pantalowic;Pantalowice;Pantalowica
Darownego;Darowne;Darowny
Szczucina;Szczucin;Szczucina
Sysek;Syski;Syska
Moskwina;Moskwin;Moskwina
Myjomic;Myjomice;Myjomica
Jarząbkowic;Jarząbkowice;Jarząbkowica
Świątnik Dolnych;Świątniki Dolne;Świątnik Dolny
Rutek-Kossaków;Rutki-Kossaki;Rutka-Kossak
Lesiaków;Lesiaki;Lesiak
Żarczyna;Żarczyn;Żarczyna
Wardężyna;Wardężyn;Wardężyna
Bońkowa Kościelnego;Bońkowo Kościelne;Bońkowa Kościelny
Iżykowic;Iżykowice;Iżykowica
Kaniewa;Kaniew;Kaniewa
Krajenek;Krajenki;Krajenka
Woli Szydłowskiej;Wola Szydłowska;Wol Szydłowska
Sobieszyna;Sobieszyn;Sobieszyna
Młudzyna;Młudzyn;Młudzyna
Chociwla-Wsi;Chociwel-Wieś;Chociwla-Ws
Kozielic;Kozielice;Kozielica
Wyrzyska;Wyrzysk;Wyrzysko
Gołaszyna;Gołaszyn;Gołaszyna
Góry Włodowskiej;Góra Włodowska;Gór Włodowska
Czaplic-Kurek;Czaplice-Kurki;Czaplica-Kurka
Bierdzan;Bierdzany;Bierdzan
Pęcicic;Pęcice;Pęcicica
Grabianowa;Grabianowo;Grabianowa
Barcikowic;Barcikowice;Barcikowica
Kaczorów;Kaczory;Kaczor
Korczaków;Korczaki;Korczak
Starych Kosin;Stare Kosiny;Stara Kosiny
Czechowego Kąta;Czechów Kąt;Czechowy Kąt
Chojeczna-Cesarzy;Chojeczno-Cesarze;Chojeczna-Cesarz
Kołoząbia;Kołoząb;Kołoząbia
Siedmiorogowa Drugiego;Siedmiorogów Drugi;Siedmiorogowa Drugi
Michałowa Czwartego;Michałów Czwarty;Michałowa Czwarty
Stodólna;Stodólno;Stodólna
Pored;Poredy;Poreda
Lublinowa;Lublinów;Lublinowa
Starych Kolni;Stare Kolnie;Stara Kolnia
Dęby-Majstrów;Dęba-Majstry;Dąb-Majster
Ciężkowa;Ciężków;Ciężkowa
Szarek;Szarki;Szarka
Krobielowic;Krobielowice;Krobielowica
Nowawejwsi Pałuckiej;Nowawieś Pałucka;Nowawejwieś Pałucka
Rzepotowic;Rzepotowice;Rzepotowica
Szumania-Pustoł;Szumanie-Pustoły;Szumanie-Pustoła
Podlesic;Podlesice;Podlesica
Świechocina;Świechocin;Świechocina
Gnojenka;Gnojenko;Gnojenka
Kisiel;Kisiele;Kisiel
Wolanowa;Wolanów;Wolanowa
Wokowic;Wokowice;Wokowica
Hanowa;Hanowo;Hanowa
Woli Dłużniewskiej;Wola Dłużniewska;Wol Dłużniewska
Rotnowa;Rotnowo;Rotnowa
" Dwa;"Mazewo Dworskie""B""";" Dwo
Szyszczyczyc;Szyszczyce;Szyszczyczyca
Sąspowa;Sąspów;Sąspowa
Kostek Małych;Kostki Małe;Kostka Mała
Czumowa;Czumów;Czumowa
Seroczek;Seroczki;Seroczek
Antonowa;Antonów;Antonowa
Nowego Żeliborza;Nowy Żelibórz;Nowy Żeliborze
Zabieli;Zabiele;Zabiel
Skokumia;Skokum;Skokumia
Gierłoży Polskiej;Gierłoż Polska;Gierłoże Polska
Sowin;Sowiny;Sowina
Wólki-Nazdrojów;Wólka-Nazdroje;Wólka-Nazdrój
Suprunów;Supruny;Suprun
Wiecanowa;Wiecanowo;Wiecanowa
Jask;Jaski;Jask
Podłazia;Podłazie;Podłaź
Sarnak;Sarnaki;Sarnak
Halinowa Żdżarowskiego;Halinów Żdżarowski;Halinowa Żdżarowski
Poleszyna;Poleszyn;Poleszyna
Osin Dolnych;Osiny Dolne;Osina Dolny
Będzinka;Będzinko;Będzinka
Rozborza;Rozbórz;Rozborze
Helenowa Pierwszego;Helenów Pierwszy;Helenowa Pierwszy
Siutkowa;Siutkowo;Siutkowa
Budziszowa;Budziszów;Budziszowa
Bukowa Morskiego;Bukowo Morskie;Bukowa Morski
Słotwina;Słotwin;Słotwina
Rycerzewka;Rycerzewko;Rycerzewka
Otylina;Otylin;Otylina
Dziewięciół;Dziewięcioły;Dziewięciel
Susłowa;Susłów;Susłowo
Brzyna;Brzyno;Brzyna
Dobrzankowa;Dobrzankowo;Dobrzankowa
Terebinia;Terebiń;Terebinia
Węgoja;Węgój;Węgoja
Kraskowa;Kraskowo;Kraskowa
Połowców;Połowce;Połowiec
Wrzeszczewic-Tomaszewa;Wrzeszczewice-Tomaszew;Wrzeszczewica-Tomaszewo
Golimowa;Golimowo;Golimowa
Pietrzykowa-Gołąbek;Pietrzykowo-Gołąbki;Pietrzykowa-Gołąbek
Białous;Białousy;Białous
Rozdziałów;Rozdziały;Rozdział
Załakowa;Załakowo;Załakowa
Jaworów-Klepaczy;Jawory-Klepacze;Jawor-Klepacz
Jarek;Jarki;Jarka
Ludwina;Ludwin;Ludwina
Woli Starogrodzkiej;Wola Starogrodzka;Wol Starogrodzka
Ślepkowa Szlacheckiego;Ślepkowo Szlacheckie;Ślepkowa Szlachecki
Lubranieńca-Parcel;Lubraniec-Parcele;Lubranieniec-Parcela
Chylic-Kolonii;Chylice-Kolonia;Chylica-Kolonia
Czerwonkowa;Czerwonków;Czerwonkowa
Zbąszynia;Zbąszyń;Zbąszynia
Konstancina;Konstancin;Konstancina
Jug;Jugi;Juga
Ślepowron;Ślepowrony;Ślepowron
Zapomnianowa;Zapomnianowo;Zapomnianowa
Wojewodzy;Wojewodza;Wojewodze
Jeldzina;Jeldzino;Jeldzina
Uciechowic;Uciechowice;Uciechowica
Piłak Małych;Piłaki Małe;Piłak Mała
Dąbkowic Górnych;Dąbkowice Górne;Dąbkowica Górny
Krzczonowa;Krzczonów;Krzczonowa
Kozinek;Kozinki;Kozinka
Żelkowa;Żelkowo;Żelkowa
Mazowsza;Mazowsze;Mazowsza
Małgowa;Małgów;Małgowa
Kosut;Kosuty;Kosut
Niepołomic;Niepołomice;Niepołomica
Chlewa;Chlewo;Chlew
Mirocina Dolnego;Mirocin Dolny;Mirocina Dolny
Piegłowa-Wsi;Piegłowo-Wieś;Piegłów-Ws
Woli Lubeckiej;Wola Lubecka;Wol Lubecka
Czerniakowa;Czerniaków;Czerniakowa
Ligowa;Ligowo;Ligowa
Osieczy Drugiej;Osiecza Druga;Osiecz Druga
Wierzbic Górnych;Wierzbice Górne;Wierzbica Górny
Czapelek;Czapelki;Czapelka
Możdżanowa;Możdżanowo;Możdżanowa
Stójkowa;Stójków;Stójkowa
Podborowa;Podborowo;Podborowa
Szlędaków;Szlędaki;Szlędak
Janiszowa;Janiszów;Janiszowa
Krajewa-Ćwikieł;Krajewo-Ćwikły;Krajewa-Ćwikła
Rymanowa;Rymanów;Rymanowa
Bud Augustowskich;Budy Augustowskie;Buda Augustowski
Barczewka;Barczewko;Barczewka
Gębarzowa-Kolonii;Gębarzów-Kolonia;Gębarzowa-Kolonia
