Dopełniacz;Mianownik;Wynik Stemmera
Kozowa;Kozowo;Kozowy
Brusowa;Brusów;Brusowy
Wilkanowa;Wilkanowo;Wilkanowy
Lubachów;Lubachowy;Lubach
Przewoźnik;Przewoźniki;Przewoźnik
Jakaci Młodej;Jakać Młoda;Jakaty Młody
Świątkowa;Świątkowo;Świątkowy
Huty Głodowskiej;Huta Głodowska;Huty Głodowski
Klotyldzina;Klotyldzin;Klotyldzina
Bożegopola Królewskiego;Bożepole Królewskie;Bożegopola Królewski
Kamianek-Nicek;Kamianki-Nicki;Kamianka-Nicka
Koniewa-Osady;Koniewo-Osada;Koniewa-Osada
Jagielna;Jagielno;Jagielny
Chlewisk;Chlewiska;Chlewisko
Kikit;Kikity;Kikit
Woli Flaszczyny;Wola Flaszczyna;Wol Flaszczyna
Ławic;Ławice;Ławica
Koskowa;Koskowo;Koskowy
Czeczotek;Czeczotki;Czeczotka
Zaprężyna;Zaprężyn;Zaprężyna
Przytkowic;Przytkowice;Przytkowica
Cedyni;Cedynia;Cedyny
Jankielówki;Jankielówka;Jankielówki
Kleczewa;Kleczew;Kleczewo
Wardzyna;Wardzyn;Wardzyna
Tychowa Starego;Tychów Stary;Tychowy Stary
Wolicy Drugiej;Wolica Druga;Wolik Drugi
Białej Rawskiej;Biała Rawska;Biały Rawski
Kolonii Strzegocina;Kolonia Strzegocin;Kolonia Strzegocina
Kałuszyna;Kałuszyn;Kałuszyna
Nowego Dziekanowa;Nowy Dziekanów;Nowy Dziekanowy
Gorodczyna;Gorodczyno;Gorodczyna
Żebrów-Perosów;Żebry-Perosy;Żeber-Peros
Miłuk;Miłuki;Miłuk
Gackich;Gackie;Gacki
Chełch Iłowych;Chełchy Iłowe;Cheł Iłowy
Wierzchowisk Dolnych;Wierzchowiska Dolne;Wierzchowisko Dolny
Lejkówka;Lejkówko;Lejkówka
Winowa;Winów;Winowy
Krąpiewa;Krąpiewo;Krąpiewa
Złotnik Małych;Złotniki Małe;Złotnik Mały
Witkowa;Witków;Witkowy
Mejznerzyna;Mejznerzyn;Mejznerzyna
Chroślic;Chroślice;Chroślica
Piłak Wielkich;Piłaki Wielkie;Piłak Wielki
Tenczyna;Tenczyn;Tenczyna
Nosalewic;Nosalewice;Nosalewica
Niegolewa;Niegolewo;Niegolewa
Kumowa Majorackiego;Kumów Majoracki;Kumowy Majoracki
Jędrzejowa Starego;Jędrzejów Stary;Jędrzejowy Stary
Bieszkowic;Bieszkowice;Bieszkowica
Kluczewska;Kluczewsko;Kluczewski
Drzonowa Białogardzkiego;Drzonowo Białogardzkie;Drzonowy Białogardzki
Kamieńczyka-Ryciorek;Kamieńczyk-Ryciorki;Kamieńczyk-Ryciorka
Jankowiec;Jankowce;Jankowiec
Rączek;Rączki;Rączka
Niesadny;Niesadna;Niesadny
Arciechowa;Arciechów;Arciechowy
Broszkowic;Broszkowice;Broszkowica
Tarkowa Dolnego;Tarkowo Dolne;Tarkowy Dolny
Śnieżek;Śnieżki;Śnieżek
Kozieźla;Koziel;Kozieźle
Świerzowej Polskiej;Świerzowa Polska;Świerzowy Polski
Kierzkowa;Kierzkowo;Kierzkowy
Kaput;Kaputy;Kaput
Koniecek;Koniecki;Koniecka
Paprotek;Paprotki;Paprotka
Wroniaw;Wroniawy;Wroniawa
Ryszek;Ryszki;Ryszka
Dąbków-Łętownicy;Dąbki-Łętownica;Dąbek-Łętownica
Wólki Strońskiej;Wólka Strońska;Wólka Stroński
Lnisk;Lniska;Lnisko
Gawerkowa;Gawerków;Gawerkowy
Popowa;Popów;Popowy
Koszyc;Koszyce;Koszyca
Miłowic;Miłowice;Miłowica
Wiadrowa;Wiadrowo;Wiadrowa
Wólki Niskiej;Wólka Niska;Wólka Niski
Rybitew;Rybitwy;Rybitwa
Wolini;Wolinia;Wolin
Homotów;Homoty;Homot
Stępocina;Stępocin;Stępocina
Suchej Kamienicy;Sucha Kamienica;Suchy Kamienica
Dionizowa;Dionizów;Dionizowy
Kobylej Góry;Kobyla Góra;Kobyli Góry
Kolonii Ostrowickiej;Kolonia Ostrowicka;Kolonia Ostrowicki
Łososiowic;Łososiowice;Łososiowica
Radkowa;Radków;Radkowy
Wólki Somiankowskiej;Wólka Somiankowska;Wólka Somiankowski
Zakola-Wiktorowa;Zakole-Wiktorowo;Zakole-Wiktorowy
Wólki Miedzyńskiej;Wólka Miedzyńska;Wólka Miedzyński
Średzińskich;Średzińskie;Średziński
Smaszewa;Smaszew;Smaszewo
Grądów-Możdżeni;Grądy-Możdżenie;Grąd-Możdżony
Zaręb-Skórek;Zaręby-Skórki;Zaręba-Skórek
Starego Wierzchowa;Stare Wierzchowo;Stary Wierzchowy
Bąblinieńca;Bąbliniec;Bąblinieniec
Huty Jeżewskiej;Huta Jeżewska;Huty Jeżewski
Pyszącej;Pysząca;Pyszący
Starego Cieszyna;Stary Cieszyn;Stary Cieszyna
Zagnańska;Zagnańsk;Zagnański
Wytoka;Wytok;Wytoka
Łubnic-Krusz;Łubnice-Krusze;Łubnica-Krusza
Zagród;Zagrody;Zagroda
Radomic;Radomice;Radomica
Gaszowa;Gaszów;Gaszowy
Kamiennnego;Kamienne;Kamiennny
Kamiennnej;Kamienna;Kamiennny
Samolubia;Samolubie;Samolubia
Trzęśniewa Małego;Trzęśniew Mały;Trzęśniewa Mały
Gąsek;Gąski;Gąska
Dolnej Kolonii;Dolna Kolonia;Dolny Kolonia
Kubic;Kubice;Kubica
Kozła;Kozieł;Kozioł
Zaklikowa;Zaklików;Zaklikowy
Większyc;Większyce;Większyca
Bednar-Kolonii;Bednary-Kolonia;Bednar-Kolonia
Wtórka;Wtórek;Wtórka
Jaryszowa;Jaryszów;Jaryszowy
Małej Kloni;Mała Klonia;Mały Klon
Kretowin;Kretowiny;Kretowina
Skaj;Skaje;Skaj
Leszczki Małej;Leszczka Mała;Leszczka Mały
Czachówek;Czachówki;Czachówka
Niekurzy;Niekurza;Niekurz
Daszewic;Daszewice;Daszewica
Piskajn;Piskajny;Piskajn
Stromieckiej Woli;Stromiecka Wola;Stromiecki Wol
Bogusławic-Nowin;Bogusławice-Nowiny;Bogusławica-Nowina
Chocianowa;Chocianów;Chocianowy
Pasiecznej;Pasieczna;Pasieczny
Rogózieźca;Rogóziec;Rogózieziec
Wolbromowa;Wolbromów;Wolbromowy
Momot Górnych;Momoty Górne;Momot Górny
Jagodzinieńca;Jagodziniec;Jagodzinieniec
Perzyn;Perzyny;Perzyna
Warlit Małych;Warlity Małe;Warlit Mały
Koteż;Koteże;Koteż
Momajn;Momajny;Momajn
Piór Wielkich;Pióry Wielkie;Piór Wielki
Grodni;Grodnia;Grodny
Sarnówka;Sarnówek;Sarnówka
Steblewa;Steblewo;Steblew
Rówiec;Rówce;Rówiec
Śniadowa;Śniadowo;Śniadowy
Gruszowa Wielkiego;Gruszów Wielki;Gruszowy Wielki
Nowolesia;Nowolesie;Nowoleś
Jesionnny;Jesionna;Jesionnny
Gostyczyny;Gostyczyna;Gostyczyn
Chodkowa-Biernat;Chodkowo-Biernaty;Chodkowy-Biernat
Niedar;Niedary;Niedar
Kopydłowa;Kopydłów;Kopydłowy
Pruchnika;Pruchnik;Pruchnika
Bryńska;Bryńsk;Bryński
Grabowiec Dolnych;Grabowce Dolne;Grabowiec Dolny
Jankowa;Janków;Jankowy
Marków;Marki;Marek
Daniłowa;Daniłowo;Daniłowy
Dobrzynia;Dobrzyń;Dobrzynia
Dobrzykowa;Dobrzykowo;Dobrzykowy
Antosina;Antosin;Antosina
Gałkówka-Kolonii;Gałkówek-Kolonia;Gałkówka-Kolonia
Rębiszowa;Rębiszów;Rębiszowy
Starych Kostrów;Stare Kostry;Stary Kostrów
Niedarzyna;Niedarzyn;Niedarzyna
Dorowa;Dorowo;Dorowy
Skierbieszowa-Kolonii;Skierbieszów-Kolonia;Skierbieszowy-Kolonia
Lipy-Krępy;Lipa-Krępa;Lipa-Krępy
Chodlewa;Chodlewo;Chodlew
Długopola-Zdroju;Długopole-Zdrój;Długopola-Zdrój
Wręczycy Wielkiej;Wręczyca Wielka;Wręczyk Wielki
Galumina;Galumin;Galumina
Leśniowa Małego;Leśniów Mały;Leśniowy Mały
Rejowa;Rejów;Rejowy
Kopanina;Kopanino;Kopanina
Bębnowa;Bębnów;Bębnowy
Żmijewka Włościańskiego;Żmijewek Włościański;Żmijewka Włościański
Smolewa-Wsi;Smolewo-Wieś;Smolewa-Wszy
Kopaninin;Kopaniny;Kopaninina
Duczowa Wielkiego;Duczów Wielki;Duczowy Wielki
Gardna;Gardno;Gardny
Tymina;Tymin;Tymina
Robaw;Robawy;Robawa
Osin Górnych;Osiny Górne;Osina Górny
Moszyn;Moszyny;Moszyna
Kolemczyczyc;Kolemczyce;Kolemczyczyca
Drawska Pomorskiego;Drawsko Pomorskie;Drawski Pomorski
Wielkiej Nieszawki;Wielka Nieszawka;Wielki Nieszawka
Toczysk Średnich;Toczyski Średnie;Toczysko Średni
Rębisk;Rębiska;Rębisko
Wólki Paruszewskiej;Wólka Paruszewska;Wólka Paruszewski
Przytoki;Przytoka;Przytok
Bron;Brony;Bron
Jarosławia;Jarosław;Jarosławie
Brzeźna-Kolonii;Brzeźno-Kolonia;Brzeźny-Kolonia
Lemana;Leman;Lemany
Raby Niżnej;Raba Niżna;Rab Niżny
Kadłubi;Kadłubia;Kadłuby
Sarn;Sarny;Sarn
Godaszewic;Godaszewice;Godaszewica
Rudy Solskiej;Ruda Solska;Ruda Solski
Duńkowic;Duńkowice;Duńkowica
Zapiecznego;Zapieczne;Zapieczny
Bolestraszyc;Bolestraszyce;Bolestraszyca
Skowierzyna;Skowierzyn;Skowierzyna
Podłużyc;Podłużyce;Podłużyca
Chrośna;Chrośno;Chrośny
Grochówka;Grochówek;Grochówka
Kuścińcniec;Kuścińce;Kuścińcniec
Chrośny;Chrośna;Chrośny
Kaleni Dużej;Kaleń Duża;Kalony Duży
Karlikowa;Karlikowo;Karlikowy
Faliszowic;Faliszowice;Faliszowica
Ownic;Ownice;Ownica
Łowoszowa;Łowoszów;Łowoszowy
Bakuły;Bakuła;Bakuły
Woli Gołkowskiej;Wola Gołkowska;Wol Gołkowski
Probostwa Dolnego;Probostwo Dolne;Probostwo Dolny
Unieradza;Unieradz;Unieradza
Mirocina;Mirocin;Mirocina
Ręba;Rąb;Ręba
Garbatki Nowej;Garbatka Nowa;Garbatka Nowy
Krzcięcina;Krzcięcin;Krzcięcina
Święcianowa;Święcianowo;Święcianowy
Pyrzyc;Pyrzyce;Pyrzyca
Swór;Swory;Swór
Charbic Górnych;Charbice Górne;Charbica Górny
Goświnowic;Goświnowice;Goświnowica
Celin Przesławickich;Celiny Przesławickie;Celina Przesławicki
Piotrowic;Piotrowice;Piotrowica
Czach;Czachy;Cz
Harbutowic;Harbutowice;Harbutowica
Stobnicka;Stobnicko;Stobnicki
Boksyckiej;Boksycka;Boksycki
Runowa;Runowo;Runowy
Turobowa;Turobów;Turobowy
Brzezinek Nowych;Brzezinki Nowe;Brzezinka Nowy
Krępska;Krępsko;Krępski
Stoplina;Stoplin;Stoplina
Staniewic;Staniewice;Staniewica
Płonki-Kozłów;Płonka-Kozły;Płonka-Kozioł
Tapilkajm;Tapilkajmy;Tapilkajma
Wymysłowic;Wymysłowice;Wymysłowica
Sanoki;Sanoka;Sanok
Borek Rozowskich;Borki Rozowskie;Borka Rozowski
Obrowa;Obrów;Obrowy
Chociczy Wielkiej;Chocicza Wielka;Chociczy Wielki
Jamboreka;Jamborek;Jamboreka
Pierwoszyna;Pierwoszyno;Pierwoszyna
Mominy;Momina;Momin
Gręboszyc;Gręboszyce;Gręboszyca
Wierzchów;Wierzchy;Wierzch
Dobrowa;Dobrów;Dobrowy
Dachowy;Dachowa;Dachowy
Zemborzyc Podleśnych;Zemborzyce Podleśne;Zemborzyca Podleśny
Przeradowa;Przeradowo;Przeradowy
Zielenic;Zielenice;Zielenica
Krzeczowic;Krzeczowice;Krzeczowica
Bierkowic;Bierkowice;Bierkowica
Józefina;Józefin;Józefina
Polkowskiego;Polkowskie;Polkowski
Sulnowa;Sulnowo;Sulnowy
Pęzina;Pęzino;Pęzina
Zabostówa Małego;Zabostów Mały;Zabostówa Mały
Ułtowa;Ułtowo;Ułtowy
Obrębu;Obrąb;Obręb
Wołowych Lasów;Wołowe Lasy;Wołowy Las
Łukomia-Kolonii;Łukomie-Kolonia;Łukomia-Kolonia
Radzynia Podlaskiego;Radzyń Podlaski;Radzynia Podlaski
Bodzewa;Bodzew;Bodzewo
Drzonka;Drzonek;Drzonka
Trzaskowa;Trzaskowo;Trzaskowy
Samborza;Sambórz;Samborze
Lisowic-Kolonii;Lisowice-Kolonia;Lisowica-Kolonia
Kobylina-Pieniążek;Kobylin-Pieniążki;Kobylina-Pieniążek
Wierzchowisk;Wierzchowiska;Wierzchowisko
Srebrnej Góry;Srebrna Góra;Srebrny Góry
Starych Bogaczowic;Stare Bogaczowice;Stary Bogaczowica
Szymborna;Szymborno;Szymborny
Szczyt-Nowodworów;Szczyty-Nowodwory;Szczyt-Nowodwór
Karolkowa Szwarockiego;Karolków Szwarocki;Karolkowy Szwarocki
Nowej Sławogóry;Nowa Sławogóra;Nowy Sławogóra
Lubnów Małych;Lubnowy Małe;Luben Mały
Nakła Śląskiego;Nakło Śląskie;Nakły Śląski
Dzikówka;Dzikówko;Dzikówka
Kruszewa-Brodowa;Kruszewo-Brodowo;Kruszewo-Brodowy
Gleźnowa;Gleźnowo;Gleźnowy
Orzyn;Orzyny;Orzyna
Sankur;Sankury;Sankura
Stojadeł;Stojadła;Stojadło
Tuchowa;Tuchów;Tuchowy
Świetlina;Świetlino;Świetlina
Wydorowa;Wydorowo;Wydorowy
Zuzułki;Zuzułka;Zuzułki
Zerwanej;Zerwana;Zerwany
Wyłudek;Wyłudki;Wyłudek
Falent Nowych;Falenty Nowe;Falent Nowy
Ogorzelin;Ogorzeliny;Ogorzelina
Starego Koźla;Stare Koźle;Stary Koźli
Osieczowa;Osieczów;Osieczowy
Sitek;Sitki;Sitka
Magnuszewic;Magnuszewice;Magnuszewica
Zelek;Zelki;Zelka
Potoków;Potoki;Potok
Liwek;Liwki;Liwek
Będzieszyny;Będzieszyna;Będzieszyn
Broniewka;Broniewek;Broniewka
Paderewka;Paderewek;Paderewka
Tarzymiech Pierwszych;Tarzymiechy Pierwsze;Tarzymiech Pierwszy
Dobrzejowa;Dobrzejów;Dobrzejowy
Cekcyna;Cekcyn;Cekcyna
Nowych Wypych;Nowe Wypychy;Nowy Wypy
Godlewa-Gudosz;Godlewo-Gudosze;Godlew-Gudosz
Czarnowa;Czarnów;Czarnowy
Borowej Woli;Borowa Wola;Borowy Wol
Zakrzewka;Zakrzewko;Zakrzewka
Przygodziczek;Przygodziczki;Przygodziczka
Studennnego;Studenne;Studennny
Paniewka;Paniewek;Paniewka
Wyrębowa;Wyrębów;Wyrębowy
Drezna;Drezno;Drezny
Nochowa;Nochowo;Nochowy
Kolbuszowej Górnej;Kolbuszowa Górna;Kolbuszowy Górny
Wiąskich Piasków;Wiąskie Piaski;Wiąski Piasek
Borzęciczek;Borzęciczki;Borzęciczka
Jazdowic;Jazdowice;Jazdowica
Starej Kraśnicy;Stara Kraśnica;Stara Kraśnik
Cezarowa;Cezarów;Cezarowy
Rządkowa;Rządkowo;Rządkowa
Justynowa;Justynów;Justynowy
Zdanowic;Zdanowice;Zdanowica
Lubiankowa;Lubianków;Lubiankowy
Bełdna;Bełdno;Bełdny
Zagród Łukówieckich;Zagrody Łukówieckie;Zagroda Łukówiecki
Bystrojowic;Bystrojowice;Bystrojowica
Jasinieńca;Jasiniec;Jasinieniec
Bartos;Bartosy;Bartos
Niestkowa;Niestkowo;Niestkowy
Czesławowa;Czesławowo;Czesławowy
Piątku Małego;Piątek Mały-Kolonia;Piątku Mały
Drzewian;Drzewiany;Drzewian
Nowej Bukówki;Nowa Bukówka;Nowy Bukówka
Sosny-Kozółek;Sosna-Kozółki;Sosny-Kozółek
Obałek;Obałki;Obałek
Korczówki-Kolonii;Korczówka-Kolonia;Korczówki-Kolonia
Grabowna;Grabowno;Grabowny
Małus Wielkich;Małusy Wielkie;Małus Wielki
Stuposian;Stuposiany;Stuposiano
Kaszew Dwornych;Kaszewy Dworne;Kaszwa Dworny
Swędzieniejewic;Swędzieniejewice;Swędzieniejewica
Bóbrki;Bóbrka;Bóbrek
Rudzka Dużego;Rudzk Duży;Rudzki Duży
Górawina;Górawino;Górawina
Częstkowa;Częstkowo;Częstkowy
Galewic;Galewice;Galewica
Kaleni Małej;Kaleń Mała;Kalony Mały
Krasocina;Krasocin;Krasocina
Czyżewa-Rusi-Kolonii;Czyżew-Ruś-Kolonia;Czyżewa-Rusia-Kolonia
Góry;Góra;Góry
Władysławówowa Bielawskiego;Władysławów Bielawski;Władysławówowy Bielawski
Falniowa-Wysiołka;Falniów-Wysiołek;Falniowy-Wysiołek
Kalisk Kościerskich;Kaliska Kościerskie;Kaliska Kościerski
Dobromyśla;Dobromyśl;Dobromyśla
Chomętowa;Chomętowo;Chomętowy
Gór;Góry;Gór
Łośnicy;Łośnica;Łośnik
Karolowa;Karolów;Karolowy
Bud-Matusów;Budy-Matusy;Buda-Matus
Korzennna;Korzenno;Korzennny
Korzennnej;Korzenna;Korzennny
Wejherowa;Wejherowo;Wejherowy
Ścinawy;Ścinawa;Ścinawy
Dobrylewa;Dobrylewo;Dobrylew
Porajowa;Porajów;Porajowy
Uniejowa;Uniejów;Uniejowy
Cepna;Cepno;Cepny
Szczercowa;Szczerców;Szczercowy
Brzezia k. Pomorska;Brzezie k. Pomorska;Brzeź k. Pomorski
Poręby Górnej;Poręba Górna;Porąb Górny
Grzymałkowa;Grzymałków;Grzymałkowy
Zosinowa;Zosinowo;Zosinowy
Dobrzykowic;Dobrzykowice;Dobrzykowica
Podstrobowa;Podstrobów;Podstrobowy
Mezowa;Mezowo;Mezowy
Przepałkowa;Przepałkowo;Przepałkowy
Sińczycy;Sińczyca;Sińczyk
Krasnodęb-Sypytek;Krasnodęby-Sypytki;Krasnodęba-Sypytka
Brześc;Brześce;Brześc
Nowej Kamionki;Nowa Kamionka;Nowy Kamionka
Suchej Psiny;Sucha Psina;Suchy Psiny
Połażejewa;Połażejewo;Połażejewa
Muratyna-Kolonii;Muratyn-Kolonia;Muratyna-Kolonia
Duczymina;Duczymin;Duczymina
Serok;Seroki;Serok
Jurczyczyc;Jurczyce;Jurczyczyca
Huczwic;Huczwice;Huczwica
Nieceni;Niecenia;Nieciony
Dębowej Góry;Dębowa Góra;Dębowy Góry
Woli Wilknickiej;Wola Wilknicka;Wol Wilknicki
Dziechowa;Dziechowo;Dziechowy
Starych Gagów;Stare Gagowy;Stary Gag
Brzezinnnej Góry;Brzezinna Góra;Brzezinnny Góry
Oraczewa Małego;Oraczew Mały;Oraczewo Mały
Chotyłowa;Chotyłów;Chotyłowy
Pobiedzisk;Pobiedziska;Pobiedzisko
Glicka;Glicko;Glicki
Okulic;Okulice;Okulica
Radzikowa-Stopek;Radzików-Stopki;Radzikowy-Stopki
Jedlna Pierwszego;Jedlno Pierwsze;Jedlny Pierwszy
Tarnawy Dużej;Tarnawa Duża;Tarnawy Duży
Wodzina Majorackiego;Wodzin Majoracki;Wodzina Majoracki
Wąworkowa;Wąworków;Wąworkowy
Babska;Babsk;Babski
Starego Ochędzyna;Stary Ochędzyn;Stary Ochędzyna
Samostrzałowa;Samostrzałów;Samostrzałowy
Brodziszowa;Brodziszów;Brodziszowy
Nowego Zgagowa;Nowe Zgagowo;Nowy Zgagowy
Jankowa Zaleśnego;Janków Zaleśny;Jankowy Zaleśny
Zbytkowa;Zbytkowo;Zbytkowy
Smogórów;Smogóry;Smogóra
Radzynia-Wsi;Radzyń-Wieś;Radzynia-Wszy
Pantalowic;Pantalowice;Pantalowica
Czerśli;Czerśl;Czersły
Darownego;Darowne;Darowny
Szczucina;Szczucin;Szczucina
Sysek;Syski;Syska
Moskwina;Moskwin;Moskwina
Myjomic;Myjomice;Myjomica
Jarząbkowic;Jarząbkowice;Jarząbkowica
Świątnik Dolnych;Świątniki Dolne;Świątnik Dolny
Rutek-Kossaków;Rutki-Kossaki;Rutka-Kossak
Wólki Dłużewskiej;Wólka Dłużewska;Wólka Dłużewski
Lesiaków;Lesiaki;Lesiak
Żarczyna;Żarczyn;Żarczyna
Wardężyna;Wardężyn;Wardężyna
Bońkowa Kościelnego;Bońkowo Kościelne;Bońkowy Kościelny
Iżykowic;Iżykowice;Iżykowica
Morochowa;Morochów;Morochowy
Kaniewa;Kaniew;Kaniewa
Krajenek;Krajenki;Krajenka
Woli Szydłowskiej;Wola Szydłowska;Wol Szydłowski
Sobieszyna;Sobieszyn;Sobieszyna
Młudzyna;Młudzyn;Młudzyna
Chociwla-Wsi;Chociwel-Wieś;Chociwla-Wszy
Kozielic;Kozielice;Kozielica
Wyrzyska;Wyrzysk;Wyrzysko
Gołaszyna;Gołaszyn;Gołaszyna
Góry Włodowskiej;Góra Włodowska;Góry Włodowski
Czaplic-Kurek;Czaplice-Kurki;Czaplica-Kurka
Bierdzan;Bierdzany;Bierdzan
Pęcicic;Pęcice;Pęcicica
Grabianowa;Grabianowo;Grabianowy
Barcikowic;Barcikowice;Barcikowica
Kaczorów;Kaczory;Kaczor
Korczaków;Korczaki;Korczak
Starych Kosin;Stare Kosiny;Stary Kosiny
Kadzielni;Kadzielnia;Kadzielny
Czechowego Kąta;Czechów Kąt;Czechowy Kąt
Chojeczna-Cesarzy;Chojeczno-Cesarze;Chojeczny-Cesarz
Kołoząbia;Kołoząb;Kołoząbia
Kamienicy Polskiej;Kamienica Polska;Kamienica Polski
Siedmiorogowa Drugiego;Siedmiorogów Drugi;Siedmiorogowy Drugi
Michałowa Czwartego;Michałów Czwarty;Michałowy Czwarty
Stodólna;Stodólno;Stodólny
Pored;Poredy;Poreda
Lublinowa;Lublinów;Lublinowy
Starych Kolni;Stare Kolnie;Stary Kolny
Dęby-Majstrów;Dęba-Majstry;Dąb-Majster
Ciężkowa;Ciężków;Ciężkowy
Szarek;Szarki;Szarka
Krobielowic;Krobielowice;Krobielowica
Nowawejwsi Pałuckiej;Nowawieś Pałucka;Nowawejwszy Pałucki
Rzepotowic;Rzepotowice;Rzepotowica
Szumania-Pustoł;Szumanie-Pustoły;Szumanie-Pustoła
Podlesic;Podlesice;Podlesica
Świechocina;Świechocin;Świechocina
Gnojenka;Gnojenko;Gnojenka
Kisiel;Kisiele;Kisiel
Wolanowa;Wolanów;Wolanowy
Wokowic;Wokowice;Wokowica
Hanowa;Hanowo;Hanowy
Woli Dłużniewskiej;Wola Dłużniewska;Wol Dłużniewski
Rotnowa;Rotnowo;Rotnowy
" Dwa;"Mazewo Dworskie""B""";" Dwy
Szyszczyczyc;Szyszczyce;Szyszczyczyca
Sąspowa;Sąspów;Sąspowy
Kostek Małych;Kostki Małe;Kostka Mały
Czumowa;Czumów;Czumowy
Seroczek;Seroczki;Seroczek
Antonowa;Antonów;Antonowy
Nowego Żeliborza;Nowy Żelibórz;Nowy Żeliborze
Zabieli;Zabiele;Zabiel
Skokumia;Skokum;Skokumia
Gierłoży Polskiej;Gierłoż Polska;Gierłoże Polski
Sowin;Sowiny;Sowina
Wólki-Nazdrojów;Wólka-Nazdroje;Wólka-Nazdrój
Suprunów;Supruny;Suprun
Wiecanowa;Wiecanowo;Wiecanowy
Jask;Jaski;Jask
Podłazia;Podłazie;Podłaź
Sarnak;Sarnaki;Sarnak
Halinowa Żdżarowskiego;Halinów Żdżarowski;Halinowy Żdżarowski
Poleszyna;Poleszyn;Poleszyna
Osin Dolnych;Osiny Dolne;Osina Dolny
Będzinka;Będzinko;Będzinka
Rozborza;Rozbórz;Rozborze
Helenowa Pierwszego;Helenów Pierwszy;Helenowy Pierwszy
Siutkowa;Siutkowo;Siutkowy
Budziszowa;Budziszów;Budziszowy
Żelechowa;Żelechów;Żelechowy
Bukowa Morskiego;Bukowo Morskie;Bukowy Morski
Słotwina;Słotwin;Słotwina
Rycerzewka;Rycerzewko;Rycerzewka
Otylina;Otylin;Otylina
Dziewięciół;Dziewięcioły;Dziewięciel
Susłowa;Susłów;Susłowy
Brzyna;Brzyno;Brzyna
Dobrzankowa;Dobrzankowo;Dobrzankowy
Terebinia;Terebiń;Terebinia
Węgoja;Węgój;Węgoja
Kraskowa;Kraskowo;Kraskowy
Wólki Dobromirowej;Wólka Dobromirowa;Wólka Dobromirowy
Połowców;Połowce;Połowiec
Wrzeszczewic-Tomaszewa;Wrzeszczewice-Tomaszew;Wrzeszczewica-Tomaszewo
Golimowa;Golimowo;Golimowy
