Dopełniacz;Mianownik;Wynik Stemmera
Wytoka;Wytok;Wytoka;
Kamiennnego;Kamienny;Kamiennny;
Szwedów;Szwedzi;Szwed;
Zagród;Zagrody;Zagroda;
Radomic;Radomice;Radomica;
Gaszowa;Gaszów;Gaszowy;
Zabiałej;Zabiała;Zabiały;
Kamiennnej;Kamienna;Kamiennny;
Poważego;Poważe;Poważy;
Gąski;Gąska;Gąski;
Gąsek;Gąski;Gąska;
Kubiców;Kubice;Kubic;
Kozła;Kozieł;Kozioł;
Zaklikowa;Zaklików;Zaklikowy;
Większyc;Większyce;Większyca;
Wtórka;Wtórek;Wtórka;
Chajdyc;Chajdyce;Chajdyca;
Sędziszowic;Sędziszowice;Sędziszowica;
Jaryszowa;Jaryszów;Jaryszowy;
Podlipowej;Podlipowa;Podlipowy;
Kretowin;Kretowiny;Kretowina;
Piotrowiczek;Piotrowiczki;Piotrowiczka;
Skaj;Skaje;Skaj;
Czachówek;Czachówki;Czachówka;
Czachówka;Czachówko;Czachówka;
Niekurzy;Niekurza;Niekurz;
Daszewic;Daszewice;Daszewica;
Piskajn;Piskajny;Piskajn;
Chocianowa;Chocianów;Chocianowy;
Pasiecznej;Pasieczna;Pasieczny;
Kostur;Kostury;Kostura;
Osipów;Osipy;Osip;
Celinki;Celinka;Celinek;
Teresinka;Teresinek;Teresinka;
Celinek;Celinki;Celinka;
Posucicic;Posucice;Posucicica;
Malikowej;Malikowa;Malikowy;
Koteż;Koteże;Koteż;
Momajn;Momajny;Momajn;
Grodni;Grodnia;Grodny;
Sarnówka;Sarnówek;Sarnówka;
Steblewa;Steblewo;Steblew;
Brzanowej;Brzanowa;Brzanowy;
Leobrada;Leobrad;Leobrada;
Rówiec;Rówce;Rówiec;
Nowolesia;Nowolesie;Nowoleś;
Jesionnnej;Jesionna;Jesionnny;
Jesionnnego;Jesionne;Jesionnny;
Gostyczyny;Gostyczyna;Gostyczyn;
Zagrzędów;Zagrzędy;Zagrzęd;
Ignachów;Ignachy;Ignach;
Radzikówka;Radzikówek;Radzikówka;
Kopydłowa;Kopydłów;Kopydłowy;
Ugodowa;Ugodów;Ugodowy;
Pruchnika;Pruchnik;Pruchnika;
Dziasków;Dziaski;Dziasek;
Bryńska;Bryńsk;Bryński;
Jankowa;Janków;Jankowy;
Gojków;Gojki;Gojek;
Słupnicy;Słupnica;Słupnik;
Marek;Marki;Marka;
Daniłowa;Daniłowo;Daniłowy;
Lasowych;Lasowe;Lasowy;
Dobrzynia;Dobrzyń;Dobrzynia;
Lasowej;Lasowa;Lasowy;
Bzin;Bziny;Bzina;
Śremska;Śremsko;Śremski;
Dobrzykowa;Dobrzykowo;Dobrzykowy;
Antosina;Antosin;Antosina;
Gosiowa;Gosiów;Gosiowy;
Rębiszowa;Rębiszów;Rębiszowy;
Olechów;Olechy;Olech;
Płonego;Płone;Płony;
Niedarzyna;Niedarzyn;Niedarzyna;
Dąbrówka;Dąbrówek;Dąbrówka;
Dorowa;Dorowo;Dorowy;
Morawiaków;Morawiaki;Morawiak;
Chodlewa;Chodlewo;Chodlew;
Stasiani;Stasianie;Stasiany;
Galumina;Galumin;Galumina;
Kozicowa;Koziców;Kozicowy;
Rejowa;Rejów;Rejowy;
Kopanina;Kopanino;Kopanina;
Bębnowa;Bębnów;Bębnowy;
Śmierdnicy;Śmierdnica;Śmierdnik;
Rulewka;Rulewek;Rulewka;
Kopaninin;Kopaniny;Kopaninina;
Jaszków;Jaszki;Jaszek;
Bożkówka;Bożkówek;Bożkówka;
Gardna;Gardno;Gardny;
Tymina;Tymin;Tymina;
Gardnej;Gardna;Gardny;
Robaw;Robawy;Robawa;
Moszyn;Moszyny;Moszyna;
Podgroblan;Podgroblany;Podgroblan;
Cieśninin;Cieśniny;Cieśninina;
Kolemczyczyc;Kolemczyce;Kolemczyczyca;
Capków;Capki;Capek;
Stepków;Stepki;Stepek;
Podchojników;Podchojniki;Podchojnik;
Przytoki;Przytoka;Przytok;
Bron;Brony;Bron;
Przytok;Przytoki;Przytok;
Jarosławia;Jarosław;Jarosławie;
Sarny;Sarna;Sarny;
Lemana;Leman;Lemany;
Laury;Laura;Laury;
Kadłubi;Kadłubia;Kadłuby;
Reszkowiec;Reszkowce;Reszkowiec;
Godaszewic;Godaszewice;Godaszewica;
Duńkowic;Duńkowice;Duńkowica;
Zapiecznego;Zapieczne;Zapieczny;
Bolestraszyc;Bolestraszyce;Bolestraszyca;
Skowierzyna;Skowierzyn;Skowierzyna;
Mieroszowa;Mieroszów;Mieroszowy;
Gunic;Gunice;Gunica;
Chrośna;Chrośno;Chrośny;
Nagórzyc;Nagórzyce;Nagórzyca;
Grochówka;Grochówek;Grochówka;
Kuściniec;Kuścińce;Kuściniec;
Chrośny;Chrośna;Chrośny;
Boconka;Boconek;Boconka;
Zawądródzia;Zawądródź;Zawądródzia;
Bolegorzyna;Bolegorzyn;Bolegorzyna;
Karlikowa;Karlikowo;Karlikowy;
Sieciejowa;Sieciejów;Sieciejowy;
Łowoszowa;Łowoszów;Łowoszowy;
Podbiesieśca;Podbiesiec;Podbiesiesiec;
Bakuły;Bakuła;Bakuły;
Wołkusznego;Wołkuszne;Wołkuszny;
Unieradza;Unieradz;Unieradza;
Mirocina;Mirocin;Mirocina;
Szlam;Szlamy;Szlam;
Kęsoniowej;Kęsoniowa;Kęsoniowy;
Krzcięcina;Krzcięcin;Krzcięcina;
Pyrzyc;Pyrzyce;Pyrzyca;
Swór;Swory;Swór;
Goświnowic;Goświnowice;Goświnowica;
Dubowskiej;Dubowska;Dubowski;
Piotrowic;Piotrowice;Piotrowica;
Zabrogów;Zabrogi;Zabróg;
Rzepowskiego;Rzepowskie;Rzepowski;
Czach;Czachy;Cz;
Pokusów;Pokusy;Pokus;
Harbutowic;Harbutowice;Harbutowica;
Podmęczek;Podmęczki;Podmęczek;
Boksyckiej;Boksycka;Boksycki;
Pętaków;Pętaki;Pętak;
Turobowa;Turobów;Turobowy;
Sokolnik;Sokolniki;Sokolnik;
Stołczyna;Stołczyn;Stołczyna;
Krępska;Krępsko;Krępski;
Stolina;Stolin;Stolina;
Radowa;Radowo;Radowy;
Staniewic;Staniewice;Staniewica;
Orzełków;Orzełki;Orzełek;
Stramów;Stramy;Stram;
Radowej;Radowa;Radowy;
Tapilkajm;Tapilkajmy;Tapilkajma;
Wymysłowic;Wymysłowice;Wymysłowica;
Jegli;Jegle;Jegły;
Kocenek;Kocenki;Kocenka;
Chałupczyna;Chałupczyn;Chałupczyna;
Wichowa;Wichowo;Wichowy;
Obrowa;Obrów;Obrowy;
Chójek;Chójki;Chójka;
Jamboreka;Jamborek;Jamboreka;
Łażewa;Łażewo;Łażewa;
Pierwoszyna;Pierwoszyno;Pierwoszyna;
Tamożni;Tamożnia;Tamożny;
Gręboszyc;Gręboszyce;Gręboszyca;
Wierzchów;Wierzchy;Wierzch;
Dobrowa;Dobrów;Dobrowy;
Gładyszy;Gładysze;Gładysz;
Sawina;Sawino;Sawina;
Dachowy;Dachowa;Dachowy;
Podstrumieni;Podstrumienie;Podstrumień;
Przeradowa;Przeradowo;Przeradowy;
Zielenic;Zielenice;Zielenica;
Krzeczowic;Krzeczowice;Krzeczowica;
Morzewka;Morzewko;Morzewka;
Wirek;Wirki;Wirek;
Józefina;Józefin;Józefina;
Polkowskiego;Polkowskie;Polkowski;
Sulnowa;Sulnowo;Sulnowy;
Pęzina;Pęzino;Pęzina;
Frużowa;Frużów;Frużowy;
Ułtowa;Ułtowo;Ułtowy;
Obrębu;Obrąb;Obręb;
Wolanówki;Wolanówka;Wolanówki;
Zachoinia;Zachoinie;Zachoinia;
Tęczynopola;Tęczynopol;Tęczynopola;
Brend;Brendy;Brenda;
Bodzewa;Bodzew;Bodzewo;
Drzonka;Drzonek;Drzonka;
Trzaskowa;Trzaskowo;Trzaskowy;
Samborza;Sambórz;Samborze;
Felicjana;Felicjan;Felicjana;
Łumpi;Łumpia;Łumpi;
Ponik;Poniki;Ponik;
Watówek;Watówki;Watówka;
Malinkowa;Malinkowo;Malinkowy;
Szymborna;Szymborno;Szymborny;
Żelek;Żelki;Żelka;
Nowaków;Nowaki;Nowak;
Dzikówka;Dzikówko;Dzikówka;
Gleźnowa;Gleźnowo;Gleźnowy;
Orzyn;Orzyny;Orzyna;
Stojadeł;Stojadła;Stojadło;
Tuchowa;Tuchów;Tuchowy;
Świetlina;Świetlino;Świetlina;
Jeziorcza;Jeziorcze;Jeziorczy;
Wydorowa;Wydorowo;Wydorowy;
Talików;Talikowie;Talik;
Zuzułki;Zuzułka;Zuzułki;
Poduchownej;Poduchowna;Poduchowny;
Poduchownego;Poduchowne;Poduchowny;
Ogorzelin;Ogorzeliny;Ogorzelina;
Osieczowa;Osieczów;Osieczowy;
Trzonówka;Trzonówek;Trzonówka;
Sitek;Sitki;Sitka;
Magnuszewic;Magnuszewice;Magnuszewica;
Myszy;Mysze;Mysz;
Zelek;Zelki;Zelka;
Motorniowej;Motorniowa;Motorniowy;
Mierchówek;Mierchówki;Mierchówka;
Pczelina;Pczelino;Pczelina;
Trąbów;Trąby;Trąb;
Żwirów;Żwiry;Żwir;
Załasza;Załasze;Załasz;
Łęgonia;Łęgoń;Łęgonia;
Kini;Kinia;Kin;
Będzieszyny;Będzieszyna;Będzieszyn;
Broniewka;Broniewek;Broniewka;
Seredlan;Seredlanie;Seredlan;
Ryżowanej;Ryżowana;Ryżowany;
Paderewka;Paderewek;Paderewka;
Dobrzejowa;Dobrzejów;Dobrzejowy;
Odpadka;Odpadek;Odpadka;
Wereszczyna;Wereszczyn;Wereszczyna;
Podsętkowa;Podsętków;Podsętkowy;
Półrolka;Półrolek;Półrolka;
Cekcyna;Cekcyn;Cekcyna;
Radocin;Radociny;Radocina;
Zasadzia;Zasadzie;Zasadzi;
Czarnowa;Czarnów;Czarnowy;
Wujka;Wujek;Wujka;
Wojtusiców;Wojtusice;Wojtusic;
Zakrzewek;Zakrzewki;Zakrzewka;
Zakrzewka;Zakrzewko;Zakrzewka;
Kołaczowa;Kołaczów;Kołaczowy;
Cimowa;Cimowo;Cimowy;
Kobelnik;Kobelniki;Kobelnik;
Maręży;Maręże;Maręż;
Studennnego;Studenne;Studennny;
Pietruszkowa;Pietruszkowo;Pietruszkowy;
Paniewka;Paniewek;Paniewka;
Wyrębowa;Wyrębów;Wyrębowy;
Drezna;Drezno;Drezny;
Chlewisk;Chlewiska;Chlewisko;
Nochowa;Nochowo;Nochowy;
Bałowa;Bałowo;Bałowy;
Błądziejewa;Błądziejewo;Błądziejewa;
Ściborów;Ścibory;Ścibór;
Dudowa;Dudowo;Dudowa;
Dziadówek;Dziadówki;Dziadówka;
Chraskich;Chraskie;Chraski;
Jazdowic;Jazdowice;Jazdowica;
Droszkowic;Droszkowice;Droszkowica;
Podkazanowa;Podkazanów;Podkazanowy;
Kropatwów;Kropatwy;Kropatw;
Cezarowa;Cezarów;Cezarowy;
Rządkowa;Rządkowo;Rządkowa;
Justynowa;Justynów;Justynowy;
Zdanowic;Zdanowice;Zdanowica;
Byka;Byk;Byka;
Uszkowców;Uszkowce;Uszkowiec;
Lubiankowa;Lubianków;Lubiankowy;
Pabianek;Pabianki;Pabianka;
Bełdna;Bełdno;Bełdny;
Bystrojowic;Bystrojowice;Bystrojowica;
Najmowa;Najmów;Najmowy;
Wadzyna;Wadzyn;Wadzyna;
Bartosów;Bartosy;Bartos;
Niestkowa;Niestkowo;Niestkowy;
Czesławowa;Czesławowo;Czesławowy;
Drzewian;Drzewiany;Drzewian;
Świdrowa;Świdrowo;Świdrowy;
Żarzyna;Żarzyn;Żarzyna;
Horybka;Horybek;Horybka;
Niegłos;Niegłosy;Niegłos;
Grabowna;Grabowno;Grabowny;
Milerzysk;Milerzyska;Milerzysko;
Okrzyc;Okrzyce;Okrzyca;
Boćkowa;Boćków;Boćkowy;
Stuposian;Stuposiany;Stuposiano;
Mędrzyn;Mędrzyny;Mędrzyna;
Swędzieniejewic;Swędzieniejewice;Swędzieniejewica;
Bóbrki;Bóbrka;Bóbrek;
Stefków;Stefki;Stefek;
Pasiony;Pasiona;Pasiony;
Górawina;Górawino;Górawina;
Częstkowa;Częstkowo;Częstkowy;
Galewic;Galewice;Galewica;
Misurowej;Misurowa;Misurowy;
Krasocina;Krasocin;Krasocina;
Litynka;Litynek;Litynka;
Chełminka;Chełminko;Chełminek;
Góry;Góra;Góry;
Domasowa;Domasowo;Domasowy;
Kaliw;Kaliwy;Kaliwo;
Dobromyśla;Dobromyśl;Dobromyśla;
Chomętowa;Chomętowo;Chomętowy;
Kołkowa;Kołkowo;Kołkowy;
Łośnic;Łośnice;Łośnica;
Gór;Góry;Gór;
Karolowa;Karolów;Karolowy;
Korzennna;Korzenno;Korzennny;
Smielic;Smielice;Smielica;
Korzennnej;Korzenna;Korzennny;
Wejherowa;Wejherowo;Wejherowy;
Sobierajki;Sobierajka;Sobierajk;
Ścinawy;Ścinawa;Ścinawy;
Dobrylewa;Dobrylewo;Dobrylew;
Porajowa;Porajów;Porajowy;
Cerchli;Cerchla;Cerchły;
Uniejowa;Uniejów;Uniejowy;
Bardiówka;Bardiówek;Bardiówka;
Cepna;Cepno;Cepny;
Szczercowa;Szczerców;Szczercowy;
Jajaków;Jajaki;Jajak;
Józefinka;Józefinek;Józefinka;
Grzymałkowa;Grzymałków;Grzymałkowy;
Zarycza;Zarycze;Zarycza;
Jonów;Jony;Jon;
Satanów;Satany;Satan;
Zosinowa;Zosinowo;Zosinowy;
Dobrzykowic;Dobrzykowice;Dobrzykowica;
Podstrobowa;Podstrobów;Podstrobowy;
Mezowa;Mezowo;Mezowy;
Kuks;Kuksy;Kuks;
Chmielińskiego;Chmielińskie;Chmieliński;
Bałamącka;Bałamącek;Bałamącki;
Przepałkowa;Przepałkowo;Przepałkowy;
Runówka;Runówko;Runówka;
Sińczycy;Sińczyca;Sińczyk;
Miranowa;Miranowo;Miranowy;
Brześc;Brześce;Brześc;
Ślagów;Ślagi;Ślag;
Radlanek;Radlanki;Radlanka;
Połażejewa;Połażejewo;Połażejewa;
Wodoczy;Wodocza;Wodocz;
Duczymina;Duczymin;Duczymina;
Krukawy;Krukawa;Krukawy;
Serok;Seroki;Serok;
Sępowej;Sępowa;Sępowy;
Jurczyczyc;Jurczyce;Jurczyczyca;
Pakszynka;Pakszynek;Pakszynka;
Huczwic;Huczwice;Huczwica;
Nieceni;Niecenia;Nieciony;
Kołtunka;Kołtunek;Kołtunka;
Plastowa;Plastowo;Plastowy;
Tokarzów;Tokarze;Tokarz;
Burkota;Burkot;Burkota;
Dziechowa;Dziechowo;Dziechowy;
Chalinka;Chalinek;Chalinka;
Kutowej;Kutowa;Kutowy;
Chotyłowa;Chotyłów;Chotyłowy;
Czeczugów;Czeczugi;Czeczug;
Pobiedzisk;Pobiedziska;Pobiedzisko;
Bary;Bara;Bar;
Glicka;Glicko;Glicki;
Okulic;Okulice;Okulica;
Słonkowa;Słonków;Słonkowy;
Przedziałków;Przedziałki;Przedziałek;
Subiny;Subina;Subin;
Hutników;Hutniki;Hutnik;
Wąworkowa;Wąworków;Wąworkowy;
Babska;Babsk;Babski;
Trubakowa;Trubaków;Trubakowy;
Samostrzałowa;Samostrzałów;Samostrzałowy;
Kółka;Kółko;Kółka;
Brodziszowa;Brodziszów;Brodziszowy;
Majkut;Majkuty;Majkut;
Zawiersza;Zawiersze;Zawiersz;
Smogórów;Smogóry;Smogóra;
Masnej;Masna;Masny;
Pantalowic;Pantalowice;Pantalowica;
Czerśli;Czerśl;Czersły;
Darownego;Darowne;Darowny;
Szczucina;Szczucin;Szczucina;
Rukał;Rukały;Rukał;
Moskwina;Moskwin;Moskwina;
Moli;Mole;Mol;
Pisaków;Pisaki;Pisak;
Załuszkowa;Załuszkowo;Załuszkowy;
Łat;Łaty;Łat;
Wdżarów;Wdżary;Wdżar;
Myjomic;Myjomice;Myjomica;
Ryni;Rynia;Ryni;
Grabowic;Grabowice;Grabowica;
Celinowa;Celinów;Celinowy;
Lesiaków;Lesiaki;Lesiak;
Rudołtowic;Rudołtowice;Rudołtowica;
Wardężyna;Wardężyn;Wardężyna;
Targaszewa;Targaszew;Targaszewo;
Iżykowic;Iżykowice;Iżykowica;
Morochowa;Morochów;Morochowy;
Podryżowanej;Podryżowana;Podryżowany;
Kaniewa;Kaniew;Kaniewa;
Podkorzenna;Podkorzenno;Podkorzenny;
Galasów;Galasy;Galas;
Krajenek;Krajenki;Krajenka;
Przypuśnicy;Przypuśnica;Przypuśnik;
Sobieszyna;Sobieszyn;Sobieszyna;
Karolichy;Karolicha;Karolich;
Młudzyna;Młudzyn;Młudzyna;
Kozielic;Kozielice;Kozielica;
Wyrzyska;Wyrzysk;Wyrzysko;
Gołaszyna;Gołaszyn;Gołaszyna;
Mankocina;Mankocin;Mankocina;
Bierdzan;Bierdzany;Bierdzan;
Pęcicic;Pęcice;Pęcicica;
Grabianowa;Grabianowo;Grabianowy;
Barcikowic;Barcikowice;Barcikowica;
Cycońki;Cycońka;Cycońki;
Kaczorów;Kaczory;Kaczor;
Korczaków;Korczaki;Korczak;
Kadzielni;Kadzielnia;Kadzielny;
Kołoząbia;Kołoząb;Kołoząbia;
Kociełek;Kociełki;Kociełko;
Rokitka;Rokitek;Rokitka;
Sołokii;Sołokija;Sołokia;
Koreji;Koreje;Koreja;
Stodólna;Stodólno;Stodólny;
Pored;Poredy;Poreda;
Strzydzawka;Strzydzawek;Strzydzawka;
Leżuchowa;Leżuchowo;Leżuchowy;
Ogartówka;Ogartówko;Ogartówka;
Lublinowa;Lublinów;Lublinowy;
Raczynowa;Raczynów;Raczynowy;
Styczyrzy;Styczyrze;Styczyr;
Ciężkowa;Ciężków;Ciężkowy;
Wodzieradów;Wodzierady;Wodzierad;
Kacina;Kacin;Kacina;
Szarków;Szarki;Szarek;
Krobielowic;Krobielowice;Krobielowica;
Rzepotowic;Rzepotowice;Rzepotowica;
Budzina;Budzin;Budzina;
Podlesic;Podlesice;Podlesica;
Chaptyzowa;Chaptyzów;Chaptyzowy;
Świechocina;Świechocin;Świechocina;
Węgrzczy;Węgrzcza;Węgrzcz;
Gnojenka;Gnojenko;Gnojenka;
Klemensowa;Klemensowo;Klemensowy;
Kisiel;Kisiele;Kisiel;
Majchrzakowej;Majchrzakowa;Majchrzakowy;
Wokowic;Wokowice;Wokowica;
Hanowa;Hanowo;Hanowy;
Nowizn;Nowizny;Nowizna;
Zabucza;Zabucze;Zabuczy;
Gilewa;Gilewo;Gilew;
Łajzec;Łajzce;Łajzec;
Szyszczyczyc;Szyszczyce;Szyszczyczyca;
Słotnicy;Słotnica;Słotnik;
Podrzębin;Podrzębiny;Podrzębina;
Wybudowań;Wybudowania;Wybudowanie;
Szlacheckiej;Szlachecka;Szlachecki;
Sawczyna;Sawczyn;Sawczyna;
Sąspowa;Sąspów;Sąspowy;
Czumowa;Czumów;Czumowy;
Seroczek;Seroczki;Seroczek;
Szczechowa;Szczechów;Szczechowy;
Antonowa;Antonów;Antonowy;
Sieradza;Sieradz;Sieradza;
Zgórkowej;Zgórkowa;Zgórkowy;
Zabiela;Zabiele;Zabiel;
Tłoczków;Tłoczki;Tłoczek;
Skokumia;Skokum;Skokumia;
Sowin;Sowiny;Sowina;
Papowa;Papowo;Papowy;
Suprunów;Supruny;Suprun;
Gajnicy;Gajnica;Gajnik;
Wiecanowa;Wiecanowo;Wiecanowy;
Jasek;Jaski;Jasek;
Podłazia;Podłazie;Podłaź;
